timestamp(ns),elapsed(s)
1681748623262745142,5.0999e-05
1681748623496164799,2.0019e-05
1681748623729580164,3.6272e-05
1681748623962992668,2.4663e-05
1681748624196420193,2.4136e-05
1681748624429843187,3.3025e-05
1681748624663261890,2.2821e-05
1681748624896676064,2.2912e-05
1681748625130104303,2.3254e-05
1681748625363533020,2.8493e-05
1681748625596957445,2.7602e-05
1681748625830378056,3.0455e-05
1681748626063805342,3.0266e-05
1681748626297238827,3.0347e-05
1681748626530668020,2.9083e-05
1681748626764093161,2.88e-05
1681748626997517586,5.1571e-05
1681748627230947971,3.3214e-05
1681748627464374304,3.2781e-05
1681748627697796345,3.1994e-05
1681748627931212664,3.3226e-05
1681748628164646864,3.2766e-05
1681748628398077250,5.9681e-05
1681748628631502867,3.5175e-05
1681748628864924908,5.8788e-05
1681748629098357439,3.8162e-05
1681748629331794500,4.7299e-05
1681748629565227270,4.8518e-05
1681748629798656464,3.3962e-05
1681748630032084942,3.9602e-05
1681748630265513897,3.4793e-05
1681748630498938799,4.39e-05
1681748630732359171,3.4261e-05
1681748630965777159,3.6502e-05
1681748631199209929,3.9783e-05
1681748631432638645,5.9936e-05
1681748631666063070,4.1601e-05
1681748631899483442,4.2845e-05
1681748632132906437,5.1639e-05
1681748632366326571,5.1698e-05
1681748632599741936,4.5863e-05
1681748632833152294,6.2608e-05
1681748633066572189,5.1165e-05
1681748633300000906,4.198e-05
1681748633533425331,6.3861e-05
1681748633766845226,4.6967e-05
1681748634000267744,6.2186e-05
1681748634233710766,5.9221e-05
1681748634467150211,4.7823e-05
1681748634700585604,6.701e-05
1681748634934016943,4.638e-05
1681748635167460680,4.7574e-05
1681748635400901079,5.1894e-05
1681748635634337425,4.8881e-05
1681748635867769718,6.8598e-05
1681748636101193190,5.1881e-05
1681748636334608078,5.2887e-05
1681748636568017721,8.5372e-05
1681748636801422596,5.2196e-05
1681748637034974337,5.0283e-05
1681748637268821955,6.0647e-05
1681748637502702236,5.491e-05
1681748637736614704,5.8841e-05
