timestamp(ns),elapsed(s)
1681748623262745142,8.6813e-05
1681748623496164799,3.1895e-05
1681748623729580164,5.6893e-05
1681748623962992668,3.5044e-05
1681748624196420193,3.5538e-05
1681748624429843187,4.9898e-05
1681748624663261890,3.3457e-05
1681748624896676064,3.5785e-05
1681748625130104303,3.5491e-05
1681748625363533020,3.957e-05
1681748625596957445,4.1587e-05
1681748625830378056,4.1218e-05
1681748626063805342,4.3182e-05
1681748626297238827,4.5615e-05
1681748626530668020,4.0045e-05
1681748626764093161,4.2347e-05
1681748626997517586,7.8536e-05
1681748627230947971,4.7939e-05
1681748627464374304,4.7673e-05
1681748627697796345,4.6759e-05
1681748627931212664,5.3032e-05
1681748628164646864,4.5397e-05
1681748628398077250,9.8564e-05
1681748628631502867,4.9512e-05
1681748628864924908,8.7329e-05
1681748629098357439,5.8115e-05
1681748629331794500,7.4497e-05
1681748629565227270,7.6559e-05
1681748629798656464,4.7882e-05
1681748630032084942,5.4162e-05
1681748630265513897,5.3029e-05
1681748630498938799,6.2398e-05
1681748630732359171,5.2004e-05
1681748630965777159,5.3087e-05
1681748631199209929,5.5263e-05
1681748631432638645,8.9032e-05
1681748631666063070,6.3503e-05
1681748631899483442,7.9646e-05
1681748632132906437,8.8448e-05
1681748632366326571,6.684e-05
1681748632599741936,6.4734e-05
1681748632833152294,0.000102789
1681748633066572189,6.2702e-05
1681748633300000906,6.2281e-05
1681748633533425331,9.5355e-05
1681748633766845226,6.6423e-05
1681748634000267744,8.934e-05
1681748634233710766,7.1548e-05
1681748634467150211,6.5969e-05
1681748634700585604,7.7199e-05
1681748634934016943,7.3487e-05
1681748635167460680,7.7057e-05
1681748635400901079,7.3549e-05
1681748635634337425,7.0686e-05
1681748635867769718,7.233e-05
1681748636101193190,7.366e-05
1681748636334608078,7.4629e-05
1681748636568017721,0.000123985
1681748636801422596,7.406e-05
1681748637034974337,0.000125132
1681748637268821955,8.1511e-05
1681748637502702236,8.3678e-05
1681748637736614704,7.8414e-05
1681748637970525980,7.9403e-05
1681748638204026699,7.4393e-05
1681748638437527180,8.0427e-05
1681748638671027422,8.9433e-05
1681748638904527426,8.9036e-05
1681748639138030529,0.000133729
1681748639371534824,9.0431e-05
1681748639605039120,9.1235e-05
1681748639838543415,8.2578e-05
1681748640072048903,0.00011723
1681748640305555105,8.9627e-05
1681748640539062023,8.4452e-05
1681748640772568941,9.059e-05
1681748641006057501,8.5639e-05
1681748641242299318,0.000101062
1681748641478661299,0.000116654
1681748641715143681,8.4496e-05
1681748641951746464,0.000102944
1681748642185541630,0.000126839
1681748642418845654,9.3161e-05
1681748642652137280,9.9795e-05
1681748642885416031,0.00010189
1681748643118675232,9.8179e-05
1681748643351911306,8.6137e-05
1681748643585131884,0.000111855
1681748643818336725,9.5396e-05
1681748644051541090,0.000140188
1681748644284761667,0.000104915
1681748644517965555,0.00026234
1681748644751152992,9.9423e-05
1681748644984325647,0.000157339
1681748645217558146,0.000122817
1681748645450774431,0.000103558
1681748645683974743,0.000118087
1681748645917158842,0.000178023
1681748646150377989,0.000117714
1681748646383599043,0.000108852
1681748646616804123,0.000211386
1681748646849992752,0.000112245
1681748647083358526,0.00012828
1681748647317107677,0.000143116
1681748647550863028,0.000124542
1681748647784625053,0.000128316
1681748648018393517,0.00012319
1681748648251703739,0.000348286
1681748648484876156,0.000173735
1681748648718029737,0.000187119
1681748648951164007,0.0001811
1681748649184324265,0.000116342
1681748649417505264,0.000219033
1681748649650667667,0.000289299
1681748649883810997,0.000127333
1681748650116954803,0.000115835
1681748650350139856,0.000119746
1681748650583306313,0.000136883
1681748650816454172,0.000254842
1681748651049579144,0.000138907
1681748651282777309,0.000239007
1681748651515957355,0.000162984
1681748651749119282,0.000160084
1681748651982263088,0.00016296
1681748652215440035,0.000139618
1681748652448624372,0.000165413
1681748652681790113,0.000157819
1681748652914937019,0.000143164
1681748653148091555,0.000140699
1681748653381270170,0.000132297
1681748653614429951,0.000267625
1681748653847570181,0.000142028
1681748654080698490,0.000161697
1681748654313885212,0.000160986
1681748654547052622,0.000147869
1681748654780201197,0.000221872
1681748655013330460,0.000175385
1681748655246503353,0.000327101
1681748655479669094,0.000156633
1681748655712815523,0.00016035
1681748655945942402,0.000136879
1681748656179097891,0.00014614
1681748656412279606,0.000148499
1681748656645442247,0.000251623
1681748656878585577,0.0002342
1681748657112069130,0.00016383
1681748657346814632,0.000154449
1681748657581677437,0.00016815
1681748657816657305,0.000247691
1681748658051843643,0.000257633
1681748658285289288,0.000157824
1681748658518731117,0.000178705
1681748658752169371,0.000160019
1681748658985604286,0.000146949
1681748659219059706,0.000164738
1681748659452525854,0.000260758
1681748659685989618,0.000190595
1681748659919451237,0.000172378
1681748660152910233,0.000162841
1681748660386365175,0.000181124
1681748660619817257,0.000175133
1681748660853265762,0.00017783
1681748661086711884,0.000177845
1681748661320157290,0.000422763
1681748661553598881,0.000396075
1681748661787036896,0.000209163
1681748662020471334,0.000163414
1681748662253910780,0.000189582
1681748662487348318,0.000477795
1681748662720782518,0.000159697
1681748662954212666,0.000167853
1681748663188529968,0.000188022
1681748663425057173,0.000185202
1681748663661727428,0.000184512
1681748663898540974,0.000183196
1681748664135390043,0.000222395
1681748664368629932,0.000290238
1681748664601854086,0.000313561
1681748664835062265,0.000218037
1681748665068254948,0.000214011
1681748665301477194,0.000173267
1681748665534688950,0.000186452
1681748665767884254,0.000239386
1681748666001063347,0.000213695
1681748666234256506,0.000390555
1681748666467470169,0.000231444
1681748666700667143,0.000320807
1681748666933847427,0.000205469
1681748667167026520,0.000240417
1681748667400254011,0.000176427
1681748667633464813,0.000186191
1681748667866659403,0.000231895
1681748668099829435,0.000206503
1681748668333080769,0.000217817
1681748668566316843,0.000194785
1681748668799537897,0.000171094
1681748669032743692,0.000173697
1681748669265967369,0.000221659
1681748669499194622,0.000190462
1681748669732405901,0.000210703
1681748669965601444,0.000209982
1681748670198810577,0.000224132
1681748670432065487,0.000309158
1681748670665305138,0.00022479
1681748670898530006,0.00020897
1681748671131742239,0.000220327
1681748671364975214,0.000411889
1681748671598191977,0.00028129
1681748671831392288,0.000211563
1681748672064576387,0.000198051
1681748672297803402,0.000267547
1681748672531034231,0.00020101
1681748672764249325,0.000178373
1681748672997448683,0.000200887
1681748673230662823,0.000190591
1681748673463896275,0.000251156
1681748673697113276,0.000224408
1681748673930314779,0.000572669
1681748674163510084,0.000256287
1681748674396734953,0.000257913
1681748674629942894,0.000191213
1681748674863134623,0.000277179
1681748675096302271,0.00028393
1681748675329537630,0.000243667
1681748675562756777,0.000272163
1681748675795959949,0.000205552
1681748676029147148,0.00021169
1681748676262368917,0.00023613
1681748676495606899,0.000215575
1681748676728829384,0.000202563
1681748676962036371,0.000216989
1681748677195251942,0.000206709
1681748677428501606,0.000213038
1681748677661735773,0.000297536
1681748677894954920,0.000206671
1681748678128160238,0.000235217
1681748678361392736,0.000252323
1681748678594608784,0.000222024
1681748678827808619,0.000211174
1681748679060991764,0.000241454
1681748679295353651,0.000190765
1681748679530228138,0.000235544
1681748679765223742,0.000272091
1681748680000340462,0.000198038
1681748680234762669,0.000355467
1681748680468269825,0.00025193
1681748680701776981,0.000211208
1681748680935284376,0.000357062
1681748681168790340,0.000254751
1681748681402287483,0.000213986
1681748681635784388,0.000233764
1681748681869280815,0.000244462
1681748682102776766,0.000251935
1681748682336270809,0.000319065
1681748682569763660,0.000242119
1681748682803256035,0.00032135
1681748683036747694,0.000240178
1681748683270240545,0.000220307
1681748683503733635,0.000274965
1681748683737225771,0.000239624
1681748683970717430,0.000236074
1681748684204211950,0.000297539
1681748684437713385,0.000224587
1681748684671214581,0.000259089
1681748684904715776,0.000237157
1681748685138217211,0.00024864
1681748685373922586,0.000295101
1681748685610257149,0.000250011
1681748685846711874,0.000250326
