timestamp(ns),elapsed(s)
1681748623262745142,0.000207073
1681748623496164799,0.000104686
1681748623729580164,0.000159307
1681748623962992668,0.000137324
1681748624196420193,0.000122857
1681748624429843187,0.000166703
1681748624663261890,0.000115096
1681748624896676064,0.000120372
1681748625130104303,0.000121489
1681748625363533020,0.00013744
1681748625596957445,0.000141649
1681748625830378056,0.000150217
1681748626063805342,0.000157143
1681748626297238827,0.000161123
1681748626530668020,0.000145727
1681748626764093161,0.000151961
1681748626997517586,0.000257426
1681748627230947971,0.000170487
1681748627464374304,0.000170893
1681748627697796345,0.000165185
1681748627931212664,0.000174971
1681748628164646864,0.000167216
1681748628398077250,0.000279899
1681748628631502867,0.000179385
1681748628864924908,0.000307056
1681748629098357439,0.000197329
1681748629331794500,0.000251516
1681748629565227270,0.000248829
1681748629798656464,0.000176534
1681748630032084942,0.000216888
1681748630265513897,0.000190257
1681748630498938799,0.000229386
1681748630732359171,0.00018041
1681748630965777159,0.000212731
1681748631199209929,0.000200009
1681748631432638645,0.000313825
1681748631666063070,0.000220163
1681748631899483442,0.000247987
1681748632132906437,0.000312397
1681748632366326571,0.000238418
1681748632599741936,0.000231252
1681748632833152294,0.000326765
1681748633066572189,0.000228862
1681748633300000906,0.000225999
1681748633533425331,0.000316574
1681748633766845226,0.000252736
1681748634000267744,0.000338063
1681748634233710766,0.000277744
1681748634467150211,0.000227023
1681748634700585604,0.000300349
1681748634934016943,0.000265264
1681748635167460680,0.000273757
1681748635400901079,0.000259562
1681748635634337425,0.000246205
1681748635867769718,0.000284637
1681748636101193190,0.000284146
1681748636334608078,0.000269479
1681748636568017721,0.000419557
1681748636801422596,0.000262836
1681748637034974337,0.000381853
1681748637268821955,0.000288948
1681748637502702236,0.000278687
1681748637736614704,0.000284094
1681748637970525980,0.000290302
1681748638204026699,0.000266782
1681748638437527180,0.000288391
1681748638671027422,0.000315661
1681748638904527426,0.000315552
1681748639138030529,0.000487723
1681748639371534824,0.000343789
1681748639605039120,0.000325586
1681748639838543415,0.000288684
1681748640072048903,0.000360346
1681748640305555105,0.000321936
1681748640539062023,0.000296156
1681748640772568941,0.000322317
1681748641006057501,0.000312328
1681748641242299318,0.000352666
1681748641478661299,0.000473715
1681748641715143681,0.000324018
1681748641951746464,0.00034894
1681748642185541630,0.00037546
1681748642418845654,0.000354795
1681748642652137280,0.000369779
1681748642885416031,0.000378406
1681748643118675232,0.000360817
1681748643351911306,0.000316991
1681748643585131884,0.000471092
1681748643818336725,0.000351693
1681748644051541090,0.000502877
1681748644284761667,0.000394407
1681748644517965555,0.000724072
1681748644751152992,0.000382995
1681748644984325647,0.000539419
1681748645217558146,0.000431948
1681748645450774431,0.000381577
1681748645683974743,0.000431859
1681748645917158842,0.000507785
1681748646150377989,0.0004717
1681748646383599043,0.000381042
1681748646616804123,0.000604292
1681748646849992752,0.000405823
1681748647083358526,0.000428152
1681748647317107677,0.000469656
1681748647550863028,0.000486134
1681748647784625053,0.000459918
1681748648018393517,0.000491536
1681748648251703739,0.00113547
1681748648484876156,0.000669322
1681748648718029737,0.000680833
1681748648951164007,0.000649141
1681748649184324265,0.00042751
1681748649417505264,0.0006781
1681748649650667667,0.000919274
1681748649883810997,0.000464596
1681748650116954803,0.000438252
1681748650350139856,0.00045137
1681748650583306313,0.000514055
1681748650816454172,0.000797132
1681748651049579144,0.000480599
1681748651282777309,0.00106345
1681748651515957355,0.000570348
1681748651749119282,0.000549361
1681748651982263088,0.000622395
1681748652215440035,0.000510396
1681748652448624372,0.000613048
1681748652681790113,0.000522166
1681748652914937019,0.000503399
1681748653148091555,0.000490295
1681748653381270170,0.000478369
1681748653614429951,0.000888688
1681748653847570181,0.000521624
1681748654080698490,0.000558752
1681748654313885212,0.000586647
1681748654547052622,0.000592002
1681748654780201197,0.000806119
1681748655013330460,0.000589596
1681748655246503353,0.000990469
1681748655479669094,0.000611126
1681748655712815523,0.000600259
1681748655945942402,0.000551864
1681748656179097891,0.00056658
1681748656412279606,0.000555105
1681748656645442247,0.000730124
1681748656878585577,0.000763517
1681748657112069130,0.000588948
1681748657346814632,0.000612304
1681748657581677437,0.000636015
1681748657816657305,0.000896063
1681748658051843643,0.000876998
1681748658285289288,0.000632213
1681748658518731117,0.000659303
1681748658752169371,0.000596683
1681748658985604286,0.000554366
1681748659219059706,0.000639673
1681748659452525854,0.000862004
1681748659685989618,0.000980049
1681748659919451237,0.000636763
1681748660152910233,0.000633781
1681748660386365175,0.00069901
1681748660619817257,0.000657127
1681748660853265762,0.000654976
1681748661086711884,0.000697001
1681748661320157290,0.00140944
1681748661553598881,0.00128358
1681748661787036896,0.000771178
