timestamp(ns),elapsed(s)
1681748609249603033,9.65e-07
1681748609483114004,5.97e-07
1681748609716625452,7.83e-07
1681748609950138569,7.1e-07
1681748610183657169,6.41e-07
1681748610417176962,6.36e-07
1681748610650697708,5.73e-07
1681748610884219885,8.14e-07
1681748611117723942,6.45e-07
1681748611351227760,5.82e-07
1681748611584731579,5.95e-07
1681748611818235636,6.48e-07
1681748612051738262,6.99e-07
1681748612285240412,6.75e-07
1681748612518742561,8.78e-07
1681748612752244473,7.98e-07
1681748612985746861,6.36e-07
1681748613219249964,6.5e-07
1681748613452752829,6.38e-07
1681748613686255693,8.32e-07
1681748613919758797,7.29e-07
1681748614153264999,7.79e-07
1681748614386771441,6.78e-07
1681748614620278358,6.69e-07
1681748614853785515,6.34e-07
1681748615087287664,6.42e-07
1681748615320788860,7.28e-07
1681748615554290056,7.27e-07
1681748615787791491,7.13e-07
1681748616021289825,7.5e-07
1681748616254785538,7.04e-07
1681748616488281250,8.11e-07
1681748616721776485,6.91e-07
1681748616955273628,6.18e-07
1681748617188777685,6.12e-07
1681748617422281265,8.08e-07
1681748617655785084,6.65e-07
1681748617889288902,6.45e-07
1681748618122800589,8.52e-07
1681748618356312990,7.1e-07
1681748618589825869,3.514e-06
1681748618823339701,1.306e-06
1681748619056843758,7.4e-07
1681748619290343761,6.26e-07
1681748619523843527,6.87e-07
1681748619757343292,8.39e-07
1681748619990838528,2.36e-06
1681748620224327326,1.455e-06
1681748620457815170,1.292e-06
1681748620691302299,6.84e-07
1681748620924737215,3.467e-06
1681748621158980370,1.155e-06
1681748621393255949,2.513e-06
1681748621627563715,1.593e-06
1681748621861904144,1.372e-06
1681748622095662117,1.377e-06
1681748622329081535,1.264e-06
1681748622562496185,2.586e-06
1681748622795906067,1.84e-06
1681748623029320478,1.375e-06
1681748623262745142,1.463e-06
1681748623496164799,1.492e-06
1681748623729580164,7.94e-07
1681748623962992668,2.946e-06
1681748624196420193,1.475e-06
1681748624429843187,2.163e-06
1681748624663261890,2.59e-06
1681748624896676064,1.403e-06
1681748625130104303,2.973e-06
1681748625363533020,1.535e-06
1681748625596957445,1.674e-06
1681748625830378056,1.491e-06
1681748626063805342,1.857e-06
1681748626297238827,1.69e-06
1681748626530668020,1.657e-06
1681748626764093161,1.683e-06
1681748626997517586,1.716e-06
1681748627230947971,2.013e-06
1681748627464374304,2.153e-06
1681748627697796345,1.67e-06
1681748627931212664,2.044e-06
1681748628164646864,1.851e-06
1681748628398077250,1.743e-06
1681748628631502867,1.651e-06
1681748628864924908,1.575e-06
1681748629098357439,1.788e-06
1681748629331794500,1.773e-06
1681748629565227270,1.734e-06
1681748629798656464,1.767e-06
1681748630032084942,2.077e-06
1681748630265513897,1.604e-06
1681748630498938799,1.738e-06
1681748630732359171,1.746e-06
1681748630965777159,1.668e-06
1681748631199209929,1.813e-06
1681748631432638645,1.633e-06
1681748631666063070,1.683e-06
1681748631899483442,2.087e-06
1681748632132906437,1.665e-06
1681748632366326571,1.829e-06
1681748632599741936,2.252e-06
1681748632833152294,3.208e-06
1681748633066572189,2.623e-06
1681748633300000906,2.536e-06
1681748633533425331,2.247e-06
1681748633766845226,1.724e-06
1681748634000267744,1.857e-06
1681748634233710766,2.353e-06
1681748634467150211,2.273e-06
1681748634700585604,3.613e-06
1681748634934016943,2.294e-06
1681748635167460680,2.207e-06
1681748635400901079,2.239e-06
1681748635634337425,2.158e-06
1681748635867769718,2.334e-06
1681748636101193190,2.223e-06
1681748636334608078,2.339e-06
1681748636568017721,2.227e-06
1681748636801422596,3.13e-06
