timestamp(ns),elapsed(s)
1681748609249603033,0.000105415
1681748609483114004,0.000238381
1681748609716625452,0.000261946
1681748609950138569,0.000212019
1681748610183657169,0.000321604
1681748610417176962,0.000238476
1681748610650697708,0.000261795
1681748610884219885,0.000354393
1681748611117723942,0.000258473
1681748611351227760,0.000303803
1681748611584731579,0.000340348
1681748611818235636,0.000274431
1681748612051738262,0.00025555
1681748612285240412,0.000394011
1681748612518742561,0.000286025
1681748612752244473,0.00027929
1681748612985746861,0.000338536
1681748613219249964,0.00043454
1681748613452752829,0.000263418
1681748613686255693,0.000374442
1681748613919758797,0.000263667
1681748614153264999,0.000281167
1681748614386771441,0.000273953
1681748614620278358,0.000346136
1681748614853785515,0.000286196
1681748615087287664,0.000333378
1681748615320788860,0.000307533
1681748615554290056,0.000271434
1681748615787791491,0.000275453
1681748616021289825,0.000322343
1681748616254785538,0.000252169
1681748616488281250,0.000301859
1681748616721776485,0.000344812
1681748616955273628,0.000269477
1681748617188777685,0.000302147
1681748617422281265,0.000336098
1681748617655785084,0.00032371
1681748617889288902,0.000334353
1681748618122800589,0.000522428
1681748618356312990,0.000406592
1681748618589825869,0.000446006
1681748618823339701,0.000444532
1681748619056843758,0.000523093
1681748619290343761,0.00060986
1681748619523843527,0.000672046
1681748619757343292,0.000671919
1681748619990838528,0.000576218
1681748620224327326,0.000739657
1681748620457815170,0.000662662
1681748620691302299,0.000659173
1681748620924737215,0.00102107
1681748621158980370,0.00074962
1681748621393255949,0.000846606
1681748621627563715,0.00106288
1681748621861904144,0.000894349
1681748622095662117,0.000891919
1681748622329081535,0.000968475
1681748622562496185,0.00106147
1681748622795906067,0.00137681
1681748623029320478,0.00117493
1681748623262745142,0.00123979
1681748623496164799,0.00116055
1681748623729580164,0.00143631
1681748623962992668,0.00154929
1681748624196420193,0.00157884
1681748624429843187,0.00189344
1681748624663261890,0.00141111
1681748624896676064,0.00155562
1681748625130104303,0.00204785
1681748625363533020,0.00154292
1681748625596957445,0.00169831
1681748625830378056,0.00163195
1681748626063805342,0.00183715
1681748626297238827,0.00188295
1681748626530668020,0.00187014
1681748626764093161,0.00190583
1681748626997517586,0.00291493
1681748627230947971,0.00202254
1681748627464374304,0.00220411
1681748627697796345,0.0023199
1681748627931212664,0.00226684
1681748628164646864,0.00241334
1681748628398077250,0.00274089
1681748628631502867,0.00290725
1681748628864924908,0.0035039
