timestamp(ns),elapsed(s)
1681748623262745142,0.012819
1681748623496164799,0.0127546
1681748623729580164,0.0140533
1681748623962992668,0.0162553
1681748624196420193,0.0192561
1681748624429843187,0.0297866
1681748624663261890,0.0201921
1681748624896676064,0.018369
1681748625130104303,0.0192457
1681748625363533020,0.0197229
1681748625596957445,0.0205372
1681748625830378056,0.0203028
1681748626063805342,0.0244334
1681748626297238827,0.0211042
1681748626530668020,0.0309478
1681748626764093161,0.0244183
1681748626997517586,0.0267393
1681748627230947971,0.0229898
1681748627464374304,0.0242606
1681748627697796345,0.024213
1681748627931212664,0.0262812
1681748628164646864,0.0259314
1681748628398077250,0.0259061
1681748628631502867,0.0254512
1681748628864924908,0.037626
1681748629098357439,0.0341292
1681748629331794500,0.0423658
1681748629565227270,0.0332532
1681748629798656464,0.0359785
1681748630032084942,0.0365461
1681748630265513897,0.0360401
1681748630498938799,0.0450058
1681748630732359171,0.0381352
1681748630965777159,0.0349061
1681748631199209929,0.0342349
1681748631432638645,0.0359485
1681748631666063070,0.0387859
1681748631899483442,0.0370562
1681748632132906437,0.0374571
1681748632366326571,0.0354994
1681748632599741936,0.0348378
1681748632833152294,0.0364444
1681748633066572189,0.043258
1681748633300000906,0.0395731
1681748633533425331,0.0346835
1681748633766845226,0.0404142
1681748634000267744,0.0499404
1681748634233710766,0.0402211
1681748634467150211,0.0423061
1681748634700585604,0.0422861
1681748634934016943,0.0403476
1681748635167460680,0.0384186
1681748635400901079,0.0424552
1681748635634337425,0.0385616
1681748635867769718,0.039772
1681748636101193190,0.0386494
1681748636334608078,0.0605506
1681748636568017721,0.0456062
1681748636801422596,0.0473969
1681748637034974337,0.0470252
1681748637268821955,0.0356224
1681748637502702236,0.0382684
1681748637736614704,0.0378756
1681748637970525980,0.0379977
1681748638204026699,0.0375475
1681748638437527180,0.0382158
1681748638671027422,0.0382683
1681748638904527426,0.0372864
1681748639138030529,0.0383242
1681748639371534824,0.0420962
1681748639605039120,0.039642
1681748639838543415,0.0384657
1681748640072048903,0.0400639
1681748640305555105,0.0394892
1681748640539062023,0.0386822
1681748640772568941,0.0380129
1681748641006057501,0.0357443
1681748641242299318,0.032932
1681748641478661299,0.0335455
1681748641715143681,0.0327861
1681748641951746464,0.0346736
1681748642185541630,0.035888
1681748642418845654,0.0417972
1681748642652137280,0.0404029
1681748642885416031,0.0321052
1681748643118675232,0.0458898
1681748643351911306,0.0397101
1681748643585131884,0.0351252
1681748643818336725,0.0303225
1681748644051541090,0.0311127
1681748644284761667,0.03056
1681748644517965555,0.0328997
1681748644751152992,0.0277925
1681748644984325647,0.0332763
1681748645217558146,0.0276278
1681748645450774431,0.0331821
1681748645683974743,0.028248
1681748645917158842,0.0293143
1681748646150377989,0.0357941
1681748646383599043,0.0303339
1681748646616804123,0.0379967
1681748646849992752,0.0375916
1681748647083358526,0.0448955
1681748647317107677,0.0397198
1681748647550863028,0.0322644
1681748647784625053,0.0342258
1681748648018393517,0.0426168
1681748648251703739,0.0321657
1681748648484876156,0.0417476
1681748648718029737,0.0423053
1681748648951164007,0.0357717
1681748649184324265,0.0433465
1681748649417505264,0.0502591
1681748649650667667,0.0432548
1681748649883810997,0.041049
1681748650116954803,0.0408429
1681748650350139856,0.0420983
1681748650583306313,0.0457099
1681748650816454172,0.0470396
1681748651049579144,0.0479438
1681748651282777309,0.0430737
1681748651515957355,0.049104
1681748651749119282,0.0545353
1681748651982263088,0.0459209
1681748652215440035,0.0447096
1681748652448624372,0.0500587
1681748652681790113,0.0410144
1681748652914937019,0.0492814
1681748653148091555,0.0494528
1681748653381270170,0.0466838
1681748653614429951,0.0460038
1681748653847570181,0.0448086
1681748654080698490,0.0426337
1681748654313885212,0.0456442
1681748654547052622,0.0493974
1681748654780201197,0.0416607
1681748655013330460,0.0473027
1681748655246503353,0.0458139
1681748655479669094,0.0468238
1681748655712815523,0.0450644
1681748655945942402,0.0537593
1681748656179097891,0.0496851
1681748656412279606,0.0333487
1681748656645442247,0.03789
1681748656878585577,0.0407612
1681748657112069130,0.0496192
1681748657346814632,0.0487203
1681748657581677437,0.0416066
1681748657816657305,0.0403721
1681748658051843643,0.0459989
1681748658285289288,0.0485119
1681748658518731117,0.0403537
1681748658752169371,0.0388003
1681748658985604286,0.038711
1681748659219059706,0.0479931
1681748659452525854,0.0414044
1681748659685989618,0.0444677
1681748659919451237,0.0425969
1681748660152910233,0.040857
1681748660386365175,0.0425523
1681748660619817257,0.0425952
1681748660853265762,0.0429564
1681748661086711884,0.0455638
1681748661320157290,0.0457069
1681748661553598881,0.0386608
1681748661787036896,0.0393309
1681748662020471334,0.0380789
1681748662253910780,0.0390175
1681748662487348318,0.0434254
1681748662720782518,0.0428318
1681748662954212666,0.044458
1681748663188529968,0.0387873
1681748663425057173,0.0364987
1681748663661727428,0.038425
1681748663898540974,0.0502176
1681748664135390043,0.0393867
1681748664368629932,0.0436671
1681748664601854086,0.0393584
1681748664835062265,0.0351451
1681748665068254948,0.0371443
1681748665301477194,0.0369304
1681748665534688950,0.0348321
1681748665767884254,0.0358754
1681748666001063347,0.0416503
1681748666234256506,0.0429336
1681748666467470169,0.040149
1681748666700667143,0.0412227
1681748666933847427,0.0375812
1681748667167026520,0.0359683
1681748667400254011,0.0364482
1681748667633464813,0.0388541
1681748667866659403,0.0390292
1681748668099829435,0.0403055
1681748668333080769,0.0429136
1681748668566316843,0.0418203
1681748668799537897,0.0390704
1681748669032743692,0.0440007
1681748669265967369,0.0379195
1681748669499194622,0.0498461
1681748669732405901,0.0706257
1681748669965601444,0.051431
1681748670198810577,0.0433863
1681748670432065487,0.0726067
1681748670665305138,0.0573334
1681748670898530006,0.0630442
1681748671131742239,0.0601808
1681748671364975214,0.0594571
1681748671598191977,0.0569164
1681748671831392288,0.0551058
1681748672064576387,0.0549562
1681748672297803402,0.0596854
1681748672531034231,0.073454
1681748672764249325,0.0640375
1681748672997448683,0.0601257
1681748673230662823,0.0784646
1681748673463896275,0.0577671
1681748673697113276,0.0656273
1681748673930314779,0.0606046
1681748674163510084,0.0652716
1681748674396734953,0.0643754
1681748674629942894,0.0733116
1681748674863134623,0.0632209
1681748675096302271,0.0623593
1681748675329537630,0.0621691
1681748675562756777,0.0605834
1681748675795959949,0.0677759
1681748676029147148,0.0610858
1681748676262368917,0.06152
1681748676495606899,0.057022
1681748676728829384,0.0568512
1681748676962036371,0.0590127
1681748677195251942,0.0627025
1681748677428501606,0.0619049
1681748677661735773,0.0626635
1681748677894954920,0.0657999
1681748678128160238,0.0627962
1681748678361392736,0.0677752
1681748678594608784,0.0629515
1681748678827808619,0.0709041
1681748679060991764,0.0657674
1681748679295353651,0.062714
1681748679530228138,0.0585021
1681748679765223742,0.058266
1681748680000340462,0.0618172
1681748680234762669,0.0808015
1681748680468269825,0.0633519
1681748680701776981,0.0477201
1681748680935284376,0.0514982
1681748681168790340,0.0434516
1681748681402287483,0.0562438
1681748681635784388,0.0506741
1681748681869280815,0.0511758
1681748682102776766,0.05066
1681748682336270809,0.0513823
1681748682569763660,0.0586858
1681748682803256035,0.06598
1681748683036747694,0.0628664
1681748683270240545,0.0650776
1681748683503733635,0.0597751
1681748683737225771,0.0601715
1681748683970717430,0.0614589
1681748684204211950,0.0696871
1681748684437713385,0.059812
1681748684671214581,0.0584053
1681748684904715776,0.0623983
1681748685138217211,0.0619953
1681748685373922586,0.0635666
1681748685610257149,0.061455
1681748685846711874,0.0666042
1681748686083286524,0.0707559
1681748686318011284,0.0745186
1681748686551273346,0.0824431
1681748686784521580,0.0726693
1681748687017755270,0.0728017
1681748687250983238,0.0735415
1681748687484208822,0.067287
1681748687717417955,0.0724476
1681748687950610876,0.0672223
1681748688183807611,0.067607
1681748688417042017,0.0691585
1681748688650259972,0.0675624
1681748688883461952,0.0731327
1681748689116647720,0.07517
1681748689349869251,0.0723454
1681748689583095312,0.068809
1681748689816305399,0.0675811
1681748690049499750,0.0713167
1681748690282702684,0.0663741
1681748690515917778,0.0706584
1681748690749115944,0.0632696
1681748690982297421,0.0652728
1681748691215473413,0.0554815
1681748691448693037,0.0614854
1681748691681895971,0.0867002
1681748691915081739,0.0540433
1681748692148250580,0.0566189
1681748692381484509,0.0509618
1681748692614701271,0.0495718
1681748692847901344,0.052765
1681748693081085682,0.0535682
1681748693314296484,0.0726427
1681748693547525644,0.0584847
1681748693780739546,0.0603187
1681748694013937712,0.0620496
1681748694247140884,0.0609618
1681748694480385780,0.0636753
1681748694713615179,0.0761808
1681748694946829081,0.0714343
1681748695180027008,0.0648522
1681748695413259029,0.0648611
1681748695646474838,0.0640809
1681748695879674435,0.0623646
1681748696112857819,0.06084
1681748696346073866,0.0627345
1681748696579293489,0.0638853
1681748696812496901,0.0635428
1681748697045683861,0.0654032
1681748697278886080,0.0657186
1681748697512112379,0.0674475
1681748697745322227,0.0651123
1681748697978516102,0.0669706
1681748698211709023,0.0647582
1681748698444947004,0.0648316
1681748698678169489,0.0646302
1681748698911375761,0.0588438
1681748699144565821,0.0644873
1681748699377799273,0.0624065
1681748699611026049,0.0649056
1681748699844237089,0.0978526
1681748700077431679,0.0640303
1681748700310657978,0.0609849
1681748700543902636,0.0949601
1681748700777132034,0.0621902
1681748701010345936,0.053265
1681748701243992567,0.0508686
1681748701478832483,0.0601583
1681748701713794947,0.058978
1681748701948879480,0.0514783
1681748702184080124,0.0532295
1681748702417606115,0.0538156
1681748702651133537,0.0567406
1681748702884661913,0.0550919
1681748703118191481,0.0564648
1681748703351693869,0.290003
1681748703585185289,0.0603506
1681748703818675995,0.0592276
1681748704052166224,0.0578289
1681748704285657883,0.0635324
1681748704519151926,0.0565032
1681748704752645493,0.0537984
1681748704986138582,0.052995
1681748705219633102,0.0544714
1681748705453137159,0.0593669
1681748705686641455,0.0809061
1681748705920145512,0.0515198
1681748706153650045,0.0530282
1681748706387151241,0.0524029
1681748706620650768,0.0597593
1681748706854150057,0.053298
1681748707087649107,0.0791555
1681748707321147919,0.0604554
1681748707554646492,0.049722
1681748707788144350,0.0450606
1681748708021641731,0.0654005
1681748708255140066,0.0448381
1681748708488640070,0.0399353
1681748708722139835,0.0462286
1681748708955639362,0.0437873
1681748709189138889,0.0610526
1681748709422628403,0.0441294
1681748709656117201,0.0601287
1681748709889605284,0.0391519
1681748710123092175,0.0428221
1681748710356587887,0.0421681
1681748710590087652,0.0381615
1681748710823587179,0.0407949
1681748711057086706,0.0523661
1681748711290592909,0.0475931
1681748711524108648,0.0494061
1681748711757624626,0.0532088
1681748711991140604,0.0559719
1681748712224654436,0.0359859
1681748712458152294,0.0388096
1681748712691649675,0.0368631
1681748712925146580,0.0476397
1681748713158642769,0.0381121
1681748713392150640,0.0357148
1681748713625660658,0.047556
1681748713859170914,0.0353467
1681748714092680931,0.0355323
1681748714326188803,0.0389189
1681748714559694290,0.0367797
1681748714793200016,0.0368696
1681748715026705265,0.0338648
1681748715260208607,0.0382131
1681748715493704081,0.0442936
1681748715727199316,0.0469256
1681748715960694075,0.0473297
1681748716194188118,0.0495388
1681748716427702427,0.0757871
1681748716661217451,0.0476497
1681748716894733429,0.0484018
1681748717128249884,0.061278
1681748717361770153,0.0467084
1681748717595293522,0.0471279
1681748717828818083,0.0468676
1681748718062344313,0.0526223
1681748718295868635,0.0448967
1681748718529390812,0.047128
1681748718762914419,0.0546512
1681748718996438980,0.0515767
1681748719229960680,0.060756
1681748719463453531,0.0526473
1681748719696946144,0.0510427
1681748719930437565,0.0540811
1681748720163928270,0.0502026
1681748720397418499,0.0505275
1681748720630907774,0.0506791
1681748720864396334,0.0539924
1681748721097883463,0.04927
1681748721331374407,0.045807
1681748721564868212,0.0535607
1681748721798361301,0.0483904
1681748722031853676,0.0437821
1681748722265349865,0.0426325
1681748722498857260,0.0402571
1681748722732364416,0.04552
1681748722965872049,0.0482694
1681748723199379683,0.0441691
1681748723432879925,0.0524141
1681748723666379929,0.054607
1681748723899879694,0.0544481
1681748724133378983,0.0571513
1681748724366877079,0.0592345
1681748724600374699,0.0495436
1681748724833872080,0.0533564
1681748725067368984,0.0525077
1681748725300872564,0.0529771
1681748725534386158,0.0559743
1681748725767900229,0.0721435
1681748726001414299,0.0584577
1681748726234926939,0.0677304
1681748726468428135,0.0730255
1681748726701928854,0.0613542
1681748726935429335,0.0673138
1681748727168929338,0.0620396
1681748727402438641,0.0829307
1681748727635950089,0.0725685
1681748727869462252,0.0659548
1681748728102974892,0.0650758
1681748728336477041,0.0702259
1681748728569970369,0.0706351
1681748728803463221,0.0689431
1681748729036955595,0.0713007
1681748729270457268,0.068546
1681748729503985643,0.0853362
1681748729737515450,0.0826395
1681748729971046686,0.0975749
1681748730204579115,0.067899
1681748730438073158,0.0672942
1681748730671567202,0.0656879
1681748730905060530,0.0656087
1681748731372042656,0.0604038
1681748731605529308,0.0713099
1681748731839015007,0.066533
1681748732072499514,0.0743968
1681748732305989504,0.0776035
1681748732539487123,0.0760896
1681748732772984505,0.0778292
1681748733006481647,0.0887021
1681748733239980221,0.0769651
1681748733473487616,0.0764131
1681748733706994772,0.0753354
1681748733940502405,0.0732648
1681748734174010515,0.0686674
1681748734407519341,0.0695176
1681748734641028881,0.0767367
1681748734874538898,0.0736967
1681748735341556072,0.0723098
1681748735575060606,0.0726674
1681748735808564901,0.0699665
1681748736042069197,0.0634215
1681748736275571585,0.0659434
1681748736509069204,0.0703626
1681748736742566109,0.0585898
1681748736976062775,0.0660628
1681748737209558725,0.0649012
1681748737443057060,0.0708738
1681748737676554918,0.0644763
1681748737910052299,0.0649347
1681748738143548965,0.0614695
1681748738377042770,0.0588551
1681748738610534668,0.0676016
1681748738844026327,0.0618509
1681748739077517271,0.0614336
1681748739311012745,0.0637394
1681748739544514418,0.0639833
1681748739778016329,0.0706632
1681748740011517763,0.0602362
1681748740245019674,0.0658692
1681748740478524446,0.0648748
1681748740712028980,0.0651574
1681748740945533752,0.0679961
1681748741179038048,0.0673149
1681748741412548780,0.0670315
1681748741646061420,0.0660535
1681748741879575014,0.0737125
1681748742113089323,0.0549587
1681748742347513437,0.0556817
1681748742820140839,0.0525539
1681748743056633711,0.0522725
1681748743293039799,0.0534362
1681748743526263714,0.0593457
1681748743759471178,0.0555579
1681748743992662430,0.0543672
1681748744225836992,0.0517236
1681748744459057570,0.0513579
1681748744692268610,0.0525952
1681748744925462961,0.0587178
1681748745158640385,0.0832735
1681748745391845703,0.0734273
1681748745625082970,0.06872
1681748745858305216,0.0631478
1681748746091512442,0.0691611
1681748746557934284,0.0651498
1681748746791136742,0.0631566
1681748747024322271,0.0624004
1681748747257484674,0.0687524
1681748747490732193,0.0725187
1681748747723964214,0.0652728
1681748747957180262,0.0588987
1681748748190380573,0.0587723
1681748748423595905,0.0523176
1681748748656810284,0.0652817
1681748748890008211,0.05602
1681748749123189449,0.051058
1681748749589625359,0.0653672
1681748749822849035,0.0567717
1681748750056057215,0.0520125
1681748750289254904,0.0487702
1681748750522504807,0.0480711
1681748750988959551,0.0469448
1681748751222164154,0.0444528
1681748751455393791,0.0538986
1681748751688618660,0.0571085
1681748751921827793,0.0579677
1681748752155021191,0.0604001
1681748752388234377,0.0465347
1681748752621468067,0.0488433
1681748752854685783,0.0542925
1681748753087888002,0.0551917
1681748753321089983,0.0500986
1681748753554331064,0.0485022
1681748753787556410,0.0501554
1681748754020766020,0.0798863
1681748754487195969,0.0780517
1681748754720419645,0.0760934
1681748754953627110,0.078986
1681748755186818600,0.0541869
1681748755420036316,0.0566459
1681748755653261423,0.0659097
1681748756119663239,0.0556131
1681748756352869034,0.0592034
1681748756586112261,0.0516152
1681748756819339991,0.0523154
1681748757052552700,0.0683868
1681748757519001722,0.0584078
1681748757752233744,0.0640701
1681748757985450506,0.0620056
1681748758218651295,0.0670304
1681748758453051567,0.0489684
1681748758687913418,0.0488125
1681748759157997131,0.0531283
1681748759392362833,0.0577187
1681748759625868559,0.0604315
1681748759859374762,0.0556154
1681748760092880726,0.0754107
1681748760326386452,0.0556461
1681748760793399096,0.0469038
1681748761026905298,0.0528198
1681748761260412931,0.0575453
1681748761493906260,0.0593362
1681748761727399349,0.0589644
1681748761960892439,0.0533821
1681748762427884102,0.0473956
1681748762661387682,0.0467451
1681748762894891024,0.0490312
1681748763128394127,0.0446095
1681748763361900568,0.0477514
1681748763595414639,0.046364
1681748763828929186,0.0502118
1681748764062444687,0.0421665
1681748764295959473,0.0476291
1681748764762956142,0.066735
1681748764996453524,0.0392376
1681748765229950666,0.0437636
1681748765463449955,0.0572638
1681748765696949720,0.0448778
1681748765930449486,0.0644433
1681748766397446394,0.0414127
1681748766630941868,0.0388733
1681748766864437103,0.0466436
1681748767097931862,0.044245
1681748767331427336,0.04219
1681748767798420429,0.0372559
1681748768031916142,0.0335785
1681748768265410900,0.0323546
1681748768498915911,0.0323412
1681748768732420921,0.0355599
1681748768965925932,0.0370151
1681748769199431181,0.0367525
1681748769432938099,0.0372612
1681748769899953127,0.047277
1681748770133460999,0.0343024
1681748770366967440,0.0369009
1681748770600471497,0.0390114
1681748770833975077,0.0441597
1681748771067478895,0.040636
1681748771300982475,0.0347773
1681748771767977476,0.0363644
1681748772001474380,0.0368125
1681748772234970808,0.0342737
1681748772468472004,0.0426434
1681748772701974630,0.0363965
1681748773168980122,0.046147
1681748773402481318,0.0548909
1681748773635979891,0.0375284
1681748773869478941,0.0371327
1681748774336475372,0.0538028
1681748774569968224,0.0538507
1681748774803460598,0.0788173
1681748775036952972,0.0587819
1681748775270444393,0.0683194
1681748775503939152,0.0617649
1681748775970927954,0.0566604
1681748776204422235,0.0522787
1681748776437913895,0.0576633
1681748776671404123,0.0616819
1681748776904894352,0.0634913
1681748777371876478,0.0574607
1681748777605372429,0.0537775
1681748777838867903,0.0608299
1681748778072363138,0.059788
1681748778305858850,0.0651422
1681748778539371729,0.0624277
1681748779006399632,0.0632755
1681748779239914656,0.0627008
1681748779473431110,0.0643981
1681748779706948757,0.0659274
1681748779940467119,0.0572392
1681748780173986435,0.0577111
1681748780641016006,0.0642162
1681748780874530315,0.0794046
1681748781108044863,0.0654478
1681748781341557980,0.0673912
1681748781808568001,0.0680672
1681748782042073250,0.0733722
1681748782275578976,0.0671594
1681748782742583513,0.076265
1681748782976085424,0.0782965
1681748783209587097,0.0786125
1681748783676589251,0.0768046
1681748783910089970,0.0761579
1681748784143590689,0.0727791
1681748784610595226,0.0718402
1681748784844098568,0.0554033
1681748785077602148,0.0569958
1681748785311106682,0.0520628
1681748785544622421,0.0560915
1681748786011656046,0.0795822
1681748786245173931,0.0562202
1681748786712187290,0.0729068
1681748786945692778,0.064658
1681748787179198742,0.0593384
1681748787646201849,0.058126
1681748787879702091,0.0614423
1681748788113202095,0.0542541
1681748788346701860,0.0538617
1681748788580199718,0.0488019
1681748788813697338,0.0530334
1681748789280691624,0.063335
1681748789514191389,0.059236
1681748789747690678,0.0906977
1681748790214688778,0.063625
1681748790448193550,0.0684013
1681748790681701422,0.0775666
1681748791148717642,0.0717644
1681748791382222652,0.104057
1681748791615723133,0.0817207
1681748792082722902,0.0844988
1681748792316221476,0.0911563
1681748792549709082,0.0884821
1681748792783195496,0.088524
1681748793250165462,0.0893003
