timestamp[ns],x,y,z,qw,qx,qy,qz
1681748608315577507,4.31947e-17,-4.02775e-17,5.07328e-18,0.653683,-0.75666,0.012819,-1.72495e-17
1681748608549081087,0.00325157,-0.0105763,0.00129507,0.656737,-0.754023,0.0119106,0.00169097
1681748608782584906,0.0133206,-0.0121132,-0.000781978,0.656365,-0.754367,0.0102085,0.0033553
1681748609016092539,0.0148753,-0.0136664,-0.000931714,0.657184,-0.753655,0.00993983,0.0038562
1681748609249603033,0.0135218,-0.0145019,-0.0010241,0.655932,-0.754743,0.00972794,0.00474377
1681748609483114004,0.0124649,-0.0151204,-0.00169156,0.656202,-0.75451,0.00948043,0.00485332
1681748609716625452,0.0102841,-0.0158873,-0.00125694,0.656599,-0.754153,0.0100388,0.0054345
1681748609950138569,0.0147067,-0.0165346,-0.000264236,0.656954,-0.753825,0.0116773,0.00472411
1681748610183657169,0.0169785,-0.0156752,-0.00270823,0.654078,-0.756328,0.0109186,0.00546605
1681748610417176962,0.0190054,-0.0162725,-0.00328242,0.654168,-0.756244,0.0113965,0.00544528
1681748610650697708,0.0190001,-0.0166935,-0.00226474,0.655271,-0.755289,0.0114338,0.00526125
1681748610884219885,0.0185987,-0.0148993,-0.00327446,0.65349,-0.756807,0.0127733,0.00561553
1681748611117723942,0.0183685,-0.0158188,-0.00445896,0.653189,-0.757063,0.0128975,0.00577615
1681748611351227760,0.0185471,-0.0164363,-0.00435995,0.6531,-0.757176,0.0115222,0.00354199
1681748611584731579,0.0181507,-0.0158709,-0.0031284,0.655024,-0.755531,0.0103126,0.003209
1681748611818235636,0.0166074,-0.0143501,-0.00385183,0.654347,-0.756124,0.00984844,0.00300363
1681748612051738262,0.0151365,-0.0139905,-0.00293871,0.654989,-0.755574,0.00947124,0.00276763
1681748612285240412,0.0152017,-0.0145079,-0.00294741,0.656445,-0.754321,0.00866072,0.00222084
1681748612518742561,0.0156562,-0.0140955,-0.00596986,0.653066,-0.757245,0.00836172,0.00377465
1681748612752244473,0.0174745,-0.0124451,-0.00677996,0.653443,-0.756902,0.0102499,0.00262198
1681748612985746861,0.0172117,-0.0114503,-0.00600747,0.65545,-0.755168,0.0100908,0.0024321
1681748613219249964,0.0195225,-0.0110079,-0.00741354,0.654073,-0.756368,0.00960946,0.00207781
1681748613452752829,0.0198326,-0.0114211,-0.00636489,0.655516,-0.755141,0.00723735,0.00304631
1681748613686255693,0.0207468,-0.0135129,-0.00526546,0.655951,-0.754766,0.00737698,0.00179991
1681748613919758797,0.0187021,-0.0125021,-0.00291949,0.657192,-0.753686,0.00724812,0.00173483
1681748614153264999,0.0157371,-0.0128682,-0.00202213,0.657836,-0.753131,0.00620085,0.00274899
1681748614386771441,0.014978,-0.0141451,-0.00277727,0.656863,-0.753976,0.00622618,0.00354502
1681748614620278358,0.0164819,-0.0155493,-0.00253799,0.65719,-0.753697,0.0056188,0.00324323
1681748614853785515,0.0152963,-0.0166825,-0.00302921,0.656608,-0.754198,0.00652235,0.00290615
1681748615087287664,0.015702,-0.0182341,-0.00314609,0.656619,-0.754186,0.00695822,0.00242409
1681748615320788860,0.0179781,-0.0206722,-0.00364011,0.656103,-0.754632,0.00757562,0.00111958
1681748615554290056,0.017933,-0.0216636,-0.00435007,0.656218,-0.754544,0.00650233,0.000469374
1681748615787791491,0.0144803,-0.0220664,-0.00434269,0.657278,-0.753625,0.005872,0.000238439
1681748616021289825,0.0116217,-0.0171469,-0.00681357,0.656295,-0.754474,0.00672018,-0.000188386
1681748616254785538,0.00701277,-0.00841005,-0.00977007,0.654584,-0.755934,0.00874729,-0.00267032
1681748616488281250,-0.00106508,0.00337112,-0.0125865,0.6547,-0.755788,0.0112074,-0.00512259
1681748616721776485,-0.0176988,0.0268204,-0.0167636,0.653119,-0.757038,0.0164609,-0.00769608
1681748616955273628,-0.0427089,0.0603083,-0.017498,0.657466,-0.753182,0.020682,-0.00534753
1681748617188777685,-0.0650205,0.111008,-0.0327196,0.651389,-0.758222,0.0281341,-0.000381577
1681748617422281265,-0.0738149,0.183351,-0.0600294,0.632507,-0.774116,0.0244666,0.00899222
1681748617655785084,-0.0613166,0.281395,-0.0715689,0.635961,-0.771336,0.0167494,0.0177292
1681748617889288902,-0.0282535,0.405018,-0.0618681,0.640639,-0.767481,0.0117255,0.0204342
1681748618122800589,-0.00687318,0.530406,-0.0310632,0.657709,-0.753105,-0.0070741,0.0141782
1681748618356312990,-0.000932989,0.661079,-0.0271101,0.644917,-0.763852,-0.0147723,0.0198526
1681748618589825869,-0.00881841,0.818157,-0.0302756,0.649454,-0.759953,-0.0170185,0.0197869
1681748618823339701,-0.0261097,0.989504,-0.0249397,0.658162,-0.752502,-0.00847351,0.0221908
1681748619056843758,-0.0391828,1.16559,-0.0201531,0.657803,-0.752804,-0.00352357,0.0238521
1681748619290343761,-0.043414,1.35487,-0.0313867,0.652343,-0.757366,-0.00412583,0.0287787
1681748619523843527,-0.0321372,1.55543,-0.0360142,0.654102,-0.75559,-0.00545076,0.0347028
1681748619757343292,-0.029009,1.75035,-0.0111561,0.661586,-0.749349,-0.0115044,0.0254494
1681748619990838528,-0.0405583,1.93165,-0.00105694,0.665222,-0.746252,-0.0182584,0.0159459
1681748620224327326,-0.0666191,2.11917,0.000179118,0.666619,-0.745107,-0.0064576,0.01981
1681748620457815170,-0.10111,2.30773,0.0154006,0.672053,-0.740272,-0.000729883,0.0184749
1681748620691302299,-0.118273,2.49178,0.0184908,0.66385,-0.74759,0.00564568,0.019536
1681748620924737215,-0.123525,2.68746,0.0172148,0.663527,-0.747684,0.00725862,0.0254643
1681748621158980370,-0.127072,2.88468,0.0223391,0.664049,-0.747275,-0.00584383,0.0241862
1681748621393255949,-0.139577,3.07059,0.023258,0.660172,-0.750689,-0.0128697,0.0217639
1681748621627563715,-0.173042,3.25607,0.0231795,0.670781,-0.741143,-0.0127866,0.0244174
1681748621861904144,-0.213656,3.44838,0.0233105,0.668679,-0.743266,0.000875323,0.0205776
1681748622095662117,-0.244095,3.64366,0.0220521,0.6566,-0.753949,0.00496279,0.020301
1681748622329081535,-0.269185,3.84397,0.0137925,0.65807,-0.752424,0.00620051,0.0276272
1681748622562496185,-0.293208,4.04788,0.0198523,0.668618,-0.743017,-0.00786596,0.0285255
1681748622795906067,-0.317235,4.2447,0.0112536,0.65353,-0.756395,-0.0155712,0.022881
1681748623029320478,-0.361378,4.44092,-0.00345998,0.658884,-0.751826,-0.0203167,0.0147318
1681748623262745142,-0.418113,4.6424,0.00481406,0.662979,-0.748365,-0.0162283,0.0120572
1681748623496164799,-0.46572,4.83521,0.0176126,0.661016,-0.75002,-0.0128584,0.0190538
1681748623729580164,-0.501041,5.04401,0.01737,0.663522,-0.747514,-0.0160404,0.0265496
1681748623962992668,-0.519716,5.2613,0.0285131,0.668186,-0.743146,-0.0213742,0.0283585
1681748624196420193,-0.540761,5.46401,0.0371371,0.662983,-0.747652,-0.0265288,0.0276641
1681748624429843187,-0.574368,5.66234,0.0355361,0.669085,-0.742518,-0.0222788,0.0222889
1681748624663261890,-0.617629,5.87408,0.0384895,0.667878,-0.744093,-0.00894227,0.0136238
1681748624896676064,-0.652599,6.07753,0.0455432,0.668803,-0.74336,-0.00400066,0.0100849
1681748625130104303,-0.676618,6.2972,0.0415024,0.667784,-0.744192,-0.00518348,0.0147156
1681748625363533020,-0.69262,6.52846,0.0586816,0.680902,-0.732149,-0.0111235,0.0143529
1681748625596957445,-0.721722,6.75358,0.0743504,0.674065,-0.738231,-0.0176209,0.0184919
1681748625830378056,-0.763918,6.9842,0.0792909,0.683336,-0.729728,-0.0182344,0.0146926
1681748626063805342,-0.812299,7.22211,0.0886423,0.681006,-0.732203,-0.00738651,0.00750178
1681748626297238827,-0.857379,7.44913,0.0981031,0.678495,-0.734515,-0.00890071,0.00725948
1681748626530668020,-0.880424,7.68401,0.0916216,0.681004,-0.732053,-0.00816972,0.0162765
1681748626764093161,-0.895752,7.91849,0.0957276,0.678832,-0.734006,-0.0107151,0.0175433
1681748626997517586,-0.916457,8.15624,0.0890791,0.673228,-0.739182,-0.012808,0.0144964
1681748627230947971,-0.958732,8.39995,0.0754658,0.67904,-0.733993,-0.00736943,0.0101779
1681748627464374304,-1.0146,8.65592,0.0841038,0.680067,-0.733117,-5.71056e-06,0.00698235
1681748627697796345,-1.05885,8.91467,0.0865096,0.671411,-0.740969,0.00145802,0.0130472
1681748627931212664,-1.09483,9.17309,0.0953564,0.685321,-0.727767,-0.0123496,0.0231886
1681748628164646864,-1.12608,9.43483,0.111418,0.688135,-0.724712,-0.0198198,0.0294887
1681748628398077250,-1.15866,9.68963,0.103606,0.686126,-0.726646,-0.0185066,0.0295697
1681748628631502867,-1.1885,9.94115,0.0838055,0.676048,-0.736081,-0.000787268,0.033822
1681748628864924908,-1.21039,10.1969,0.0765722,0.670235,-0.7417,0.0100255,0.0237947
1681748629098357439,-1.22718,10.4278,0.0737345,0.673023,-0.739226,0.005485,0.0235518
1681748629331794500,-1.2417,10.6819,0.0659443,0.680328,-0.732451,-0.00856053,0.0244033
1681748629565227270,-1.24978,10.9192,0.0612376,0.67408,-0.738018,-0.0146123,0.0270694
1681748629798656464,-1.25745,11.1424,0.0502743,0.670337,-0.741735,-0.00702524,0.0206668
