nodes_active,nodes_removed,nodes_merged,nodes_w_parents,nodes_w_children,edges
0,0,0,0,0,0
9,0,0,0,3,14
11,0,0,0,4,22
11,1,0,0,3,22
11,3,0,0,5,20
11,4,0,0,4,20
12,3,0,0,4,23
12,3,0,0,4,23
12,4,0,0,4,22
12,4,0,0,4,23
12,4,0,0,4,23
11,5,0,0,4,22
11,5,0,0,4,22
11,5,0,0,4,22
11,5,0,0,4,22
10,7,0,0,4,19
10,7,0,0,4,19
10,7,0,0,4,19
10,7,0,0,4,19
10,7,0,0,4,19
10,7,0,0,4,19
10,7,0,0,4,19
10,7,0,0,4,19
10,7,0,0,4,19
10,7,0,0,4,19
10,7,0,0,4,19
10,7,0,0,4,19
10,7,0,0,4,19
10,7,0,0,4,19
10,7,0,0,4,19
10,7,0,0,4,19
10,7,0,0,4,19
10,7,0,0,4,19
10,7,0,0,4,19
11,7,0,0,4,20
10,8,0,0,4,19
11,8,0,0,4,20
14,8,0,0,4,29
13,11,0,0,4,28
14,14,0,0,4,28
15,15,0,0,4,30
18,14,0,18,4,39
17,17,0,0,4,40
17,20,0,0,4,39
17,21,0,0,4,38
17,22,0,0,5,35
17,23,0,0,5,37
19,23,0,19,5,43
21,23,0,21,5,49
21,23,0,0,5,50
22,23,0,0,5,52
20,26,0,20,5,47
21,25,0,0,6,55
21,26,0,21,6,56
22,27,0,22,6,57
25,30,0,25,6,65
23,35,0,23,6,56
24,37,0,0,6,63
25,37,0,25,7,71
26,38,0,26,7,77
26,40,0,26,8,71
25,42,0,25,8,71
25,43,0,0,8,71
31,43,0,0,9,84
32,48,0,32,10,93
29,53,0,29,10,80
30,54,0,30,10,84
29,57,0,29,10,77
29,59,0,0,11,82
27,61,0,27,10,72
34,59,0,34,11,108
34,62,0,34,11,111
38,64,0,38,12,117
37,67,0,37,12,119
37,70,0,37,12,114
36,72,0,36,13,112
36,73,0,36,13,113
40,75,0,40,13,123
41,77,0,41,13,124
39,79,0,39,13,122
40,80,0,40,13,121
39,83,0,39,14,119
40,84,0,40,14,123
42,85,0,42,15,125
42,87,0,42,15,125
44,90,0,44,15,129
45,93,0,45,15,130
41,98,0,41,15,123
42,100,0,42,15,125
43,102,0,43,16,126
44,103,0,44,17,131
43,105,0,43,20,132
48,105,0,48,20,137
49,108,0,49,18,138
51,111,0,51,19,145
49,117,0,49,19,145
49,117,0,49,19,147
50,118,0,50,19,148
53,119,0,50,19,150
50,123,0,50,19,150
52,124,0,52,18,155
56,127,0,56,19,166
53,134,0,53,18,161
55,134,0,55,20,172
54,136,0,54,22,164
54,136,0,54,22,171
55,137,0,55,23,173
56,138,0,56,23,174
58,138,0,58,23,186
62,143,0,62,23,184
59,148,0,59,23,190
59,150,0,59,24,187
59,151,0,59,24,189
61,151,0,61,24,195
65,150,0,65,24,216
63,153,0,63,24,205
61,155,0,61,24,199
63,155,0,63,25,207
62,159,0,62,25,206
65,160,0,65,25,210
65,164,0,65,26,209
67,166,0,67,25,214
68,170,0,68,25,212
71,175,0,71,25,227
69,180,0,69,25,224
67,185,0,67,25,217
65,188,0,65,26,208
74,186,0,74,25,246
74,195,0,74,26,228
75,203,0,75,26,238
73,210,0,73,26,236
74,215,0,74,26,236
77,219,0,77,26,245
73,227,0,73,26,235
78,228,0,78,27,250
79,234,0,79,29,241
78,243,0,78,29,232
78,250,0,78,29,244
80,255,0,80,29,251
79,264,0,79,29,249
76,272,0,76,29,241
79,274,0,79,29,247
80,278,0,80,29,245
78,284,0,78,29,236
83,284,0,83,30,255
83,292,0,83,30,255
85,298,0,85,31,266
84,308,0,84,33,257
88,315,0,88,32,277
90,322,0,90,33,277
92,329,0,92,35,293
90,340,0,90,35,272
92,348,0,92,35,288
90,354,0,90,35,296
92,357,0,92,35,301
90,363,0,90,35,305
91,366,0,91,36,312
93,371,0,93,36,303
97,376,0,97,36,319
97,380,0,97,36,313
96,389,0,96,36,311
95,396,0,95,37,328
96,403,0,96,38,313
101,408,0,101,38,339
101,420,0,101,39,329
105,428,0,105,40,353
103,439,0,103,38,336
101,448,0,101,39,340
101,454,0,101,39,343
99,459,0,99,40,338
103,460,0,103,41,354
103,467,0,103,42,342
103,472,0,103,41,351
105,478,0,105,43,344
102,486,0,102,43,341
105,489,0,105,43,347
105,495,0,105,43,346
105,496,0,105,44,346
111,497,0,111,44,357
108,505,0,108,45,353
108,508,0,108,44,350
112,510,0,112,45,365
114,515,0,114,46,363
111,522,0,111,46,357
115,525,0,115,47,371
115,530,0,115,48,371
114,536,0,114,49,370
115,542,0,115,49,374
115,549,0,115,49,373
116,555,0,116,49,375
117,558,0,117,49,378
117,562,0,117,49,378
120,567,0,120,50,386
121,571,0,121,50,389
119,580,0,119,50,382
119,583,0,119,50,384
124,588,0,124,50,400
125,596,0,125,50,402
126,598,0,126,50,414
123,604,0,123,52,394
125,605,0,125,52,406
125,608,0,125,53,410
128,610,0,125,53,409
127,613,0,127,53,417
130,615,0,130,54,422
129,618,0,129,55,417
128,622,0,128,56,410
129,621,0,129,56,417
129,622,0,129,56,421
127,624,0,127,55,409
133,622,0,133,56,434
132,625,0,132,56,438
132,625,0,132,56,435
131,627,0,131,55,427
133,627,0,133,56,437
134,628,0,134,56,450
133,630,0,133,56,436
134,631,0,134,55,446
137,631,0,137,56,454
140,634,0,140,56,467
141,636,0,141,56,476
139,638,0,139,57,473
139,639,0,139,57,473
142,639,0,142,57,481
137,644,0,137,57,459
142,645,0,142,58,479
144,649,0,144,58,487
143,657,0,143,58,471
144,659,0,144,59,480
143,663,0,143,59,476
144,663,0,144,60,483
143,664,0,143,60,477
141,666,1,141,58,473
140,666,2,140,58,474
141,665,2,141,58,484
141,666,2,141,58,474
142,670,2,142,58,479
146,673,2,143,59,476
147,681,2,143,60,478
149,688,2,149,60,482
149,694,2,149,60,494
147,704,2,147,60,483
149,707,2,149,60,495
149,714,2,149,61,495
149,719,2,149,61,496
152,725,2,152,60,500
152,731,2,152,60,500
148,738,2,148,60,488
151,736,2,151,60,504
152,738,2,152,61,507
155,741,2,155,62,511
157,748,2,157,62,517
154,753,2,154,62,509
158,759,2,158,63,519
159,766,2,159,63,541
158,773,2,158,62,532
158,781,2,158,63,538
159,786,2,159,64,535
161,793,2,161,63,544
159,799,2,159,64,540
160,805,2,160,65,544
159,809,2,159,65,541
163,814,2,163,65,549
163,821,2,163,65,556
163,825,2,163,65,554
166,831,2,166,65,563
166,840,2,166,65,569
165,845,2,165,66,564
167,849,2,167,67,567
167,852,2,167,67,579
168,857,2,168,67,576
167,860,2,167,68,581
169,859,2,169,69,598
165,866,2,165,69,564
167,869,2,167,69,569
167,872,2,167,69,578
169,873,2,169,69,586
171,874,2,171,69,592
171,874,2,171,70,594
173,876,2,173,70,597
172,881,2,172,70,598
173,883,2,173,70,601
173,886,2,173,70,602
174,888,2,174,70,603
173,889,2,173,70,602
176,890,2,176,69,605
176,894,2,176,69,609
177,899,2,177,70,612
178,906,2,178,70,609
175,912,2,175,70,606
180,911,2,180,70,619
178,916,2,178,70,617
178,919,2,178,71,621
177,925,2,177,72,615
179,927,2,179,73,617
182,931,2,182,73,633
181,940,2,181,73,630
182,944,2,182,75,632
178,955,2,178,75,624
184,961,2,184,75,631
178,972,2,178,76,623
180,978,2,180,78,626
182,983,2,182,76,633
191,986,2,191,77,648
187,996,2,187,78,651
184,1003,2,184,77,638
188,1007,2,188,77,647
187,1015,2,187,77,649
190,1019,2,190,77,657
189,1026,2,189,77,658
189,1032,2,189,77,658
190,1038,2,190,77,659
191,1044,2,191,77,662
198,1051,2,198,79,680
198,1064,2,198,79,684
195,1076,2,195,79,680
196,1083,2,196,79,672
195,1091,2,195,79,671
194,1096,2,194,80,676
194,1100,2,194,80,673
193,1102,2,193,81,675
195,1104,2,195,81,680
198,1104,2,198,81,691
200,1107,2,200,82,697
204,1110,2,204,82,711
203,1115,2,203,82,709
203,1121,2,203,82,710
204,1126,2,204,83,718
205,1131,2,205,81,724
202,1135,2,202,82,712
203,1136,2,203,82,716
203,1137,2,203,83,719
210,1139,2,210,83,744
207,1146,2,207,83,725
209,1147,2,209,85,742
205,1153,2,205,86,720
211,1155,2,211,86,740
210,1159,2,210,86,743
210,1162,2,210,85,750
217,1163,2,217,87,776
213,1170,2,213,86,768
216,1173,2,216,87,765
213,1181,2,213,87,770
216,1180,2,216,88,786
214,1182,2,214,88,776
217,1182,2,217,89,792
220,1184,2,220,89,793
225,1184,2,225,88,801
221,1192,2,221,89,799
220,1195,2,220,89,787
223,1197,2,223,89,796
224,1202,2,224,89,794
231,1206,2,231,89,823
230,1216,2,230,89,819
231,1223,2,231,89,814
232,1229,2,232,89,831
235,1235,2,235,89,833
233,1240,2,233,90,830
236,1244,2,236,92,843
239,1251,2,239,92,848
239,1263,2,239,92,850
237,1273,2,237,92,841
242,1280,2,242,92,859
244,1288,2,244,94,859
243,1298,2,243,94,863
245,1303,2,245,95,867
245,1312,2,245,96,865
247,1319,2,247,96,871
251,1322,2,251,96,884
250,1332,2,250,96,875
248,1338,2,248,95,869
248,1342,2,248,96,871
250,1346,2,250,96,881
