timestamp(ns),elapsed(s)
1681748609249603033,0.000232011
1681748609483114004,8.325e-06
1681748609716625452,6.118e-06
1681748609950138569,0.000116997
1681748610183657169,3.6479e-05
1681748610417176962,2.116e-05
1681748610650697708,2.1917e-05
1681748610884219885,2.6766e-05
1681748611117723942,2.3729e-05
1681748611351227760,4.6393e-05
1681748611584731579,2.3924e-05
1681748611818235636,2.2566e-05
1681748612051738262,2.258e-05
1681748612285240412,2.0287e-05
1681748612518742561,2.2312e-05
1681748612752244473,2.0086e-05
1681748612985746861,5.2555e-05
1681748613219249964,2.3601e-05
1681748613452752829,2.0902e-05
1681748613686255693,2.6096e-05
1681748613919758797,2.0848e-05
1681748614153264999,2.3358e-05
1681748614386771441,2.1616e-05
1681748614620278358,2.5701e-05
1681748614853785515,2.1554e-05
1681748615087287664,3.1841e-05
1681748615320788860,2.3492e-05
1681748615554290056,2.1287e-05
1681748615787791491,2.4176e-05
1681748616021289825,2.5758e-05
1681748616254785538,2.2763e-05
1681748616488281250,4.9535e-05
1681748616721776485,2.349e-05
1681748616955273628,6.9498e-05
1681748617188777685,3.1341e-05
1681748617422281265,3.9696e-05
1681748617655785084,2.2158e-05
1681748617889288902,2.1284e-05
1681748618122800589,2.8075e-05
1681748618356312990,2.2341e-05
1681748618589825869,2.5031e-05
1681748618823339701,4.8091e-05
1681748619056843758,2.2163e-05
1681748619290343761,2.4971e-05
1681748619523843527,4.7223e-05
1681748619757343292,2.4006e-05
1681748619990838528,2.3843e-05
1681748620224327326,2.8048e-05
1681748620457815170,2.3878e-05
1681748620691302299,2.7244e-05
1681748620924737215,3.4473e-05
1681748621158980370,4.6734e-05
1681748621393255949,2.3808e-05
1681748621627563715,4.5954e-05
1681748621861904144,2.4032e-05
1681748622095662117,3.9105e-05
1681748622329081535,3.1867e-05
1681748622562496185,2.6771e-05
1681748622795906067,2.8828e-05
1681748623029320478,2.3557e-05
1681748623262745142,9.7044e-05
1681748623496164799,6.235e-05
1681748623729580164,7.8319e-05
1681748623962992668,0.000109731
1681748624196420193,0.000137457
1681748624429843187,8.5804e-05
1681748624663261890,6.9721e-05
1681748624896676064,7.0371e-05
1681748625130104303,3.6264e-05
1681748625363533020,3.8817e-05
1681748625596957445,2.8618e-05
1681748625830378056,4.2949e-05
1681748626063805342,3.2615e-05
1681748626297238827,3.0643e-05
1681748626530668020,8.6942e-05
1681748626764093161,3.4911e-05
1681748626997517586,6.3035e-05
1681748627230947971,3.2631e-05
1681748627464374304,4.3865e-05
1681748627697796345,3.166e-05
1681748627931212664,3.2278e-05
1681748628164646864,3.2496e-05
1681748628398077250,4.0065e-05
1681748628631502867,3.65e-05
1681748628864924908,0.000146727
1681748629098357439,5.2665e-05
1681748629331794500,8.4582e-05
1681748629565227270,3.4139e-05
1681748629798656464,0.000101272
1681748630032084942,3.5779e-05
1681748630265513897,3.7445e-05
1681748630498938799,3.6379e-05
1681748630732359171,6.5088e-05
1681748630965777159,6.6719e-05
1681748631199209929,5.5145e-05
1681748631432638645,6.5023e-05
1681748631666063070,3.5453e-05
1681748631899483442,4.2115e-05
1681748632132906437,6.448e-05
1681748632366326571,3.8143e-05
1681748632599741936,3.3236e-05
1681748632833152294,3.5637e-05
1681748633066572189,0.000110755
1681748633300000906,9.699e-05
1681748633533425331,4.0972e-05
1681748633766845226,9.6162e-05
1681748634000267744,8.4853e-05
1681748634233710766,3.6304e-05
1681748634467150211,4.1235e-05
1681748634700585604,3.812e-05
1681748634934016943,3.4476e-05
1681748635167460680,3.9468e-05
1681748635400901079,3.2293e-05
1681748635634337425,3.3344e-05
1681748635867769718,3.9387e-05
1681748636101193190,3.6278e-05
1681748636334608078,0.000140534
1681748636568017721,5.7238e-05
1681748636801422596,5.6646e-05
1681748637034974337,4.3576e-05
1681748637268821955,3.9773e-05
1681748637502702236,4.2534e-05
1681748637736614704,6.1899e-05
1681748637970525980,7.2865e-05
1681748638204026699,3.9103e-05
1681748638437527180,3.4931e-05
1681748638671027422,5.8284e-05
1681748638904527426,4.0326e-05
1681748639138030529,6.1054e-05
1681748639371534824,9.2036e-05
1681748639605039120,4.2319e-05
1681748639838543415,4.4129e-05
1681748640072048903,4.4302e-05
1681748640305555105,4.7855e-05
1681748640539062023,4.1353e-05
1681748640772568941,4.8142e-05
1681748641006057501,7.2658e-05
1681748641242299318,5.6269e-05
1681748641478661299,4.6163e-05
1681748641715143681,4.5468e-05
1681748641951746464,4.0457e-05
1681748642185541630,6.3301e-05
1681748642418845654,3.9955e-05
1681748642652137280,5.0151e-05
1681748642885416031,4.0058e-05
1681748643118675232,4.4204e-05
1681748643351911306,9.118e-05
1681748643585131884,4.0473e-05
1681748643818336725,4.5679e-05
1681748644051541090,4.3547e-05
1681748644284761667,4.194e-05
1681748644517965555,6.287e-05
1681748644751152992,7.1313e-05
1681748644984325647,4.5589e-05
1681748645217558146,3.461e-05
1681748645450774431,5.2987e-05
1681748645683974743,4.4639e-05
1681748645917158842,4.862e-05
1681748646150377989,6.8587e-05
1681748646383599043,0.000125191
1681748646616804123,5.831e-05
1681748646849992752,4.7255e-05
1681748647083358526,4.0427e-05
1681748647317107677,7.5315e-05
1681748647550863028,5.024e-05
1681748647784625053,4.3699e-05
1681748648018393517,4.3304e-05
1681748648251703739,4.6939e-05
1681748648484876156,4.889e-05
1681748648718029737,7.4448e-05
1681748648951164007,4.8336e-05
1681748649184324265,8.7688e-05
1681748649417505264,8.8289e-05
1681748649650667667,0.000100412
1681748649883810997,5.2056e-05
1681748650116954803,4.7921e-05
1681748650350139856,4.4363e-05
1681748650583306313,7.3377e-05
1681748650816454172,6.0805e-05
1681748651049579144,8.5355e-05
1681748651282777309,4.66e-05
1681748651515957355,5.8189e-05
1681748651749119282,6.8152e-05
1681748651982263088,9.8948e-05
1681748652215440035,5.9195e-05
1681748652448624372,4.9214e-05
1681748652681790113,4.5691e-05
1681748652914937019,5.5733e-05
1681748653148091555,8.2404e-05
1681748653381270170,4.2076e-05
1681748653614429951,8.8915e-05
1681748653847570181,5.1176e-05
1681748654080698490,5.1832e-05
1681748654313885212,4.8809e-05
1681748654547052622,0.000206407
1681748654780201197,9.3937e-05
1681748655013330460,5.18e-05
1681748655246503353,5.8048e-05
1681748655479669094,4.1626e-05
1681748655712815523,4.5365e-05
1681748655945942402,7.151e-05
1681748656179097891,5.28e-05
1681748656412279606,6.0228e-05
1681748656645442247,4.9444e-05
1681748656878585577,9.6223e-05
1681748657112069130,8.4111e-05
1681748657346814632,4.6919e-05
1681748657581677437,6.7788e-05
1681748657816657305,7.3787e-05
1681748658051843643,5.5372e-05
1681748658285289288,5.9448e-05
1681748658518731117,5.0224e-05
1681748658752169371,6.259e-05
1681748658985604286,4.8267e-05
1681748659219059706,5.4038e-05
1681748659452525854,5.3512e-05
1681748659685989618,8.9697e-05
1681748659919451237,7.5441e-05
1681748660152910233,5.0962e-05
1681748660386365175,5.5635e-05
1681748660619817257,5.5562e-05
1681748660853265762,5.952e-05
1681748661086711884,5.7018e-05
1681748661320157290,6.6333e-05
1681748661553598881,0.000189346
1681748661787036896,6.1508e-05
1681748662020471334,5.247e-05
1681748662253910780,4.9342e-05
1681748662487348318,8.5003e-05
1681748662720782518,7.2961e-05
1681748662954212666,5.5165e-05
1681748663188529968,6.7141e-05
1681748663425057173,8.132e-05
1681748663661727428,5.5428e-05
1681748663898540974,7.8776e-05
1681748664135390043,9.2181e-05
1681748664368629932,0.000123231
1681748664601854086,5.4342e-05
1681748664835062265,5.4856e-05
1681748665068254948,6.3657e-05
1681748665301477194,5.4767e-05
1681748665534688950,5.8384e-05
1681748665767884254,5.4685e-05
1681748666001063347,8.2719e-05
1681748666234256506,0.00018647
1681748666467470169,5.9088e-05
1681748666700667143,7.7388e-05
1681748666933847427,0.000108772
1681748667167026520,5.3057e-05
1681748667400254011,6.059e-05
1681748667633464813,5.9415e-05
1681748667866659403,7.5776e-05
1681748668099829435,6.6686e-05
1681748668333080769,0.000125107
1681748668566316843,6.5872e-05
1681748668799537897,6.7462e-05
1681748669032743692,5.5274e-05
1681748669265967369,5.9156e-05
1681748669499194622,9.9966e-05
1681748669732405901,5.5294e-05
1681748669965601444,7.5106e-05
1681748670198810577,6.0396e-05
1681748670432065487,4.8441e-05
1681748670665305138,9.0219e-05
1681748670898530006,5.2678e-05
1681748671131742239,5.8757e-05
1681748671364975214,8.0086e-05
1681748671598191977,6.0994e-05
1681748671831392288,4.9179e-05
1681748672064576387,6.9877e-05
1681748672297803402,6.102e-05
1681748672531034231,9.3754e-05
1681748672764249325,5.8756e-05
1681748672997448683,6.1258e-05
1681748673230662823,9.3284e-05
1681748673463896275,8.0481e-05
1681748673697113276,6.7271e-05
1681748673930314779,5.094e-05
1681748674163510084,6.2446e-05
1681748674396734953,5.4113e-05
1681748674629942894,5.8483e-05
1681748674863134623,7.2625e-05
1681748675096302271,6.5829e-05
1681748675329537630,0.000160927
1681748675562756777,5.3703e-05
1681748675795959949,6.1284e-05
1681748676029147148,6.1369e-05
1681748676262368917,6.1646e-05
1681748676495606899,0.000120896
1681748676728829384,9.6257e-05
1681748676962036371,9.4892e-05
1681748677195251942,9.4741e-05
1681748677428501606,5.5216e-05
1681748677661735773,5.471e-05
1681748677894954920,6.0763e-05
1681748678128160238,6.3498e-05
1681748678361392736,5.5286e-05
1681748678594608784,6.2573e-05
1681748678827808619,6.1834e-05
1681748679060991764,0.0001072
1681748679295353651,7.7102e-05
1681748679530228138,9.8733e-05
1681748679765223742,7.2905e-05
1681748680000340462,6.5312e-05
1681748680234762669,0.000107238
1681748680468269825,6.1811e-05
1681748680701776981,6.1823e-05
1681748680935284376,6.4269e-05
1681748681168790340,7.197e-05
1681748681402287483,6.628e-05
1681748681635784388,9.9918e-05
1681748681869280815,6.8205e-05
1681748682102776766,0.000124769
1681748682336270809,9.5947e-05
1681748682569763660,9.55e-05
1681748682803256035,7.4595e-05
1681748683036747694,7.0408e-05
1681748683270240545,7.2162e-05
1681748683503733635,5.8011e-05
1681748683737225771,6.9091e-05
1681748683970717430,7.1789e-05
1681748684204211950,8.1673e-05
1681748684437713385,6.4486e-05
1681748684671214581,6.4407e-05
1681748684904715776,6.2548e-05
1681748685138217211,5.8329e-05
1681748685373922586,6.0153e-05
1681748685610257149,5.7044e-05
1681748685846711874,0.00011632
1681748686083286524,0.000129101
1681748686318011284,9.2234e-05
1681748686551273346,0.000129376
1681748686784521580,6.9247e-05
1681748687017755270,0.000104057
1681748687250983238,7.4116e-05
1681748687484208822,7.8269e-05
1681748687717417955,6.9171e-05
1681748687950610876,6.4099e-05
1681748688183807611,7.2158e-05
1681748688417042017,7.2511e-05
1681748688650259972,7.536e-05
1681748688883461952,0.000154978
1681748689116647720,0.000114948
1681748689349869251,6.7434e-05
1681748689583095312,8.0094e-05
