timestamp(ns),elapsed(s)
1681748609249603033,0.000119622
1681748609483114004,0.000113637
1681748609716625452,0.000129656
1681748609950138569,0.000112384
1681748610183657169,0.00021251
1681748610417176962,0.000125798
1681748610650697708,0.000126464
1681748610884219885,0.000201039
1681748611117723942,0.00013193
1681748611351227760,0.000170301
1681748611584731579,0.000130121
1681748611818235636,0.000149029
1681748612051738262,0.000166991
1681748612285240412,0.000133665
1681748612518742561,0.000171808
1681748612752244473,0.000139441
1681748612985746861,0.000138254
1681748613219249964,0.000140572
1681748613452752829,0.000164874
1681748613686255693,0.000220807
1681748613919758797,0.000159354
1681748614153264999,0.000177901
1681748614386771441,0.000172552
1681748614620278358,0.000170967
1681748614853785515,0.00018054
1681748615087287664,0.000175192
1681748615320788860,0.000201164
1681748615554290056,0.000181805
1681748615787791491,0.000220303
1681748616021289825,0.000275735
1681748616254785538,0.000212019
1681748616488281250,0.000266789
1681748616721776485,0.000193235
1681748616955273628,0.000249021
1681748617188777685,0.000208698
1681748617422281265,0.000242452
1681748617655785084,0.000250342
1681748617889288902,0.000232282
1681748618122800589,0.000352055
1681748618356312990,0.000254365
1681748618589825869,0.000318054
1681748618823339701,0.000365971
1681748619056843758,0.000301652
1681748619290343761,0.00031639
1681748619523843527,0.000386933
1681748619757343292,0.000390698
1681748619990838528,0.000361999
1681748620224327326,0.000398675
1681748620457815170,0.000387598
1681748620691302299,0.000381711
1681748620924737215,0.000584423
1681748621158980370,0.000558303
1681748621393255949,0.000463248
1681748621627563715,0.000637198
1681748621861904144,0.000551874
1681748622095662117,0.000518682
1681748622329081535,0.000582577
1681748622562496185,0.000603071
1681748622795906067,0.000784929
1681748623029320478,0.000621185
1681748623262745142,0.000674808
1681748623496164799,0.000677492
1681748623729580164,0.000796255
1681748623962992668,0.000732952
1681748624196420193,0.000756809
1681748624429843187,0.00100776
1681748624663261890,0.000787226
1681748624896676064,0.000841063
1681748625130104303,0.000928911
1681748625363533020,0.000912001
1681748625596957445,0.00113998
1681748625830378056,0.000918642
1681748626063805342,0.00098952
1681748626297238827,0.00120973
1681748626530668020,0.00101718
1681748626764093161,0.00110122
1681748626997517586,0.00137737
1681748627230947971,0.00113852
1681748627464374304,0.00117771
1681748627697796345,0.00117022
1681748627931212664,0.00127605
1681748628164646864,0.00131975
1681748628398077250,0.00175394
1681748628631502867,0.00134206
1681748628864924908,0.00206455
1681748629098357439,0.001956
1681748629331794500,0.00195494
1681748629565227270,0.00200564
1681748629798656464,0.00159555
1681748630032084942,0.00168036
1681748630265513897,0.00215391
1681748630498938799,0.00206676
1681748630732359171,0.00174833
1681748630965777159,0.00174129
1681748631199209929,0.00172148
1681748631432638645,0.0017598
1681748631666063070,0.00183547
1681748631899483442,0.00253259
1681748632132906437,0.00265305
1681748632366326571,0.00258854
1681748632599741936,0.00200362
1681748632833152294,0.00206153
1681748633066572189,0.00209631
1681748633300000906,0.00209846
1681748633533425331,0.00213723
1681748633766845226,0.00438477
1681748634000267744,0.00370784
1681748634233710766,0.0024373
1681748634467150211,0.00231305
1681748634700585604,0.00330345
1681748634934016943,0.00327148
1681748635167460680,0.00257203
1681748635400901079,0.00225014
1681748635634337425,0.00242939
1681748635867769718,0.00252046
1681748636101193190,0.00371806
1681748636334608078,0.00286394
1681748636568017721,0.0026512
1681748636801422596,0.00260144
1681748637034974337,0.00238877
1681748637268821955,0.00274494
1681748637502702236,0.00264249
1681748637736614704,0.00342823
1681748637970525980,0.00245009
1681748638204026699,0.00259875
1681748638437527180,0.00446695
1681748638671027422,0.00285479
1681748638904527426,0.00341187
1681748639138030529,0.00342537
1681748639371534824,0.0040756
1681748639605039120,0.00287654
1681748639838543415,0.00274244
1681748640072048903,0.00289387
1681748640305555105,0.00358711
1681748640539062023,0.00282788
1681748640772568941,0.00448957
1681748641006057501,0.0031994
1681748641242299318,0.00339853
1681748641478661299,0.003357
1681748641715143681,0.00374211
1681748641951746464,0.00335708
1681748642185541630,0.00330552
1681748642418845654,0.003927
1681748642652137280,0.00430919
1681748642885416031,0.00353415
1681748643118675232,0.00339283
1681748643351911306,0.00352817
1681748643585131884,0.00630058
1681748643818336725,0.00398688
1681748644051541090,0.00477198
1681748644284761667,0.00472815
1681748644517965555,0.00442729
1681748644751152992,0.00378639
1681748644984325647,0.00471098
1681748645217558146,0.00459348
1681748645450774431,0.00422841
1681748645683974743,0.00405097
1681748645917158842,0.00437231
1681748646150377989,0.00483169
1681748646383599043,0.00406638
1681748646616804123,0.00550109
1681748646849992752,0.00433698
1681748647083358526,0.00439076
1681748647317107677,0.00440929
1681748647550863028,0.00615775
1681748647784625053,0.00594519
1681748648018393517,0.00608558
1681748648251703739,0.005615
1681748648484876156,0.00741774
1681748648718029737,0.00681028
1681748648951164007,0.00481038
1681748649184324265,0.00528192
1681748649417505264,0.00553594
1681748649650667667,0.00485514
1681748649883810997,0.00735584
1681748650116954803,0.0055146
1681748650350139856,0.00568458
1681748650583306313,0.00673203
1681748650816454172,0.00814497
1681748651049579144,0.00514619
1681748651282777309,0.00739129
1681748651515957355,0.00776792
1681748651749119282,0.00612489
1681748651982263088,0.00890691
1681748652215440035,0.00565639
1681748652448624372,0.0074241
1681748652681790113,0.00730756
1681748652914937019,0.00579883
1681748653148091555,0.00577992
1681748653381270170,0.00524035
1681748653614429951,0.00646054
1681748653847570181,0.00527082
1681748654080698490,0.00702295
1681748654313885212,0.0063409
1681748654547052622,0.0072926
1681748654780201197,0.00755056
1681748655013330460,0.0082347
1681748655246503353,0.00629833
1681748655479669094,0.00668277
1681748655712815523,0.00787231
1681748655945942402,0.00741042
1681748656179097891,0.00558542
1681748656412279606,0.00740705
1681748656645442247,0.00699611
1681748656878585577,0.00686745
1681748657112069130,0.00882688
1681748657346814632,0.00640651
1681748657581677437,0.00827209
1681748657816657305,0.00703528
1681748658051843643,0.00834175
1681748658285289288,0.00639562
1681748658518731117,0.00997987
1681748658752169371,0.00873023
1681748658985604286,0.0066876
1681748659219059706,0.00573523
1681748659452525854,0.00853896
1681748659685989618,0.00901965
1681748659919451237,0.00669609
1681748660152910233,0.00752757
1681748660386365175,0.00656569
1681748660619817257,0.00656784
1681748660853265762,0.00819633
1681748661086711884,0.00707992
1681748661320157290,0.00727115
1681748661553598881,0.00718409
1681748661787036896,0.00741935
1681748662020471334,0.00823964
1681748662253910780,0.011306
1681748662487348318,0.007942
1681748662720782518,0.00809403
1681748662954212666,0.00862992
1681748663188529968,0.00871439
1681748663425057173,0.0108193
1681748663661727428,0.0064264
1681748663898540974,0.00680718
1681748664135390043,0.00987838
1681748664368629932,0.00896061
1681748664601854086,0.00903116
1681748664835062265,0.00855446
1681748665068254948,0.00917113
1681748665301477194,0.00769004
1681748665534688950,0.00927187
1681748665767884254,0.00883227
1681748666001063347,0.00953
1681748666234256506,0.00824917
1681748666467470169,0.00792755
1681748666700667143,0.00845566
1681748666933847427,0.00850175
1681748667167026520,0.00961728
1681748667400254011,0.00984269
1681748667633464813,0.00735201
1681748667866659403,0.00809826
1681748668099829435,0.00787266
1681748668333080769,0.00779
1681748668566316843,0.0079498
1681748668799537897,0.00744995
1681748669032743692,0.00753872
1681748669265967369,0.00775234
1681748669499194622,0.00790186
1681748669732405901,0.00744717
1681748669965601444,0.0102779
1681748670198810577,0.0101943
1681748670432065487,0.0096462
1681748670665305138,0.0081071
1681748670898530006,0.00836056
1681748671131742239,0.0099105
1681748671364975214,0.0103656
1681748671598191977,0.00992374
1681748671831392288,0.00825218
1681748672064576387,0.00928864
1681748672297803402,0.0103331
1681748672531034231,0.00836548
1681748672764249325,0.00847122
1681748672997448683,0.0107517
1681748673230662823,0.00818148
1681748673463896275,0.0102269
1681748673697113276,0.0100582
1681748673930314779,0.00921253
1681748674163510084,0.00883196
1681748674396734953,0.0106326
1681748674629942894,0.00906315
1681748674863134623,0.0100171
1681748675096302271,0.0113708
1681748675329537630,0.00988504
1681748675562756777,0.00935361
1681748675795959949,0.0105142
1681748676029147148,0.00908215
1681748676262368917,0.00927548
1681748676495606899,0.00897646
1681748676728829384,0.00901791
1681748676962036371,0.00951983
1681748677195251942,0.00885114
1681748677428501606,0.0093478
1681748677661735773,0.0132982
1681748677894954920,0.00895337
1681748678128160238,0.00976553
1681748678361392736,0.011688
1681748678594608784,0.00908093
1681748678827808619,0.00951389
1681748679060991764,0.0104642
1681748679295353651,0.0104986
1681748679530228138,0.00995452
1681748679765223742,0.011057
1681748680000340462,0.00985014
1681748680234762669,0.0126218
1681748680468269825,0.0109604
1681748680701776981,0.00992138
1681748680935284376,0.010918
1681748681168790340,0.0115004
1681748681402287483,0.00952865
1681748681635784388,0.013243
1681748681869280815,0.0107509
1681748682102776766,0.0102864
1681748682336270809,0.0109029
1681748682569763660,0.0105376
1681748682803256035,0.0108486
1681748683036747694,0.0112794
1681748683270240545,0.0126858
1681748683503733635,0.0106882
1681748683737225771,0.0111319
1681748683970717430,0.0126824
1681748684204211950,0.0135786
1681748684437713385,0.0117666
1681748684671214581,0.0118208
1681748684904715776,0.0112092
1681748685138217211,0.0118094
1681748685373922586,0.0132741
1681748685610257149,0.0113099
1681748685846711874,0.0119697
1681748686083286524,0.0142376
1681748686318011284,0.0118831
1681748686551273346,0.0132457
1681748686784521580,0.0136967
1681748687017755270,0.0141817
1681748687250983238,0.0130134
1681748687484208822,0.011251
1681748687717417955,0.0111192
1681748687950610876,0.0121947
1681748688183807611,0.0140693
1681748688417042017,0.0122674
1681748688650259972,0.0125721
1681748688883461952,0.0130474
1681748689116647720,0.0120166
1681748689349869251,0.0129093
1681748689583095312,0.0138382
1681748689816305399,0.0115769
1681748690049499750,0.0154282
1681748690282702684,0.0129916
1681748690515917778,0.0146388
1681748690749115944,0.0130711
1681748690982297421,0.012366
1681748691215473413,0.0163188
1681748691448693037,0.0135443
1681748691681895971,0.0125543
1681748691915081739,0.0164349
1681748692148250580,0.0143771
1681748692381484509,0.0132317
1681748692614701271,0.014472
1681748692847901344,0.0144255
1681748693081085682,0.0136911
1681748693314296484,0.0160634
1681748693547525644,0.014635
1681748693780739546,0.0130506
1681748694013937712,0.0177704
1681748694247140884,0.0134802
1681748694480385780,0.0137225
1681748694713615179,0.0150017
1681748694946829081,0.0130661
1681748695180027008,0.013443
1681748695413259029,0.0137456
1681748695646474838,0.0146096
1681748695879674435,0.0154246
1681748696112857819,0.0141466
1681748696346073866,0.013713
1681748696579293489,0.0138465
1681748696812496901,0.0171462
1681748697045683861,0.0137054
1681748697278886080,0.015855
1681748697512112379,0.0154916
1681748697745322227,0.0133469
1681748697978516102,0.0151366
1681748698211709023,0.0175565
1681748698444947004,0.0141213
1681748698678169489,0.013882
1681748698911375761,0.0173986
1681748699144565821,0.013949
1681748699377799273,0.0143906
1681748699611026049,0.0133646
1681748699844237089,0.013061
1681748700077431679,0.0149721
1681748700310657978,0.0161339
1681748700543902636,0.015123
1681748700777132034,0.0158013
1681748701010345936,0.0145511
1681748701243992567,0.0139399
1681748701478832483,0.0174275
1681748701713794947,0.0157388
1681748701948879480,0.0154579
1681748702184080124,0.0190897
1681748702417606115,0.0208072
1681748702651133537,0.0161547
1681748702884661913,0.0211675
1681748703118191481,0.0166894
1681748703351693869,0.0148977
1681748703585185289,0.0192794
1681748703818675995,0.0156629
1681748704052166224,0.015465
1681748704285657883,0.0169284
1681748704519151926,0.0154878
1681748704752645493,0.0159762
1681748704986138582,0.0184727
1681748705219633102,0.0161503
1681748705453137159,0.0154635
1681748705686641455,0.0184371
1681748705920145512,0.0154733
1681748706153650045,0.0157226
1681748706387151241,0.0175451
1681748706620650768,0.0166972
1681748706854150057,0.017017
1681748707087649107,0.0168573
1681748707321147919,0.0155911
1681748707554646492,0.0190713
1681748707788144350,0.0184284
1681748708021641731,0.0155893
1681748708255140066,0.0164153
1681748708488640070,0.0194438
1681748708722139835,0.0159204
1681748708955639362,0.0169022
1681748709189138889,0.0175618
1681748709422628403,0.015657
1681748709656117201,0.0196153
1681748709889605284,0.0188614
1681748710123092175,0.0165823
1681748710356587887,0.0173456
1681748710590087652,0.0203051
1681748710823587179,0.0172092
1681748711057086706,0.0178092
1681748711290592909,0.0186167
1681748711524108648,0.0167437
1681748711757624626,0.0176386
1681748711991140604,0.0168588
1681748712224654436,0.017794
1681748712458152294,0.0177
1681748712691649675,0.0190738
1681748712925146580,0.017417
1681748713158642769,0.0181156
1681748713392150640,0.0211851
1681748713625660658,0.0220643
1681748713859170914,0.0192727
1681748714092680931,0.0175811
1681748714326188803,0.0186506
1681748714559694290,0.0176626
1681748714793200016,0.0196511
1681748715026705265,0.0218476
1681748715260208607,0.0198997
1681748715493704081,0.0198701
1681748715727199316,0.0176555
1681748715960694075,0.0189648
1681748716194188118,0.0183827
1681748716427702427,0.0221096
1681748716661217451,0.0177968
1681748716894733429,0.0185521
1681748717128249884,0.0176756
1681748717361770153,0.0197423
1681748717595293522,0.0203129
1681748717828818083,0.0180127
1681748718062344313,0.021619
1681748718295868635,0.0217147
1681748718529390812,0.0181551
1681748718762914419,0.0201069
1681748718996438980,0.0197014
1681748719229960680,0.0184422
1681748719463453531,0.0226386
1681748719696946144,0.0190027
1681748719930437565,0.0194675
1681748720163928270,0.0221322
1681748720397418499,0.0217986
1681748720630907774,0.0204006
1681748720864396334,0.0206245
1681748721097883463,0.0210815
1681748721331374407,0.020888
1681748721564868212,0.0203784
1681748721798361301,0.022076
1681748722031853676,0.020025
1681748722265349865,0.0211534
1681748722498857260,0.02025
1681748722732364416,0.0224898
1681748722965872049,0.0187883
1681748723199379683,0.0216257
1681748723432879925,0.0247988
1681748723666379929,0.0217265
1681748723899879694,0.0205172
1681748724133378983,0.0190515
1681748724366877079,0.0248048
1681748724600374699,0.023438
1681748724833872080,0.0229383
1681748725067368984,0.0214058
1681748725300872564,0.0229941
1681748725534386158,0.0261365
1681748725767900229,0.0234263
1681748726001414299,0.0200969
1681748726234926939,0.020265
1681748726468428135,0.0215889
1681748726701928854,0.0195407
1681748726935429335,0.0214437
1681748727168929338,0.0205348
1681748727402438641,0.0267046
1681748727635950089,0.022313
1681748727869462252,0.0205551
1681748728102974892,0.0206984
1681748728336477041,0.0227681
1681748728569970369,0.0209463
1681748728803463221,0.0212451
1681748729036955595,0.0227628
1681748729270457268,0.022981
1681748729503985643,0.0231244
1681748729737515450,0.027977
1681748729971046686,0.0218711
1681748730204579115,0.027706
1681748730438073158,0.0297856
1681748730671567202,0.0283221
1681748730905060530,0.0270826
1681748731138553619,0.0204984
1681748731372042656,0.0233241
1681748731605529308,0.02224
1681748731839015007,0.0213608
1681748732072499514,0.0231478
1681748732305989504,0.0213674
1681748732539487123,0.0263874
1681748732772984505,0.0237259
1681748733006481647,0.0236732
1681748733239980221,0.024868
1681748733473487616,0.023357
1681748733706994772,0.0264606
1681748733940502405,0.0262464
1681748734174010515,0.0283997
1681748734407519341,0.0257615
1681748734641028881,0.0262904
1681748734874538898,0.0250392
1681748735108049154,1.679e-06
1681748735341556072,0.0244406
1681748735575060606,0.0247484
1681748735808564901,0.0260716
1681748736042069197,0.0250251
1681748736275571585,0.0238004
1681748736509069204,0.0241245
1681748736742566109,0.0258982
