timestamp(ns),elapsed(s)
1681748609249603033,8.387e-05
1681748609483114004,4.7466e-05
1681748609716625452,4.4808e-05
1681748609950138569,4.0592e-05
1681748610183657169,5.1419e-05
1681748610417176962,4.436e-05
1681748610650697708,4.5392e-05
1681748610884219885,6.4443e-05
1681748611117723942,4.4247e-05
1681748611351227760,4.0296e-05
1681748611584731579,3.7633e-05
1681748611818235636,4.0093e-05
1681748612051738262,4.1381e-05
1681748612285240412,3.9628e-05
1681748612518742561,4.1905e-05
1681748612752244473,3.6679e-05
1681748612985746861,5.3018e-05
1681748613219249964,3.5654e-05
1681748613452752829,3.5e-05
1681748613686255693,5.2531e-05
1681748613919758797,3.7593e-05
1681748614153264999,4.2432e-05
1681748614386771441,3.5037e-05
1681748614620278358,3.4976e-05
1681748614853785515,3.4191e-05
1681748615087287664,3.5866e-05
1681748615320788860,3.7268e-05
1681748615554290056,3.6175e-05
1681748615787791491,3.655e-05
1681748616021289825,4.1017e-05
1681748616254785538,3.4677e-05
1681748616488281250,4.3268e-05
1681748616721776485,3.3457e-05
1681748616955273628,3.7576e-05
1681748617188777685,3.5731e-05
1681748617422281265,4.1924e-05
1681748617655785084,5.1632e-05
1681748617889288902,4.8756e-05
1681748618122800589,7.3903e-05
1681748618356312990,5.6086e-05
1681748618589825869,0.00011963
1681748618823339701,9.4882e-05
1681748619056843758,6.4781e-05
1681748619290343761,6.5087e-05
1681748619523843527,8.8849e-05
1681748619757343292,8.503e-05
1681748619990838528,0.000109838
1681748620224327326,0.000157425
1681748620457815170,0.000106465
1681748620691302299,9.0702e-05
1681748620924737215,0.000180932
1681748621158980370,9.5501e-05
1681748621393255949,0.000152959
1681748621627563715,0.000197808
1681748621861904144,0.000179676
1681748622095662117,0.000149211
1681748622329081535,0.000118368
1681748622562496185,0.000166913
1681748622795906067,0.000263617
1681748623029320478,0.000183003
1681748623262745142,0.000184072
1681748623496164799,0.000130342
1681748623729580164,0.000132732
1681748623962992668,0.000221236
1681748624196420193,0.000211975
1681748624429843187,0.000325347
1681748624663261890,0.00034569
1681748624896676064,0.000157747
1681748625130104303,0.000186565
1681748625363533020,0.000253621
1681748625596957445,0.000261567
1681748625830378056,0.000291168
1681748626063805342,0.000290976
1681748626297238827,0.000266234
1681748626530668020,0.00029501
1681748626764093161,0.000273927
1681748626997517586,0.000283996
1681748627230947971,0.000295899
1681748627464374304,0.000342863
1681748627697796345,0.000328427
1681748627931212664,0.00030253
1681748628164646864,0.000291345
1681748628398077250,0.000295811
1681748628631502867,0.000284355
1681748628864924908,0.000316863
