timestamp(ns),elapsed(s)
1681748609249603033,0.000325013
1681748609483114004,0.000333212
1681748609716625452,0.000339825
1681748609950138569,0.000346451
1681748610183657169,0.000361038
1681748610417176962,0.000349289
1681748610650697708,0.000350128
1681748610884219885,0.000614669
1681748611117723942,0.000360841
1681748611351227760,0.000326583
1681748611584731579,0.000354918
1681748611818235636,0.000337063
1681748612051738262,0.000357896
1681748612285240412,0.000353623
1681748612518742561,0.000369649
1681748612752244473,0.00034823
1681748612985746861,0.000357572
1681748613219249964,0.000390508
1681748613452752829,0.000350789
1681748613686255693,0.000627461
1681748613919758797,0.000362576
1681748614153264999,0.000398221
1681748614386771441,0.000364045
1681748614620278358,0.00037171
1681748614853785515,0.000371229
1681748615087287664,0.000375987
1681748615320788860,0.00038174
1681748615554290056,0.000370671
1681748615787791491,0.00039666
1681748616021289825,0.000372559
1681748616254785538,0.000378488
1681748616488281250,0.000562479
1681748616721776485,0.000411673
1681748616955273628,0.000389952
1681748617188777685,0.000398957
1681748617422281265,0.000454878
1681748617655785084,0.000466735
1681748617889288902,0.000470618
1681748618122800589,0.000869339
1681748618356312990,0.000525194
1681748618589825869,0.000565374
1681748618823339701,0.000565224
1681748619056843758,0.000531835
1681748619290343761,0.000566273
1681748619523843527,0.000636515
1681748619757343292,0.00073007
1681748619990838528,0.000717311
1681748620224327326,0.0007668
1681748620457815170,0.000815814
1681748620691302299,0.000793844
1681748620924737215,0.00149512
1681748621158980370,0.000830048
1681748621393255949,0.000981552
1681748621627563715,0.00161196
1681748621861904144,0.00100888
1681748622095662117,0.00104183
1681748622329081535,0.00108727
1681748622562496185,0.00117039
1681748622795906067,0.00202202
1681748623029320478,0.00130646
1681748623262745142,0.00129294
1681748623496164799,0.001326
1681748623729580164,0.00146964
1681748623962992668,0.00140796
1681748624196420193,0.00172109
1681748624429843187,0.00159841
1681748624663261890,0.00167738
1681748624896676064,0.0016298
1681748625130104303,0.00162089
1681748625363533020,0.00171663
1681748625596957445,0.00260496
1681748625830378056,0.00169743
1681748626063805342,0.00179948
1681748626297238827,0.00195574
1681748626530668020,0.00214696
1681748626764093161,0.00208011
