timestamp(ns),elapsed(s)
1681748609249603033,0.00155896
1681748609483114004,0.00101894
1681748609716625452,0.00102016
1681748609950138569,0.00100203
1681748610183657169,0.00105996
1681748610417176962,0.000991643
1681748610650697708,0.000986882
1681748610884219885,0.00166174
1681748611117723942,0.00104054
1681748611351227760,0.0010249
1681748611584731579,0.00112696
1681748611818235636,0.00100336
1681748612051738262,0.00107786
1681748612285240412,0.00132324
1681748612518742561,0.00104341
1681748612752244473,0.0010865
1681748612985746861,0.001164
1681748613219249964,0.00104394
1681748613452752829,0.00106071
1681748613686255693,0.00170479
1681748613919758797,0.00116548
1681748614153264999,0.00118681
1681748614386771441,0.0010532
1681748614620278358,0.00114484
1681748614853785515,0.00112995
1681748615087287664,0.00115985
1681748615320788860,0.00116526
1681748615554290056,0.00108689
1681748615787791491,0.00119592
1681748616021289825,0.00122454
1681748616254785538,0.00117121
1681748616488281250,0.00155287
1681748616721776485,0.00117405
1681748616955273628,0.00116492
1681748617188777685,0.0012414
1681748617422281265,0.00136018
1681748617655785084,0.00139047
1681748617889288902,0.00139242
1681748618122800589,0.00238161
1681748618356312990,0.00159734
1681748618589825869,0.00177816
1681748618823339701,0.00167243
1681748619056843758,0.00164275
1681748619290343761,0.00173884
1681748619523843527,0.00190788
1681748619757343292,0.00222295
1681748619990838528,0.00209581
1681748620224327326,0.00237537
1681748620457815170,0.00221048
1681748620691302299,0.00226979
1681748620924737215,0.00395767
1681748621158980370,0.00245185
1681748621393255949,0.00273409
1681748621627563715,0.00423095
1681748621861904144,0.00285681
1681748622095662117,0.0029688
1681748622329081535,0.00294529
1681748622562496185,0.00329642
1681748622795906067,0.00525078
1681748623029320478,0.0037686
1681748623262745142,0.0208048
1681748623496164799,0.018539
1681748623729580164,0.0206644
1681748623962992668,0.0222057
1681748624196420193,0.0256763
1681748624429843187,0.0376427
1681748624663261890,0.0285177
1681748624896676064,0.0249147
1681748625130104303,0.0259714
1681748625363533020,0.0267235
1681748625596957445,0.0291164
1681748625830378056,0.0272594
1681748626063805342,0.0321285
