timestamp(ns),elapsed(s)
1681748609249603033,3.703e-05
1681748609483114004,2.3408e-05
1681748609716625452,2.3555e-05
1681748609950138569,2.409e-05
1681748610183657169,2.1605e-05
1681748610417176962,2.34e-05
1681748610650697708,2.3389e-05
1681748610884219885,3.4678e-05
1681748611117723942,2.2665e-05
1681748611351227760,2.1342e-05
1681748611584731579,2.0962e-05
1681748611818235636,2.2543e-05
1681748612051738262,2.3594e-05
1681748612285240412,2.2568e-05
1681748612518742561,2.2903e-05
1681748612752244473,2.2114e-05
1681748612985746861,2.1487e-05
1681748613219249964,2.1443e-05
1681748613452752829,2.413e-05
1681748613686255693,3.4235e-05
1681748613919758797,2.3229e-05
1681748614153264999,2.6002e-05
1681748614386771441,2.3388e-05
1681748614620278358,2.2105e-05
1681748614853785515,2.2185e-05
1681748615087287664,2.325e-05
1681748615320788860,2.4613e-05
1681748615554290056,2.3746e-05
1681748615787791491,2.5131e-05
1681748616021289825,2.4051e-05
1681748616254785538,2.2185e-05
1681748616488281250,3.1021e-05
1681748616721776485,2.2587e-05
1681748616955273628,2.3737e-05
1681748617188777685,2.4231e-05
1681748617422281265,2.72e-05
1681748617655785084,2.4456e-05
1681748617889288902,2.6817e-05
1681748618122800589,4.4197e-05
1681748618356312990,3.1972e-05
1681748618589825869,3.4651e-05
1681748618823339701,3.602e-05
1681748619056843758,3.2994e-05
1681748619290343761,3.6607e-05
1681748619523843527,3.9771e-05
1681748619757343292,4.6237e-05
1681748619990838528,4.229e-05
1681748620224327326,4.6054e-05
1681748620457815170,4.7351e-05
1681748620691302299,4.7932e-05
1681748620924737215,7.6058e-05
1681748621158980370,4.9977e-05
1681748621393255949,5.6746e-05
1681748621627563715,7.9578e-05
1681748621861904144,5.7623e-05
1681748622095662117,6.1166e-05
1681748622329081535,5.9637e-05
1681748622562496185,6.1973e-05
1681748622795906067,9.5107e-05
1681748623029320478,6.7984e-05
1681748623262745142,6.3852e-05
1681748623496164799,6.9512e-05
1681748623729580164,7.0436e-05
1681748623962992668,7.6492e-05
1681748624196420193,7.7708e-05
1681748624429843187,0.000128171
1681748624663261890,0.000146041
1681748624896676064,8.5288e-05
1681748625130104303,0.000105555
1681748625363533020,0.00010703
1681748625596957445,0.000108567
1681748625830378056,0.000107463
1681748626063805342,0.000134518
