timestamp(ns),elapsed(s)
1681748609249603033,0.000441023
1681748609483114004,0.000265286
1681748609716625452,0.000280579
1681748609950138569,0.000245757
1681748610183657169,0.00032575
1681748610417176962,0.000241365
1681748610650697708,0.000242059
1681748610884219885,0.000382138
1681748611117723942,0.000261742
1681748611351227760,0.000247867
1681748611584731579,0.000263039
1681748611818235636,0.000276941
1681748612051738262,0.000308042
1681748612285240412,0.000465144
1681748612518742561,0.00027207
1681748612752244473,0.000299236
1681748612985746861,0.000301278
1681748613219249964,0.000278135
1681748613452752829,0.000307629
1681748613686255693,0.00038606
1681748613919758797,0.000376699
1681748614153264999,0.000313367
1681748614386771441,0.000272659
1681748614620278358,0.000307547
1681748614853785515,0.000321135
1681748615087287664,0.000340882
1681748615320788860,0.000343685
1681748615554290056,0.000291402
1681748615787791491,0.000351006
1681748616021289825,0.000420938
1681748616254785538,0.000333552
1681748616488281250,0.000345413
1681748616721776485,0.000336797
1681748616955273628,0.000325941
1681748617188777685,0.000362609
1681748617422281265,0.000384716
1681748617655785084,0.000408745
1681748617889288902,0.000384145
1681748618122800589,0.000567815
1681748618356312990,0.000467583
1681748618589825869,0.000568634
1681748618823339701,0.000466934
1681748619056843758,0.000525067
1681748619290343761,0.000426341
1681748619523843527,0.000548779
1681748619757343292,0.000564547
1681748619990838528,0.000580343
1681748620224327326,0.000697857
1681748620457815170,0.00054034
1681748620691302299,0.0005823
1681748620924737215,0.00091989
1681748621158980370,0.000681244
1681748621393255949,0.000714523
1681748621627563715,0.00102425
1681748621861904144,0.000753758
1681748622095662117,0.000810106
1681748622329081535,0.000738663
1681748622562496185,0.000831327
1681748622795906067,0.0011717
1681748623029320478,0.001001
1681748623262745142,0.00109491
1681748623496164799,0.00110194
1681748623729580164,0.00103262
1681748623962992668,0.00117584
1681748624196420193,0.0012226
1681748624429843187,0.00185665
1681748624663261890,0.00206311
1681748624896676064,0.0013284
1681748625130104303,0.00137189
1681748625363533020,0.00144217
1681748625596957445,0.00145166
1681748625830378056,0.00154542
1681748626063805342,0.00186978
1681748626297238827,0.00162037
1681748626530668020,0.00213919
1681748626764093161,0.00171899
1681748626997517586,0.0017687
1681748627230947971,0.00179956
1681748627464374304,0.00197306
1681748627697796345,0.00201828
1681748627931212664,0.00200007
1681748628164646864,0.00219591
1681748628398077250,0.00210735
1681748628631502867,0.00203153
1681748628864924908,0.00243748
1681748629098357439,0.0022943
1681748629331794500,0.00233596
1681748629565227270,0.00282782
1681748629798656464,0.002273
1681748630032084942,0.00335162
1681748630265513897,0.00232348
1681748630498938799,0.00248022
1681748630732359171,0.0025721
1681748630965777159,0.00298347
1681748631199209929,0.00287613
1681748631432638645,0.00270326
1681748631666063070,0.00267306
1681748631899483442,0.00384735
1681748632132906437,0.00263351
1681748632366326571,0.00277342
1681748632599741936,0.00260785
1681748632833152294,0.0044083
1681748633066572189,0.00296997
1681748633300000906,0.00412671
