timestamp(ns),elapsed(s)
1681748609249603033,7.8701e-05
1681748609483114004,4.6843e-05
1681748609716625452,5.1634e-05
1681748609950138569,4.1955e-05
1681748610183657169,4.8547e-05
1681748610417176962,4.2299e-05
1681748610650697708,4.366e-05
1681748610884219885,6.5567e-05
1681748611117723942,4.4212e-05
1681748611351227760,5.64e-05
1681748611584731579,4.053e-05
1681748611818235636,5.0132e-05
1681748612051738262,4.7355e-05
1681748612285240412,6.0403e-05
1681748612518742561,4.4883e-05
1681748612752244473,4.366e-05
1681748612985746861,8.0873e-05
1681748613219249964,4.0762e-05
1681748613452752829,6.015e-05
1681748613686255693,6.4402e-05
1681748613919758797,4.5897e-05
1681748614153264999,6.4442e-05
1681748614386771441,4.6826e-05
1681748614620278358,4.3336e-05
1681748614853785515,4.3624e-05
1681748615087287664,4.4365e-05
1681748615320788860,4.7701e-05
1681748615554290056,4.5502e-05
1681748615787791491,4.7951e-05
1681748616021289825,6.7883e-05
1681748616254785538,4.3818e-05
1681748616488281250,4.2219e-05
1681748616721776485,4.3052e-05
1681748616955273628,4.5746e-05
1681748617188777685,4.7192e-05
1681748617422281265,5.1225e-05
1681748617655785084,4.992e-05
1681748617889288902,5.0969e-05
1681748618122800589,8.3624e-05
1681748618356312990,5.6624e-05
1681748618589825869,5.7532e-05
1681748618823339701,5.8603e-05
1681748619056843758,0.000135718
1681748619290343761,5.6948e-05
1681748619523843527,6.5037e-05
1681748619757343292,0.000108764
1681748619990838528,8.1359e-05
1681748620224327326,7.767e-05
1681748620457815170,6.4329e-05
1681748620691302299,6.7011e-05
1681748620924737215,0.000104114
1681748621158980370,7.2805e-05
1681748621393255949,7.639e-05
1681748621627563715,0.000105769
1681748621861904144,8.2117e-05
1681748622095662117,8.5407e-05
1681748622329081535,8.9136e-05
1681748622562496185,9.8675e-05
1681748622795906067,0.000144466
1681748623029320478,0.000100656
1681748623262745142,0.000114509
1681748623496164799,0.000116827
1681748623729580164,0.000118314
1681748623962992668,0.000129133
1681748624196420193,0.000136756
1681748624429843187,0.000208644
1681748624663261890,0.000238403
1681748624896676064,0.000165289
1681748625130104303,0.000142931
1681748625363533020,0.000140721
1681748625596957445,0.000144893
1681748625830378056,0.000155848
1681748626063805342,0.000230738
1681748626297238827,0.000167019
1681748626530668020,0.000248647
1681748626764093161,0.000181394
1681748626997517586,0.000206184
1681748627230947971,0.000190278
1681748627464374304,0.000215456
1681748627697796345,0.000236302
1681748627931212664,0.000194938
1681748628164646864,0.000227873
1681748628398077250,0.000220285
1681748628631502867,0.000197937
1681748628864924908,0.00020591
1681748629098357439,0.000208116
1681748629331794500,0.000221425
1681748629565227270,0.000266198
1681748629798656464,0.00020951
1681748630032084942,0.000351112
1681748630265513897,0.000238047
1681748630498938799,0.000246042
1681748630732359171,0.00022997
1681748630965777159,0.000238459
1681748631199209929,0.000236611
1681748631432638645,0.000241676
1681748631666063070,0.000239064
1681748631899483442,0.000356385
1681748632132906437,0.00022854
1681748632366326571,0.00025822
1681748632599741936,0.000237088
1681748632833152294,0.000638561
1681748633066572189,0.00024413
1681748633300000906,0.000408099
1681748633533425331,0.000478806
1681748633766845226,0.00024576
1681748634000267744,0.000324089
1681748634233710766,0.000253391
1681748634467150211,0.000239513
1681748634700585604,0.000404953
1681748634934016943,0.00024485
1681748635167460680,0.000290406
1681748635400901079,0.000463357
1681748635634337425,0.000291204
1681748635867769718,0.000249872
1681748636101193190,0.000248533
1681748636334608078,0.000526746
1681748636568017721,0.00026293
1681748636801422596,0.000440553
1681748637034974337,0.00027555
1681748637268821955,0.000306597
1681748637502702236,0.000245198
1681748637736614704,0.000351201
1681748637970525980,0.000279518
1681748638204026699,0.000258437
1681748638437527180,0.000360019
1681748638671027422,0.000274171
1681748638904527426,0.000325078
1681748639138030529,0.000187068
1681748639371534824,0.000189483
1681748639605039120,0.000213809
1681748639838543415,0.000215124
1681748640072048903,0.000200581
1681748640305555105,0.000207884
1681748640539062023,0.00021734
1681748640772568941,0.000598635
1681748641006057501,0.00018098
1681748641242299318,0.000246674
1681748641478661299,0.000254522
1681748641715143681,0.000299969
1681748641951746464,0.000216067
1681748642185541630,0.000262114
1681748642418845654,0.000218844
1681748642652137280,0.000543293
1681748642885416031,0.000203382
1681748643118675232,0.000287352
1681748643351911306,0.000317201
1681748643585131884,0.000186484
1681748643818336725,0.000232324
1681748644051541090,0.000203071
1681748644284761667,0.000213832
1681748644517965555,0.00023169
1681748644751152992,0.000190129
1681748644984325647,0.000315939
1681748645217558146,0.000203906
1681748645450774431,0.00027214
1681748645683974743,0.000274259
1681748645917158842,0.000236289
1681748646150377989,0.000273706
1681748646383599043,0.000278677
1681748646616804123,0.000233687
1681748646849992752,0.00044994
1681748647083358526,0.00026176
1681748647317107677,0.000375934
1681748647550863028,0.000630148
1681748647784625053,0.000301142
1681748648018393517,0.000251875
1681748648251703739,0.000227391
1681748648484876156,0.000284663
1681748648718029737,0.000251593
1681748648951164007,0.000369013
1681748649184324265,0.00027842
1681748649417505264,0.000361393
1681748649650667667,0.000265171
1681748649883810997,0.000282235
1681748650116954803,0.000233227
1681748650350139856,0.00019496
1681748650583306313,0.000270508
1681748650816454172,0.000199543
1681748651049579144,0.000387148
1681748651282777309,0.000215979
1681748651515957355,0.000230586
