timestamp(ns),elapsed(s)
1681748609249603033,1.6067e-05
1681748609483114004,6.496e-06
1681748609716625452,4.767e-06
1681748609950138569,4.985e-06
1681748610183657169,6.732e-06
1681748610417176962,5.414e-06
1681748610650697708,4.993e-06
1681748610884219885,7.436e-06
1681748611117723942,5.491e-06
1681748611351227760,4.705e-06
1681748611584731579,4.483e-06
1681748611818235636,2.1549e-05
1681748612051738262,4.916e-06
1681748612285240412,4.865e-06
1681748612518742561,4.661e-06
1681748612752244473,4.246e-06
1681748612985746861,4.074e-06
1681748613219249964,3.782e-06
1681748613452752829,4.105e-06
1681748613686255693,5.543e-06
1681748613919758797,4.415e-06
1681748614153264999,4.764e-06
1681748614386771441,4.698e-06
1681748614620278358,4.146e-06
1681748614853785515,4.2e-06
1681748615087287664,4.394e-06
1681748615320788860,4.608e-06
1681748615554290056,4.681e-06
1681748615787791491,4.545e-06
1681748616021289825,6.562e-06
1681748616254785538,4.282e-06
1681748616488281250,4.384e-06
1681748616721776485,4.028e-06
1681748616955273628,4.899e-06
1681748617188777685,4.681e-06
1681748617422281265,4.962e-06
1681748617655785084,5.692e-06
1681748617889288902,5.729e-06
1681748618122800589,8.187e-06
1681748618356312990,6.501e-06
1681748618589825869,6.935e-06
1681748618823339701,6.969e-06
1681748619056843758,6.308e-06
1681748619290343761,8.076e-06
1681748619523843527,6.688e-06
1681748619757343292,9.322e-06
1681748619990838528,7.175e-06
1681748620224327326,8.1e-06
1681748620457815170,7.629e-06
1681748620691302299,8.103e-06
1681748620924737215,1.0937e-05
1681748621158980370,7.618e-06
1681748621393255949,8.136e-06
1681748621627563715,1.0481e-05
1681748621861904144,9.909e-06
1681748622095662117,9.173e-06
1681748622329081535,1.0142e-05
1681748622562496185,9.76e-06
1681748622795906067,1.3773e-05
1681748623029320478,9.878e-06
1681748623262745142,1.6162e-05
1681748623496164799,1.3384e-05
1681748623729580164,1.4021e-05
1681748623962992668,1.6161e-05
1681748624196420193,1.4873e-05
1681748624429843187,2.3883e-05
1681748624663261890,2.3849e-05
1681748624896676064,1.555e-05
1681748625130104303,1.8283e-05
1681748625363533020,1.986e-05
1681748625596957445,2.1251e-05
1681748625830378056,3.3225e-05
1681748626063805342,2.76e-05
1681748626297238827,2.1209e-05
1681748626530668020,2.2302e-05
1681748626764093161,2.5114e-05
1681748626997517586,2.9742e-05
1681748627230947971,2.8452e-05
1681748627464374304,3.8779e-05
1681748627697796345,5.8709e-05
1681748627931212664,4.4851e-05
1681748628164646864,4.6598e-05
1681748628398077250,4.9546e-05
1681748628631502867,4.3621e-05
1681748628864924908,4.9608e-05
1681748629098357439,6.8825e-05
1681748629331794500,5.8501e-05
1681748629565227270,7.1919e-05
1681748629798656464,5.9438e-05
1681748630032084942,7.5858e-05
1681748630265513897,5.4107e-05
1681748630498938799,5.9641e-05
1681748630732359171,7.6306e-05
1681748630965777159,7.3209e-05
1681748631199209929,9.2868e-05
1681748631432638645,6.3203e-05
1681748631666063070,9.2798e-05
1681748631899483442,0.000106996
1681748632132906437,7.139e-05
1681748632366326571,7.1379e-05
1681748632599741936,6.5859e-05
1681748632833152294,0.000198037
1681748633066572189,6.9754e-05
1681748633300000906,0.000102977
1681748633533425331,8.6515e-05
1681748633766845226,6.7452e-05
1681748634000267744,8.6166e-05
1681748634233710766,9.4027e-05
1681748634467150211,7.4377e-05
1681748634700585604,0.000142459
1681748634934016943,9.4832e-05
1681748635167460680,7.4527e-05
1681748635400901079,0.00018623
1681748635634337425,9.2661e-05
1681748635867769718,9.3951e-05
1681748636101193190,8.7314e-05
1681748636334608078,0.00015954
1681748636568017721,9.244e-05
1681748636801422596,0.000163308
1681748637034974337,0.000104119
1681748637268821955,0.000113512
1681748637502702236,9.5949e-05
1681748637736614704,0.000130336
1681748637970525980,0.000100041
1681748638204026699,0.000120701
1681748638437527180,0.000117005
1681748638671027422,0.000119883
1681748638904527426,0.000122831
1681748639138030529,0.000115766
1681748639371534824,0.000108917
1681748639605039120,0.000117369
1681748639838543415,0.000146895
1681748640072048903,0.000104448
1681748640305555105,0.000117827
1681748640539062023,0.000122999
1681748640772568941,0.00017226
1681748641006057501,0.000110461
1681748641242299318,0.00011995
1681748641478661299,0.000132268
1681748641715143681,0.000147518
1681748641951746464,0.000117524
1681748642185541630,0.000184802
1681748642418845654,0.000130466
1681748642652137280,0.000240785
1681748642885416031,0.000117777
1681748643118675232,0.000159635
1681748643351911306,0.000188141
1681748643585131884,0.000126865
1681748643818336725,0.000148692
1681748644051541090,0.000147494
1681748644284761667,0.000132429
1681748644517965555,0.000145374
1681748644751152992,0.000129448
1681748644984325647,0.000150871
1681748645217558146,0.000126973
1681748645450774431,0.000193148
1681748645683974743,0.000204396
1681748645917158842,0.000157908
1681748646150377989,0.000173761
1681748646383599043,0.000168513
1681748646616804123,0.000155083
1681748646849992752,0.000279032
1681748647083358526,0.000174761
1681748647317107677,0.00021591
1681748647550863028,0.000236457
1681748647784625053,0.000193916
1681748648018393517,0.000176123
1681748648251703739,0.000181632
1681748648484876156,0.000189907
1681748648718029737,0.000177501
1681748648951164007,0.000184789
1681748649184324265,0.000186968
1681748649417505264,0.000215532
1681748649650667667,0.000174629
1681748649883810997,0.000200157
1681748650116954803,0.000184578
1681748650350139856,0.000166626
1681748650583306313,0.000214878
1681748650816454172,0.000176961
1681748651049579144,0.000222984
1681748651282777309,0.000241852
1681748651515957355,0.000205085
1681748651749119282,0.000224319
1681748651982263088,0.000232912
1681748652215440035,0.000258617
1681748652448624372,0.000207233
1681748652681790113,0.000204391
1681748652914937019,0.000248954
1681748653148091555,0.000212589
1681748653381270170,0.000227285
1681748653614429951,0.000221396
