timestamp(ns),elapsed(s)
1681748609249603033,0.000751457
1681748609483114004,0.00040462
1681748609716625452,0.000467329
1681748609950138569,0.000481705
1681748610183657169,0.000673257
1681748610417176962,0.000425479
1681748610650697708,0.000448839
1681748610884219885,0.000632687
1681748611117723942,0.000454754
1681748611351227760,0.000599404
1681748611584731579,0.000530542
1681748611818235636,0.000485527
1681748612051738262,0.00048318
1681748612285240412,0.000588582
1681748612518742561,0.00052134
1681748612752244473,0.00047607
1681748612985746861,0.000588657
1681748613219249964,0.000637716
1681748613452752829,0.000486856
1681748613686255693,0.000670854
1681748613919758797,0.000484577
1681748614153264999,0.000526697
1681748614386771441,0.000508163
1681748614620278358,0.000580536
1681748614853785515,0.000550091
1681748615087287664,0.000578335
1681748615320788860,0.000575511
1681748615554290056,0.00051492
1681748615787791491,0.000560008
1681748616021289825,0.000680489
1681748616254785538,0.000525571
1681748616488281250,0.000656969
1681748616721776485,0.000598863
1681748616955273628,0.000636039
1681748617188777685,0.000582718
1681748617422281265,0.00066202
1681748617655785084,0.00063437
1681748617889288902,0.00062752
1681748618122800589,0.000953983
1681748618356312990,0.000724722
1681748618589825869,0.000832636
1681748618823339701,0.000918488
1681748619056843758,0.000885651
1681748619290343761,0.00098983
1681748619523843527,0.0011474
1681748619757343292,0.00113528
1681748619990838528,0.00100513
1681748620224327326,0.0012374
1681748620457815170,0.00113048
1681748620691302299,0.00111252
1681748620924737215,0.00169826
1681748621158980370,0.0014126
1681748621393255949,0.00137953
1681748621627563715,0.00181706
1681748621861904144,0.00153462
1681748622095662117,0.00150823
1681748622329081535,0.00164449
1681748622562496185,0.00173979
1681748622795906067,0.00226781
1681748623029320478,0.00188563
1681748623262745142,0.0020899
1681748623496164799,0.00196026
1681748623729580164,0.00237249
1681748623962992668,0.00244131
1681748624196420193,0.00254359
1681748624429843187,0.00307228
1681748624663261890,0.00233295
1681748624896676064,0.00253433
1681748625130104303,0.00306834
1681748625363533020,0.00255815
1681748625596957445,0.00294155
1681748625830378056,0.00266095
1681748626063805342,0.00292829
1681748626297238827,0.00320011
1681748626530668020,0.00304925
1681748626764093161,0.00311145
1681748626997517586,0.00453289
1681748627230947971,0.00326449
1681748627464374304,0.00349978
1681748627697796345,0.00359499
1681748627931212664,0.00364732
1681748628164646864,0.0038395
1681748628398077250,0.00465826
1681748628631502867,0.0043595
1681748628864924908,0.00584235
1681748629098357439,0.00544744
1681748629331794500,0.00534516
1681748629565227270,0.00570583
1681748629798656464,0.00476036
1681748630032084942,0.00469964
1681748630265513897,0.00593104
1681748630498938799,0.00553989
1681748630732359171,0.00489494
1681748630965777159,0.00450553
1681748631199209929,0.00469923
1681748631432638645,0.00464659
1681748631666063070,0.00472514
1681748631899483442,0.00593864
1681748632132906437,0.00605645
1681748632366326571,0.00630943
1681748632599741936,0.0047623
1681748632833152294,0.00501641
1681748633066572189,0.00570386
1681748633300000906,0.00615595
1681748633533425331,0.00486182
1681748633766845226,0.00789213
1681748634000267744,0.00681482
1681748634233710766,0.00521345
1681748634467150211,0.00564611
1681748634700585604,0.00687674
1681748634934016943,0.00710457
1681748635167460680,0.00556456
1681748635400901079,0.005155
1681748635634337425,0.00484231
1681748635867769718,0.00524311
1681748636101193190,0.00717854
1681748636334608078,0.00587333
1681748636568017721,0.00576037
1681748636801422596,0.0054373
1681748637034974337,0.00530259
1681748637268821955,0.00563136
1681748637502702236,0.0055589
1681748637736614704,0.00718889
1681748637970525980,0.00521295
1681748638204026699,0.0054149
1681748638437527180,0.00745843
1681748638671027422,0.00586728
1681748638904527426,0.00650577
1681748639138030529,0.00724698
1681748639371534824,0.00805241
1681748639605039120,0.0063432
1681748639838543415,0.00565464
1681748640072048903,0.00592428
1681748640305555105,0.00785671
1681748640539062023,0.0056613
1681748640772568941,0.007789
1681748641006057501,0.00712246
1681748641242299318,0.00707523
1681748641478661299,0.00632293
1681748641715143681,0.00715019
1681748641951746464,0.00620185
1681748642185541630,0.00613914
1681748642418845654,0.00727963
1681748642652137280,0.00782463
1681748642885416031,0.00673991
1681748643118675232,0.00628556
1681748643351911306,0.0069024
1681748643585131884,0.00938102
1681748643818336725,0.00679948
1681748644051541090,0.00773529
1681748644284761667,0.00971421
1681748644517965555,0.00787278
1681748644751152992,0.00742605
1681748644984325647,0.00875324
1681748645217558146,0.00967255
1681748645450774431,0.00774514
1681748645683974743,0.00726773
1681748645917158842,0.00793854
1681748646150377989,0.00801036
1681748646383599043,0.00838731
1681748646616804123,0.010474
1681748646849992752,0.00779334
1681748647083358526,0.00803515
1681748647317107677,0.00929454
1681748647550863028,0.0098381
1681748647784625053,0.00929193
1681748648018393517,0.00915466
