timestamp(ns),elapsed(s)
1681748609249603033,0.000318844
1681748609483114004,0.000328861
1681748609716625452,0.000335181
1681748609950138569,0.000342534
1681748610183657169,0.000357349
1681748610417176962,0.000345767
1681748610650697708,0.000346703
1681748610884219885,0.000609929
1681748611117723942,0.000357004
1681748611351227760,0.000323234
1681748611584731579,0.000350577
1681748611818235636,0.000333367
1681748612051738262,0.000354516
1681748612285240412,0.000349565
1681748612518742561,0.000365536
1681748612752244473,0.000344825
1681748612985746861,0.000353486
1681748613219249964,0.000386875
1681748613452752829,0.000347429
1681748613686255693,0.000623059
1681748613919758797,0.000359003
1681748614153264999,0.000394333
1681748614386771441,0.000360621
1681748614620278358,0.000367722
1681748614853785515,0.000367414
1681748615087287664,0.000372368
1681748615320788860,0.000378019
1681748615554290056,0.000366998
1681748615787791491,0.000392684
1681748616021289825,0.00036852
1681748616254785538,0.000374604
1681748616488281250,0.000557945
1681748616721776485,0.000407884
1681748616955273628,0.000386371
1681748617188777685,0.000395343
1681748617422281265,0.000450937
1681748617655785084,0.000463058
1681748617889288902,0.000466676
1681748618122800589,0.00086488
1681748618356312990,0.00052176
1681748618589825869,0.00056178
1681748618823339701,0.000561495
1681748619056843758,0.000528335
1681748619290343761,0.000563035
1681748619523843527,0.00063292
1681748619757343292,0.000725311
1681748619990838528,0.000713618
1681748620224327326,0.000762484
1681748620457815170,0.000811222
1681748620691302299,0.000790109
1681748620924737215,0.00148975
1681748621158980370,0.000826309
1681748621393255949,0.000977643
1681748621627563715,0.00160746
1681748621861904144,0.00100496
1681748622095662117,0.00103824
1681748622329081535,0.00108311
1681748622562496185,0.0011658
1681748622795906067,0.00201675
1681748623029320478,0.00130196
1681748623262745142,0.0012886
1681748623496164799,0.00132126
1681748623729580164,0.00146499
1681748623962992668,0.00140287
1681748624196420193,0.001711
1681748624429843187,0.00159358
1681748624663261890,0.00167205
1681748624896676064,0.00162441
1681748625130104303,0.00161636
1681748625363533020,0.00171124
1681748625596957445,0.00259612
1681748625830378056,0.00169283
1681748626063805342,0.00179397
1681748626297238827,0.00195102
1681748626530668020,0.00213887
1681748626764093161,0.00207361
1681748626997517586,0.00214411
1681748627230947971,0.00248132
1681748627464374304,0.00244665
1681748627697796345,0.00549668
1681748627931212664,0.00524603
1681748628164646864,0.00279803
1681748628398077250,0.00293065
1681748628631502867,0.00233752
1681748628864924908,0.00406379
1681748629098357439,0.00271018
1681748629331794500,0.00377693
1681748629565227270,0.002715
1681748629798656464,0.00273908
1681748630032084942,0.00277779
1681748630265513897,0.00275629
1681748630498938799,0.00280096
1681748630732359171,0.00309056
1681748630965777159,0.00298961
1681748631199209929,0.00300503
1681748631432638645,0.00339184
1681748631666063070,0.00338865
1681748631899483442,0.00567869
1681748632132906437,0.00337215
1681748632366326571,0.00321995
1681748632599741936,0.00329011
1681748632833152294,0.00373056
1681748633066572189,0.00352902
1681748633300000906,0.00677098
1681748633533425331,0.00354993
1681748633766845226,0.0038703
1681748634000267744,0.00367274
1681748634233710766,0.00400492
1681748634467150211,0.00396408
1681748634700585604,0.00384116
1681748634934016943,0.00380488
1681748635167460680,0.00397323
1681748635400901079,0.00406794
1681748635634337425,0.00477243
1681748635867769718,0.00445049
1681748636101193190,0.00522335
1681748636334608078,0.00428446
1681748636568017721,0.00441599
1681748636801422596,0.00484275
1681748637034974337,0.00505829
1681748637268821955,0.00488579
1681748637502702236,0.00948255
1681748637736614704,0.00524421
1681748637970525980,0.00469034
1681748638204026699,0.00651073
1681748638437527180,0.00481907
1681748638671027422,0.00830698
1681748638904527426,0.00542415
1681748639138030529,0.00483136
1681748639371534824,0.00530091
1681748639605039120,0.00531201
1681748639838543415,0.00495947
1681748640072048903,0.00477942
1681748640305555105,0.00535421
1681748640539062023,0.00578512
1681748640772568941,0.00595603
1681748641006057501,0.00520392
1681748641242299318,0.00549056
1681748641478661299,0.00545801
1681748641715143681,0.00527699
1681748641951746464,0.00627237
1681748642185541630,0.00595705
1681748642418845654,0.00583583
1681748642652137280,0.00602919
1681748642885416031,0.00526062
1681748643118675232,0.00819228
1681748643351911306,0.00649693
1681748643585131884,0.00796636
1681748643818336725,0.006029
1681748644051541090,0.00782728
1681748644284761667,0.00817287
1681748644517965555,0.00651475
1681748644751152992,0.0062417
1681748644984325647,0.00546642
1681748645217558146,0.00546526
1681748645450774431,0.00600188
1681748645683974743,0.00731964
1681748645917158842,0.00648869
1681748646150377989,0.00815013
1681748646383599043,0.00735496
1681748646616804123,0.00740026
1681748646849992752,0.00741563
1681748647083358526,0.00672124
1681748647317107677,0.0066464
1681748647550863028,0.00651927
1681748647784625053,0.00659746
1681748648018393517,0.00660701
1681748648251703739,0.00897499
1681748648484876156,0.0065854
1681748648718029737,0.0069427
1681748648951164007,0.006839
1681748649184324265,0.00700583
1681748649417505264,0.00714793
1681748649650667667,0.00682251
1681748649883810997,0.00781316
1681748650116954803,0.00747314
1681748650350139856,0.00699527
1681748650583306313,0.00734511
1681748650816454172,0.00767888
1681748651049579144,0.00728913
1681748651282777309,0.00778813
1681748651515957355,0.00778855
1681748651749119282,0.00750101
1681748651982263088,0.00944123
1681748652215440035,0.00792991
1681748652448624372,0.00822441
1681748652681790113,0.00740982
1681748652914937019,0.00775204
1681748653148091555,0.00787065
1681748653381270170,0.00869679
1681748653614429951,0.00838176
1681748653847570181,0.00844363
1681748654080698490,0.00816576
1681748654313885212,0.0143514
1681748654547052622,0.00839984
1681748654780201197,0.00806725
1681748655013330460,0.00926439
1681748655246503353,0.0136592
1681748655479669094,0.00854284
1681748655712815523,0.0131861
1681748655945942402,0.0105928
1681748656179097891,0.00928821
1681748656412279606,0.0107136
1681748656645442247,0.00998601
1681748656878585577,0.00948328
1681748657112069130,0.0106616
1681748657346814632,0.0102664
1681748657581677437,0.00963696
1681748657816657305,0.00976715
1681748658051843643,0.00967514
1681748658285289288,0.00999174
1681748658518731117,0.0146583
1681748658752169371,0.00971183
1681748658985604286,0.0143346
1681748659219059706,0.00970023
1681748659452525854,0.0118858
1681748659685989618,0.0100733
1681748659919451237,0.0101665
1681748660152910233,0.00974947
1681748660386365175,0.0101491
1681748660619817257,0.0103322
1681748660853265762,0.0103976
1681748661086711884,0.0101355
1681748661320157290,0.0101953
1681748661553598881,0.0101999
1681748661787036896,0.00941694
1681748662020471334,0.0105197
1681748662253910780,0.0113032
1681748662487348318,0.010812
1681748662720782518,0.0107921
1681748662954212666,0.011088
1681748663188529968,0.0105817
1681748663425057173,0.01005
1681748663661727428,0.0106388
1681748663898540974,0.0187024
1681748664135390043,0.0107744
1681748664368629932,0.0109806
1681748664601854086,0.0104604
1681748664835062265,0.0114394
1681748665068254948,0.0109046
1681748665301477194,0.0120107
1681748665534688950,0.0111377
1681748665767884254,0.0108121
1681748666001063347,0.0200171
1681748666234256506,0.0113566
1681748666467470169,0.011232
1681748666700667143,0.0118127
1681748666933847427,0.0120967
1681748667167026520,0.0127925
1681748667400254011,0.0117684
1681748667633464813,0.0131651
1681748667866659403,0.011912
1681748668099829435,0.0120739
1681748668333080769,0.0141127
1681748668566316843,0.0196015
1681748668799537897,0.0131474
1681748669032743692,0.0131891
1681748669265967369,0.0128256
1681748669499194622,0.0128829
1681748669732405901,0.0126828
1681748669965601444,0.0129406
1681748670198810577,0.0137205
1681748670432065487,0.0169083
1681748670665305138,0.0131936
1681748670898530006,0.0155415
1681748671131742239,0.0145708
1681748671364975214,0.0137401
1681748671598191977,0.0132024
1681748671831392288,0.0161935
1681748672064576387,0.0128429
1681748672297803402,0.0126902
1681748672531034231,0.0128579
1681748672764249325,0.0135756
1681748672997448683,0.0128521
1681748673230662823,0.0139973
1681748673463896275,0.013105
1681748673697113276,0.0132515
1681748673930314779,0.0132705
1681748674163510084,0.0135105
1681748674396734953,0.015077
1681748674629942894,0.0140273
1681748674863134623,0.0140112
1681748675096302271,0.013542
1681748675329537630,0.0127584
1681748675562756777,0.0131916
1681748675795959949,0.0136677
1681748676029147148,0.0144833
1681748676262368917,0.0139742
1681748676495606899,0.0132417
1681748676728829384,0.0149064
1681748676962036371,0.014414
1681748677195251942,0.013994
1681748677428501606,0.0141269
1681748677661735773,0.0135112
1681748677894954920,0.014101
1681748678128160238,0.0144134
1681748678361392736,0.0156898
1681748678594608784,0.0146259
1681748678827808619,0.0141865
1681748679060991764,0.0145116
1681748679295353651,0.0153342
1681748679530228138,0.0137396
1681748679765223742,0.0147432
1681748680000340462,0.0149974
1681748680234762669,0.0173754
1681748680468269825,0.0147443
1681748680701776981,0.0145365
1681748680935284376,0.0148965
1681748681168790340,0.0147785
1681748681402287483,0.0148909
1681748681635784388,0.0148124
1681748681869280815,0.0152443
1681748682102776766,0.0148232
1681748682336270809,0.0145141
1681748682569763660,0.0152468
1681748682803256035,0.0155087
1681748683036747694,0.0164058
1681748683270240545,0.0156707
1681748683503733635,0.015406
1681748683737225771,0.0174093
1681748683970717430,0.015079
1681748684204211950,0.0153128
1681748684437713385,0.0153607
1681748684671214581,0.0178822
1681748684904715776,0.0158002
1681748685138217211,0.0179066
1681748685373922586,0.0175853
1681748685610257149,0.0168675
1681748685846711874,0.0180586
