timestamp(ns),elapsed(s)
1681748609249603033,0.0123494
1681748609483114004,0.00458213
1681748609716625452,0.00650737
1681748609950138569,0.00240306
1681748610183657169,0.00494488
1681748610417176962,0.00236044
1681748610650697708,0.00297178
1681748610884219885,0.00350805
1681748611117723942,0.00269723
1681748611351227760,0.0018064
1681748611584731579,0.00273808
1681748611818235636,0.00235042
1681748612051738262,0.00165502
1681748612285240412,0.00162154
1681748612518742561,0.00210101
1681748612752244473,0.00168162
1681748612985746861,0.00191341
1681748613219249964,0.0021347
1681748613452752829,0.00176612
1681748613686255693,0.00253555
1681748613919758797,0.00306506
1681748614153264999,0.00168157
1681748614386771441,0.00217631
1681748614620278358,0.00258722
1681748614853785515,0.00228383
1681748615087287664,0.00204404
1681748615320788860,0.00163578
1681748615554290056,0.00166971
1681748615787791491,0.00202149
1681748616021289825,0.00237113
1681748616254785538,0.00174543
1681748616488281250,0.0019617
1681748616721776485,0.00238218
1681748616955273628,0.00357287
1681748617188777685,0.00308362
1681748617422281265,0.0032772
1681748617655785084,0.00307578
1681748617889288902,0.00378846
1681748618122800589,0.00422606
1681748618356312990,0.00457206
1681748618589825869,0.00565431
1681748618823339701,0.00532125
1681748619056843758,0.00594521
1681748619290343761,0.00807143
1681748619523843527,0.00630757
1681748619757343292,0.00861705
1681748619990838528,0.00577997
1681748620224327326,0.00544071
1681748620457815170,0.00821911
1681748620691302299,0.00437725
1681748620924737215,0.00907383
1681748621158980370,0.00630177
1681748621393255949,0.00680193
1681748621627563715,0.00729941
1681748621861904144,0.0131569
1681748622095662117,0.00920704
1681748622329081535,0.0109618
1681748622562496185,0.0144297
1681748622795906067,0.0108301
1681748623029320478,0.0120191
1681748623262745142,0.0110419
1681748623496164799,0.00948972
1681748623729580164,0.00955639
1681748623962992668,0.0116518
1681748624196420193,0.00969065
1681748624429843187,0.00834156
1681748624663261890,0.00755913
1681748624896676064,0.0143559
1681748625130104303,0.00864408
1681748625363533020,0.0135432
1681748625596957445,0.0100859
1681748625830378056,0.0129992
1681748626063805342,0.00897925
1681748626297238827,0.00942914
1681748626530668020,0.0100167
1681748626764093161,0.0116726
1681748626997517586,0.0113823
1681748627230947971,0.0105672
1681748627464374304,0.00652868
1681748627697796345,0.00606117
1681748627931212664,0.00841946
1681748628164646864,0.00670282
1681748628398077250,0.0106777
1681748628631502867,0.00731548
1681748628864924908,0.0114056
1681748629098357439,0.00981337
