timestamp(ns),elapsed(s)
1681748609249603033,0.0113404
1681748609483114004,0.00427483
1681748609716625452,0.00264039
1681748609950138569,0.00254002
1681748610183657169,0.00246792
1681748610417176962,0.00222387
1681748610650697708,0.00268766
1681748610884219885,0.0022034
1681748611117723942,0.00220985
1681748611351227760,0.00217463
1681748611584731579,0.00263273
1681748611818235636,0.00215351
1681748612051738262,0.0022348
1681748612285240412,0.00248979
1681748612518742561,0.00223785
1681748612752244473,0.00222038
1681748612985746861,0.0025007
1681748613219249964,0.00218713
1681748613452752829,0.00222415
1681748613686255693,0.00223812
1681748613919758797,0.00227554
1681748614153264999,0.00244891
1681748614386771441,0.00234603
1681748614620278358,0.00228655
1681748614853785515,0.00228426
1681748615087287664,0.00227977
1681748615320788860,0.00251804
1681748615554290056,0.00226792
1681748615787791491,0.00239484
1681748616021289825,0.00231448
1681748616254785538,0.00222438
1681748616488281250,0.00237077
1681748616721776485,0.00240277
1681748616955273628,0.00254132
1681748617188777685,0.0025488
1681748617422281265,0.00268992
1681748617655785084,0.00284887
1681748617889288902,0.0030357
1681748618122800589,0.00406093
1681748618356312990,0.00401009
1681748618589825869,0.00385461
1681748618823339701,0.00485872
1681748619056843758,0.0036629
1681748619290343761,0.0038635
1681748619523843527,0.00481551
1681748619757343292,0.00548031
1681748619990838528,0.00519095
1681748620224327326,0.00572416
1681748620457815170,0.00598182
1681748620691302299,0.00747617
1681748620924737215,0.00622219
1681748621158980370,0.00637796
1681748621393255949,0.00807727
1681748621627563715,0.00812404
1681748621861904144,0.0074518
1681748622095662117,0.00730904
1681748622329081535,0.00972952
1681748622562496185,0.00855347
1681748622795906067,0.00834333
1681748623029320478,0.00895574
1681748623262745142,0.00892931
1681748623496164799,0.0100537
1681748623729580164,0.0104148
1681748623962992668,0.0116125
1681748624196420193,0.0102873
1681748624429843187,0.0110744
1681748624663261890,0.0128741
1681748624896676064,0.0121165
1681748625130104303,0.0118976
1681748625363533020,0.0160348
1681748625596957445,0.0122834
1681748625830378056,0.0127547
1681748626063805342,0.0145934
1681748626297238827,0.0153432
1681748626530668020,0.0132523
1681748626764093161,0.0138476
1681748626997517586,0.015466
1681748627230947971,0.0147593
1681748627464374304,0.0152238
1681748627697796345,0.0162851
1681748627931212664,0.0160282
1681748628164646864,0.0173206
1681748628398077250,0.0192524
1681748628631502867,0.0194425
1681748628864924908,0.0187441
1681748629098357439,0.017442
