timestamp(ns),elapsed(s)
1681748609249603033,0.000926971
1681748609483114004,0.0011001
1681748609716625452,0.000734506
1681748609950138569,0.000778838
1681748610183657169,0.000685262
1681748610417176962,0.000719088
1681748610650697708,0.00105212
1681748610884219885,0.000923342
1681748611117723942,0.000786878
1681748611351227760,0.000856866
1681748611584731579,0.000732161
1681748611818235636,0.000689332
1681748612051738262,0.000737323
1681748612285240412,0.000717617
1681748612518742561,0.00069514
1681748612752244473,0.000724702
1681748612985746861,0.000904829
1681748613219249964,0.000674844
1681748613452752829,0.000702618
1681748613686255693,0.000711732
1681748613919758797,0.000723579
1681748614153264999,0.000836863
1681748614386771441,0.000703003
1681748614620278358,0.000705222
1681748614853785515,0.000700734
1681748615087287664,0.000721185
1681748615320788860,0.000750491
1681748615554290056,0.000726178
1681748615787791491,0.000719241
1681748616021289825,0.000739009
1681748616254785538,0.000773434
1681748616488281250,0.000764003
1681748616721776485,0.000675926
1681748616955273628,0.000823957
1681748617188777685,0.00102111
1681748617422281265,0.000817746
1681748617655785084,0.00081559
1681748617889288902,0.000796262
1681748618122800589,0.000731552
1681748618356312990,0.000770449
1681748618589825869,0.000837508
1681748618823339701,0.000728597
1681748619056843758,0.000724138
1681748619290343761,0.000663822
1681748619523843527,0.000763018
1681748619757343292,0.00090332
1681748619990838528,0.000770115
1681748620224327326,0.000837895
1681748620457815170,0.000736999
1681748620691302299,0.000823029
1681748620924737215,0.00121498
1681748621158980370,0.000775364
1681748621393255949,0.000796037
1681748621627563715,0.00112071
1681748621861904144,0.00108829
1681748622095662117,0.0011292
1681748622329081535,0.00114231
1681748622562496185,0.00110068
1681748622795906067,0.00116632
1681748623029320478,0.00114252
1681748623262745142,0.00108786
1681748623496164799,0.00121621
1681748623729580164,0.00104348
1681748623962992668,0.00105949
1681748624196420193,0.00114301
1681748624429843187,0.00106178
1681748624663261890,0.00104528
1681748624896676064,0.00114261
1681748625130104303,0.00106343
1681748625363533020,0.000999035
1681748625596957445,0.000893165
1681748625830378056,0.00169361
1681748626063805342,0.00087622
1681748626297238827,0.000899038
1681748626530668020,0.00166937
1681748626764093161,0.000949328
1681748626997517586,0.000905408
1681748627230947971,0.000819475
1681748627464374304,0.000704014
1681748627697796345,0.000879477
1681748627931212664,0.000790076
1681748628164646864,0.0013852
1681748628398077250,0.000670082
1681748628631502867,0.000704432
1681748628864924908,0.000854563
1681748629098357439,0.000782333
1681748629331794500,0.000622709
1681748629565227270,0.000662309
1681748629798656464,0.000753293
1681748630032084942,0.000810581
1681748630265513897,0.000836199
1681748630498938799,0.000738135
1681748630732359171,0.000874137
1681748630965777159,0.000833074
1681748631199209929,0.000743042
1681748631432638645,0.000878033
1681748631666063070,0.000820678
1681748631899483442,0.000860199
1681748632132906437,0.000862821
1681748632366326571,0.000921795
1681748632599741936,0.000938353
1681748632833152294,0.000695558
1681748633066572189,0.000821391
1681748633300000906,0.000749672
1681748633533425331,0.000722674
1681748633766845226,0.00106168
1681748634000267744,0.000767837
1681748634233710766,0.000851521
1681748634467150211,0.00072276
1681748634700585604,0.00102445
1681748634934016943,0.000769144
1681748635167460680,0.00172708
1681748635400901079,0.00100917
1681748635634337425,0.00101326
1681748635867769718,0.00108941
1681748636101193190,0.000786238
1681748636334608078,0.000850929
1681748636568017721,0.0013742
1681748636801422596,0.000986292
1681748637034974337,0.00113579
1681748637268821955,0.00116555
1681748637502702236,0.00111962
1681748637736614704,0.00109925
1681748637970525980,0.00109482
1681748638204026699,0.00105096
1681748638437527180,0.00107373
1681748638671027422,0.00118315
1681748638904527426,0.00104829
1681748639138030529,0.0010401
1681748639371534824,0.00107949
1681748639605039120,0.000929965
1681748639838543415,0.0011019
1681748640072048903,0.00231342
