timestamp(ns),elapsed(s)
1681748609249603033,0.0221539
1681748609483114004,0.0113466
1681748609716625452,0.0101681
1681748609950138569,0.0101825
1681748610183657169,0.00937824
1681748610417176962,0.00998061
1681748610650697708,0.010273
1681748610884219885,0.0104505
1681748611117723942,0.0104673
1681748611351227760,0.0102542
1681748611584731579,0.0103812
1681748611818235636,0.00991646
1681748612051738262,0.0104952
1681748612285240412,0.0102258
1681748612518742561,0.00979091
1681748612752244473,0.0102235
1681748612985746861,0.0107017
1681748613219249964,0.0097976
1681748613452752829,0.00956903
1681748613686255693,0.0101223
1681748613919758797,0.0101981
1681748614153264999,0.0104444
1681748614386771441,0.00986775
1681748614620278358,0.01015
1681748614853785515,0.00994343
1681748615087287664,0.0106523
1681748615320788860,0.0117441
1681748615554290056,0.0101104
1681748615787791491,0.0104297
1681748616021289825,0.0105082
1681748616254785538,0.00952382
1681748616488281250,0.0105279
1681748616721776485,0.0102637
1681748616955273628,0.010911
1681748617188777685,0.011182
1681748617422281265,0.012316
1681748617655785084,0.0139463
1681748617889288902,0.0135818
1681748618122800589,0.014942
1681748618356312990,0.0162812
1681748618589825869,0.0183431
1681748618823339701,0.0168063
1681748619056843758,0.0179942
1681748619290343761,0.0196775
1681748619523843527,0.0195435
1681748619757343292,0.0236614
1681748619990838528,0.0216401
1681748620224327326,0.0248131
1681748620457815170,0.0249371
1681748620691302299,0.0262295
1681748620924737215,0.0270505
1681748621158980370,0.0282044
1681748621393255949,0.0304369
1681748621627563715,0.0280464
1681748621861904144,0.0337634
1681748622095662117,0.0323049
1681748622329081535,0.0331929
1681748622562496185,0.0358293
1681748622795906067,0.0376328
1681748623029320478,0.039359
1681748623262745142,0.0406521
1681748623496164799,0.0446841
1681748623729580164,0.044993
1681748623962992668,0.0484755
1681748624196420193,0.0490227
1681748624429843187,0.0481201
1681748624663261890,0.0530665
1681748624896676064,0.0537457
1681748625130104303,0.0551107
1681748625363533020,0.0612307
1681748625596957445,0.0571753
1681748625830378056,0.0614927
1681748626063805342,0.0657855
1681748626297238827,0.065731
1681748626530668020,0.066641
1681748626764093161,0.0668274
1681748626997517586,0.0724557
1681748627230947971,0.0685773
1681748627464374304,0.0735662
1681748627697796345,0.0740423
1681748627931212664,0.0790785
1681748628164646864,0.0800698
1681748628398077250,0.0836942
1681748628631502867,0.0862169
1681748628864924908,0.0833861
1681748629098357439,0.0846624
1681748629331794500,0.0796195
1681748629565227270,0.0873799
1681748629798656464,0.0925838
1681748630032084942,0.0921173
1681748630265513897,0.0884413
1681748630498938799,0.089165
1681748630732359171,0.0868019
1681748630965777159,0.0880054
1681748631199209929,0.0919395
1681748631432638645,0.0894317
1681748631666063070,0.0874371
1681748631899483442,0.0939803
1681748632132906437,0.0898429
1681748632366326571,0.0892813
1681748632599741936,0.0905044
1681748632833152294,0.0882637
1681748633066572189,0.0965045
1681748633300000906,0.0901999
1681748633533425331,0.0892323
1681748633766845226,0.0893561
1681748634000267744,0.0868172
1681748634233710766,0.088938
1681748634467150211,0.0880427
1681748634700585604,0.0909952
1681748634934016943,0.0892942
1681748635167460680,0.0827879
1681748635400901079,0.0823003
1681748635634337425,0.088943
1681748635867769718,0.0866679
1681748636101193190,0.0912848
1681748636334608078,0.0891165
1681748636568017721,0.0928401
1681748636801422596,0.0867131
1681748637034974337,0.0867729
1681748637268821955,0.0863347
1681748637502702236,0.0789705
1681748637736614704,0.088282
1681748637970525980,0.0855188
1681748638204026699,0.0917079
1681748638437527180,0.09048
1681748638671027422,0.0903658
1681748638904527426,0.0820237
1681748639138030529,0.0880736
1681748639371534824,0.0971089
1681748639605039120,0.0880548
1681748639838543415,0.0927865
1681748640072048903,0.0914703
1681748640305555105,0.091026
1681748640539062023,0.0943123
1681748640772568941,0.0898875
1681748641006057501,0.09369
1681748641242299318,0.0866586
1681748641478661299,0.0949557
1681748641715143681,0.0893145
1681748641951746464,0.0953635
1681748642185541630,0.090806
1681748642418845654,0.0885072
1681748642652137280,0.0923215
1681748642885416031,0.0893027
1681748643118675232,0.0882525
1681748643351911306,0.092631
1681748643585131884,0.0889982
