timestamp(ns),elapsed(s)
1681748609249603033,0.00500509
1681748609483114004,0.00467877
1681748609716625452,0.00462037
1681748609950138569,0.0047204
1681748610183657169,0.00451391
1681748610417176962,0.00469831
1681748610650697708,0.00467897
1681748610884219885,0.00475712
1681748611117723942,0.00525769
1681748611351227760,0.00492914
1681748611584731579,0.00492053
1681748611818235636,0.00512149
1681748612051738262,0.00485449
1681748612285240412,0.00484269
1681748612518742561,0.00471202
1681748612752244473,0.00469257
1681748612985746861,0.00476325
1681748613219249964,0.00478524
1681748613452752829,0.00474994
1681748613686255693,0.00478073
1681748613919758797,0.0048872
1681748614153264999,0.00500363
1681748614386771441,0.00495618
1681748614620278358,0.00503059
1681748614853785515,0.00475736
1681748615087287664,0.00521051
1681748615320788860,0.00556782
1681748615554290056,0.00511646
1681748615787791491,0.00513557
1681748616021289825,0.00508825
1681748616254785538,0.00482817
1681748616488281250,0.00500735
1681748616721776485,0.00515296
1681748616955273628,0.00514481
1681748617188777685,0.00544924
1681748617422281265,0.00603032
1681748617655785084,0.0062768
1681748617889288902,0.00659963
1681748618122800589,0.00727805
1681748618356312990,0.00773701
1681748618589825869,0.00806884
1681748618823339701,0.00806782
1681748619056843758,0.0084225
1681748619290343761,0.00870674
1681748619523843527,0.00939397
1681748619757343292,0.0109121
1681748619990838528,0.010781
1681748620224327326,0.0114587
1681748620457815170,0.0123481
1681748620691302299,0.0125505
1681748620924737215,0.0129353
1681748621158980370,0.0132661
1681748621393255949,0.0152585
1681748621627563715,0.0140592
1681748621861904144,0.0165247
1681748622095662117,0.016604
1681748622329081535,0.017224
1681748622562496185,0.0179523
1681748622795906067,0.0186909
1681748623029320478,0.0196987
1681748623262745142,0.0208096
1681748623496164799,0.0219825
1681748623729580164,0.0227748
1681748623962992668,0.0243645
1681748624196420193,0.0242262
1681748624429843187,0.024656
1681748624663261890,0.0281269
1681748624896676064,0.0281359
1681748625130104303,0.0286721
1681748625363533020,0.0307542
1681748625596957445,0.0299056
1681748625830378056,0.0307479
1681748626063805342,0.0329809
1681748626297238827,0.0321829
1681748626530668020,0.0349582
1681748626764093161,0.0342891
1681748626997517586,0.0398106
1681748627230947971,0.0360106
1681748627464374304,0.0378668
1681748627697796345,0.0370915
1681748627931212664,0.0404374
1681748628164646864,0.0415597
1681748628398077250,0.0425916
1681748628631502867,0.0425395
1681748628864924908,0.042538
1681748629098357439,0.0437079
1681748629331794500,0.0407539
1681748629565227270,0.0424457
1681748629798656464,0.045219
1681748630032084942,0.0471192
1681748630265513897,0.0430375
1681748630498938799,0.0443981
1681748630732359171,0.0428234
1681748630965777159,0.0451546
1681748631199209929,0.0484323
1681748631432638645,0.0451482
1681748631666063070,0.044852
1681748631899483442,0.0446596
1681748632132906437,0.0442488
1681748632366326571,0.0463637
1681748632599741936,0.0441057
1681748632833152294,0.0468329
1681748633066572189,0.0524955
1681748633300000906,0.0454916
1681748633533425331,0.0449514
1681748633766845226,0.0450914
1681748634000267744,0.0454043
1681748634233710766,0.0432644
1681748634467150211,0.0423688
1681748634700585604,0.0439547
1681748634934016943,0.0432814
1681748635167460680,0.0410681
1681748635400901079,0.0405529
1681748635634337425,0.0426022
1681748635867769718,0.0438871
1681748636101193190,0.0447483
1681748636334608078,0.0453578
1681748636568017721,0.0457116
1681748636801422596,0.0405772
1681748637034974337,0.0424133
1681748637268821955,0.0429584
1681748637502702236,0.0408529
1681748637736614704,0.0457569
1681748637970525980,0.0441838
1681748638204026699,0.0417529
1681748638437527180,0.0450541
1681748638671027422,0.0431943
1681748638904527426,0.0413082
1681748639138030529,0.0447904
1681748639371534824,0.0539711
1681748639605039120,0.0435636
1681748639838543415,0.0470072
1681748640072048903,0.0462084
1681748640305555105,0.0454455
1681748640539062023,0.0441866
1681748640772568941,0.0444218
1681748641006057501,0.0451189
1681748641242299318,0.044854
1681748641478661299,0.0460039
1681748641715143681,0.0463551
1681748641951746464,0.0455669
1681748642185541630,0.0463785
1681748642418845654,0.0449887
1681748642652137280,0.0453728
1681748642885416031,0.0444356
1681748643118675232,0.0450285
1681748643351911306,0.0476975
1681748643585131884,0.0472958
1681748643818336725,0.0516168
1681748644051541090,0.0496506
1681748644284761667,0.0527142
1681748644517965555,0.0518194
1681748644751152992,0.0515708
1681748644984325647,0.0518496
1681748645217558146,0.0537383
1681748645450774431,0.0490126
