timestamp(ns),elapsed(s)
1681748609249603033,6.4e-05
1681748609483114004,0.000118859
1681748609716625452,8.7053e-05
1681748609950138569,0.000118789
1681748610183657169,0.000131449
1681748610417176962,0.000106136
1681748610650697708,0.000107175
1681748610884219885,0.000141365
1681748611117723942,0.000134051
1681748611351227760,0.00012907
1681748611584731579,0.000137423
1681748611818235636,0.000179236
1681748612051738262,0.00014118
1681748612285240412,0.000138004
1681748612518742561,0.000203327
1681748612752244473,0.000127916
1681748612985746861,0.000180478
1681748613219249964,0.000154572
1681748613452752829,0.000219344
1681748613686255693,0.00017377
1681748613919758797,0.000158533
1681748614153264999,0.000241489
1681748614386771441,0.0001615
1681748614620278358,0.000184917
1681748614853785515,0.000183823
1681748615087287664,0.000200662
1681748615320788860,0.000215638
1681748615554290056,0.0002023
1681748615787791491,0.000208602
1681748616021289825,0.000217523
1681748616254785538,0.000309924
1681748616488281250,0.000222878
1681748616721776485,0.000217911
1681748616955273628,0.000215541
1681748617188777685,0.000213489
1681748617422281265,0.000268675
1681748617655785084,0.000235137
1681748617889288902,0.000255136
1681748618122800589,0.000285995
1681748618356312990,0.000285057
1681748618589825869,0.000341186
1681748618823339701,0.000660198
1681748619056843758,0.000352744
1681748619290343761,0.000340641
1681748619523843527,0.000410183
1681748619757343292,0.000440634
1681748619990838528,0.000446072
1681748620224327326,0.00042375
1681748620457815170,0.000416286
1681748620691302299,0.000440114
1681748620924737215,0.000640032
1681748621158980370,0.000454409
1681748621393255949,0.000519002
1681748621627563715,0.00053413
1681748621861904144,0.000605215
1681748622095662117,0.000594574
1681748622329081535,0.000668758
1681748622562496185,0.000703857
1681748622795906067,0.000665004
1681748623029320478,0.000740928
1681748623262745142,0.000680246
1681748623496164799,0.000667681
1681748623729580164,0.000734325
1681748623962992668,0.000737408
1681748624196420193,0.000828857
1681748624429843187,0.000823142
1681748624663261890,0.000832335
1681748624896676064,0.000931153
1681748625130104303,0.00114809
1681748625363533020,0.00106171
1681748625596957445,0.000962228
1681748625830378056,0.000943478
1681748626063805342,0.00102501
1681748626297238827,0.00111094
1681748626530668020,0.00113198
1681748626764093161,0.00126187
1681748626997517586,0.00154997
1681748627230947971,0.00119488
1681748627464374304,0.00136554
1681748627697796345,0.00134955
1681748627931212664,0.00136071
1681748628164646864,0.00138074
1681748628398077250,0.00242126
1681748628631502867,0.00154084
1681748628864924908,0.00166816
1681748629098357439,0.00158682
1681748629331794500,0.00155374
1681748629565227270,0.00166934
1681748629798656464,0.00163596
1681748630032084942,0.00165082
1681748630265513897,0.00187414
1681748630498938799,0.00182077
1681748630732359171,0.0029281
1681748630965777159,0.00226505
1681748631199209929,0.0018293
1681748631432638645,0.00188742
1681748631666063070,0.00177362
1681748631899483442,0.00224809
1681748632132906437,0.00269175
1681748632366326571,0.00223374
1681748632599741936,0.00220618
1681748632833152294,0.00219287
1681748633066572189,0.00377174
1681748633300000906,0.00265721
1681748633533425331,0.00230284
1681748633766845226,0.00335522
1681748634000267744,0.00232354
1681748634233710766,0.00229178
1681748634467150211,0.00284774
1681748634700585604,0.00239948
1681748634934016943,0.00237838
1681748635167460680,0.0024081
1681748635400901079,0.002374
1681748635634337425,0.00349347
1681748635867769718,0.00257122
1681748636101193190,0.00254256
1681748636334608078,0.00344593
1681748636568017721,0.00291658
1681748636801422596,0.00239837
1681748637034974337,0.00268884
1681748637268821955,0.00275234
1681748637502702236,0.00270424
1681748637736614704,0.00316245
1681748637970525980,0.00266701
1681748638204026699,0.00269715
1681748638437527180,0.00326878
1681748638671027422,0.002763
1681748638904527426,0.00278336
1681748639138030529,0.00400841
1681748639371534824,0.00287216
1681748639605039120,0.00271478
1681748639838543415,0.00280104
1681748640072048903,0.00293035
1681748640305555105,0.00321848
1681748640539062023,0.00312888
1681748640772568941,0.00433839
