timestamp(ns),elapsed(s)
1742909311908153772,6.5227e-05
1742909312141445637,9.0927e-05
1742909312374726057,0.000141391
1742909312608031511,0.00019957
1742909312841348171,0.00029767
1742909313074654818,0.000351351
1742909313307951450,0.000239914
1742909313541252613,0.000297128
1742909313774573088,0.000341893
1742909314007883549,0.000295905
1742909314241183996,0.000231349
1742909314474477053,0.000331304
1742909314707791567,0.000293912
1742909314941095352,0.000394889
1742909315174389124,0.000287673
1742909315407672405,0.000340987
1742909315640953779,0.000413875
1742909315874225140,0.000448587
1742909316107483387,0.000370512
1742909316340728998,0.000355801
1742909316574499369,0.00036651
1742909316809597015,0.000345234
1742909317044759989,0.000420339
1742909317279988050,0.000315323
1742909317515274763,0.000432122
1742909317748321056,0.000341362
1742909317981339931,0.000353435
1742909318214331627,0.000420796
1742909318447296143,0.0004394
1742909318681381702,0.000492364
1742909318916054010,0.000517327
1742909319150836229,0.000393296
1742909319385727882,0.000446731
1742909319620030165,0.000518263
1742909319853337765,0.00043845
1742909320086633205,0.000379087
1742909320319917440,0.000390064
1742909320553231001,0.000651254
1742909320787950277,0.000527896
1742909321023176432,0.000590009
1742909321258472919,0.000634102
1742909321493839741,0.000458768
1742909321728294611,0.00047138
1742909321961422682,0.000566599
1742909322194529057,0.000480335
1742909322427613735,0.000521189
1742909322660691261,0.0006493
1742909322893832207,0.000702432
1742909323126952171,0.000587435
1742909323360050440,0.000694141
1742909323593127728,0.000584797
1742909323827292681,0.00101271
1742909324062365532,0.000720151
1742909324297499657,0.000691335
1742909324532695055,0.000689562
1742909324767632008,0.000657441
1742909325000542879,0.000898198
1742909325233420610,0.000787931
1742909325466264725,0.000798407
1742909325699074984,0.000756071
1742909325933123350,0.000744049
1742909326167999983,0.000836228
1742909326402926683,0.000983923
1742909326637902975,0.000869498
1742909326872750998,0.000921229
1742909327107199669,0.000897457
1742909327341930866,0.000935343
1742909327576702356,0.000936721
1742909327811514378,0.000967825
1742909328045376062,0.0010298
1742909328277897596,0.00118175
1742909328510364532,0.00119125
1742909328742776155,0.00104794
1742909328975174427,0.00132688
1742909329207730055,0.00110872
1742909329440231562,0.00133005
1742909329672678709,0.00144887
1742909329905071735,0.00127248
1742909330138918877,0.00140742
1742909330373436928,0.00214129
1742909330607983589,0.00144009
1742909330842558861,0.00141883
1742909331076844454,0.00166892
1742909331309219122,0.00188295
1742909331541529894,0.00130513
1742909331773775578,0.00206131
1742909332005957603,0.00211475
1742909332238335133,0.00170476
1742909332470686436,0.00138747
1742909332702974081,0.00141115
1742909332935198069,0.00159074
1742909333168083906,0.00138788
1742909333401510954,0.00132524
1742909333634961605,0.0015628
1742909333868436337,0.00180315
1742909334101679325,0.0016786
1742909334334258556,0.00153374
1742909334566784143,0.00164836
1742909334799256563,0.00196308
1742909335031679153,0.00162895
1742909335265691519,0.00210215
1742909335500180721,0.00149739
1742909335734696627,0.0017274
1742909335969238997,0.00168637
1742909336203188658,0.00240409
1742909336435571671,0.00177052
1742909336667890072,0.00200392
1742909336900144100,0.0016648
1742909337132337332,0.00169382
1742909337365758657,0.00181991
1742909337599203587,0.00155961
