timestamp(ns),elapsed(s)
1681748609249603033,2.435e-06
1681748609483114004,2.814e-06
1681748609716625452,1.452e-06
1681748609950138569,1.352e-06
1681748610183657169,1.209e-06
1681748610417176962,2.032e-06
1681748610650697708,1.931e-06
1681748610884219885,1.865e-06
1681748611117723942,1.52e-06
1681748611351227760,1.64e-06
1681748611584731579,1.511e-06
1681748611818235636,1.711e-06
1681748612051738262,1.518e-06
1681748612285240412,1.928e-06
1681748612518742561,1.344e-06
1681748612752244473,1.308e-06
1681748612985746861,1.475e-06
1681748613219249964,1.22e-06
1681748613452752829,1.268e-06
1681748613686255693,1.674e-06
1681748613919758797,1.856e-06
1681748614153264999,1.191e-06
1681748614386771441,1.833e-06
1681748614620278358,2.712e-06
1681748614853785515,1.345e-06
1681748615087287664,1.5349e-05
1681748615320788860,1.948e-06
1681748615554290056,1.388e-06
1681748615787791491,1.941e-06
1681748616021289825,2.631e-06
1681748616254785538,1.714e-06
1681748616488281250,1.604e-06
1681748616721776485,1.748e-06
1681748616955273628,1.39e-06
1681748617188777685,1.387e-06
1681748617422281265,1.517e-06
1681748617655785084,1.261e-06
1681748617889288902,1.622e-06
1681748618122800589,1.563e-06
1681748618356312990,1.701e-06
1681748618589825869,1.87e-06
1681748618823339701,1.521e-06
1681748619056843758,1.812e-06
1681748619290343761,1.604e-06
1681748619523843527,1.469e-06
1681748619757343292,1.573e-06
1681748619990838528,1.379e-06
1681748620224327326,1.59e-06
1681748620457815170,1.672e-06
1681748620691302299,1.657e-06
1681748620924737215,1.88e-06
1681748621158980370,1.805e-06
1681748621393255949,1.449e-06
1681748621627563715,1.6e-06
1681748621861904144,1.61e-06
1681748622095662117,1.143e-06
1681748622329081535,1.828e-06
1681748622562496185,1.601e-06
1681748622795906067,1.741e-06
1681748623029320478,1.815e-06
1681748623262745142,2.734e-06
1681748623496164799,1.519e-06
1681748623729580164,1.476e-06
1681748623962992668,1.6e-06
1681748624196420193,1.289e-06
1681748624429843187,1.878e-06
1681748624663261890,1.663e-06
1681748624896676064,1.795e-06
1681748625130104303,1.837e-06
1681748625363533020,1.452e-06
1681748625596957445,2.615e-06
1681748625830378056,1.612e-06
1681748626063805342,1.621e-06
1681748626297238827,1.642e-06
1681748626530668020,1.447e-06
1681748626764093161,1.992e-06
1681748626997517586,1.984e-06
1681748627230947971,2.656e-06
1681748627464374304,4.4177e-05
1681748627697796345,6.471e-06
1681748627931212664,1.986e-06
1681748628164646864,1.87e-06
1681748628398077250,1.488e-06
1681748628631502867,5.1657e-05
1681748628864924908,0.000309856
1681748629098357439,0.000236914
1681748629331794500,2.134e-06
1681748629565227270,1.827e-06
1681748629798656464,1.422e-06
1681748630032084942,0.000155643
1681748630265513897,0.000258288
1681748630498938799,0.000470916
1681748630732359171,0.000578121
1681748630965777159,1.933e-06
1681748631199209929,1.675e-06
1681748631432638645,2.397e-06
1681748631666063070,0.00012718
1681748631899483442,0.000750388
1681748632132906437,0.000661275
1681748632366326571,1.939e-06
1681748632599741936,1.728e-05
1681748632833152294,1.634e-06
1681748633066572189,0.000105772
1681748633300000906,0.000750211
1681748633533425331,2.089e-06
1681748633766845226,0.00105076
1681748634000267744,1.848e-06
1681748634233710766,2.083e-06
1681748634467150211,7.8305e-05
1681748634700585604,1.811e-06
1681748634934016943,0.000817388
1681748635167460680,2.015e-06
1681748635400901079,0.000592317
1681748635634337425,2.206e-06
1681748635867769718,1.959e-06
1681748636101193190,8.064e-06
1681748636334608078,1.484e-06
1681748636568017721,6.8266e-05
1681748636801422596,0.000420587
1681748637034974337,0.000577503
1681748637268821955,0.000536141
1681748637502702236,2.057e-06
1681748637736614704,6.496e-06
1681748637970525980,1.607e-06
1681748638204026699,0.000450378
1681748638437527180,0.000143908
1681748638671027422,0.000593384
1681748638904527426,0.00058677
1681748639138030529,2.117e-06
1681748639371534824,2.149e-06
1681748639605039120,1.755e-06
1681748639838543415,2.301e-06
1681748640072048903,2.298e-06
1681748640305555105,0.000199247
1681748640539062023,0.000149898
1681748640772568941,0.000763399
1681748641006057501,0.000797669
1681748641242299318,2.077e-06
1681748641478661299,1.921e-06
1681748641715143681,2.498e-06
1681748641951746464,2.193e-06
1681748642185541630,2.128e-06
1681748642418845654,0.000292182
1681748642652137280,0.000234597
1681748642885416031,0.0006542
1681748643118675232,0.000634748
1681748643351911306,1.891e-06
1681748643585131884,2.24e-06
1681748643818336725,1.945e-06
1681748644051541090,2.331e-06
1681748644284761667,1.774e-06
1681748644517965555,0.00120902
1681748644751152992,0.000222323
1681748644984325647,1.832e-06
1681748645217558146,0.00105288
1681748645450774431,0.000765116
1681748645683974743,3.007e-06
1681748645917158842,2.362e-06
1681748646150377989,1.97e-06
1681748646383599043,2.137e-06
1681748646616804123,2.35e-06
1681748646849992752,2.187e-06
1681748647083358526,0.000715656
