timestamp(ns),elapsed(s)
1681748609249603033,0.0169201
1681748609483114004,0.00632194
1681748609716625452,0.00530246
1681748609950138569,0.00520376
1681748610183657169,0.00456278
1681748610417176962,0.00506724
1681748610650697708,0.00527377
1681748610884219885,0.00541083
1681748611117723942,0.00493022
1681748611351227760,0.00509354
1681748611584731579,0.00518055
1681748611818235636,0.00449779
1681748612051738262,0.00536983
1681748612285240412,0.00504535
1681748612518742561,0.00479116
1681748612752244473,0.00525146
1681748612985746861,0.00562929
1681748613219249964,0.00472454
1681748613452752829,0.0045914
1681748613686255693,0.00501965
1681748613919758797,0.00499482
1681748614153264999,0.0051199
1681748614386771441,0.00468496
1681748614620278358,0.00484717
1681748614853785515,0.00490456
1681748615087287664,0.00503659
1681748615320788860,0.00583468
1681748615554290056,0.00477739
1681748615787791491,0.00504504
1681748616021289825,0.00512773
1681748616254785538,0.00446008
1681748616488281250,0.00525658
1681748616721776485,0.00479615
1681748616955273628,0.00539558
1681748617188777685,0.00543616
1681748617422281265,0.00594186
1681748617655785084,0.00733397
1681748617889288902,0.00665043
1681748618122800589,0.00721232
1681748618356312990,0.00821426
1681748618589825869,0.00985822
1681748618823339701,0.00839044
1681748619056843758,0.0090434
1681748619290343761,0.00998218
1681748619523843527,0.00971047
1681748619757343292,0.0122437
1681748619990838528,0.0104249
1681748620224327326,0.0128518
1681748620457815170,0.0120122
1681748620691302299,0.0130964
1681748620924737215,0.0133843
1681748621158980370,0.0141605
1681748621393255949,0.014592
1681748621627563715,0.0134383
1681748621861904144,0.0165498
1681748622095662117,0.0150469
1681748622329081535,0.0154067
1681748622562496185,0.0170397
1681748622795906067,0.018187
1681748623029320478,0.0179391
1681748623262745142,0.0191382
1681748623496164799,0.0218359
1681748623729580164,0.0213228
1681748623962992668,0.0230386
1681748624196420193,0.0239004
1681748624429843187,0.0225665
1681748624663261890,0.0240033
1681748624896676064,0.0246882
1681748625130104303,0.0255282
1681748625363533020,0.0294669
1681748625596957445,0.0262716
1681748625830378056,0.0297262
1681748626063805342,0.0314523
