timestamp(ns),elapsed(s)
1681748609249603033,9.8868e-05
1681748609483114004,0.000243418
1681748609716625452,9.9816e-05
1681748609950138569,0.000108649
1681748610183657169,0.000131229
1681748610417176962,0.000148149
1681748610650697708,0.000190474
1681748610884219885,0.000124304
1681748611117723942,0.000206304
1681748611351227760,0.000158565
1681748611584731579,0.000213136
1681748611818235636,0.000128251
1681748612051738262,0.000160862
1681748612285240412,0.000171034
1681748612518742561,0.000121463
1681748612752244473,0.000150481
1681748612985746861,0.000211803
1681748613219249964,0.000170878
1681748613452752829,0.000164176
1681748613686255693,0.000188023
1681748613919758797,0.000195953
1681748614153264999,0.000204609
1681748614386771441,0.000129285
1681748614620278358,0.000165932
1681748614853785515,0.000182589
1681748615087287664,0.000213239
1681748615320788860,0.000213604
1681748615554290056,0.000143756
1681748615787791491,0.00014091
1681748616021289825,0.000197221
1681748616254785538,0.000122982
1681748616488281250,0.000143915
1681748616721776485,0.000152759
1681748616955273628,0.000208238
1681748617188777685,0.000146744
1681748617422281265,0.00015756
1681748617655785084,0.000166604
1681748617889288902,0.000165365
1681748618122800589,0.000182041
1681748618356312990,0.000179107
1681748618589825869,0.000225983
1681748618823339701,0.00017551
1681748619056843758,0.000270261
1681748619290343761,0.000890448
1681748619523843527,0.000194292
1681748619757343292,0.000316788
1681748619990838528,0.00035132
1681748620224327326,0.000313296
1681748620457815170,0.00033412
1681748620691302299,0.000417552
1681748620924737215,0.000609867
1681748621158980370,0.000500391
1681748621393255949,0.000364953
1681748621627563715,0.000424552
1681748621861904144,0.000417192
1681748622095662117,0.000525321
1681748622329081535,0.000442826
1681748622562496185,0.000560481
1681748622795906067,0.000456754
1681748623029320478,0.00153981
1681748623262745142,0.000538847
1681748623496164799,0.000518856
1681748623729580164,0.000624919
1681748623962992668,0.000838213
1681748624196420193,0.000638762
1681748624429843187,0.000569376
1681748624663261890,0.000600222
1681748624896676064,0.000794346
1681748625130104303,0.000804915
1681748625363533020,0.000629421
1681748625596957445,0.000756599
1681748625830378056,0.000744163
1681748626063805342,0.000909859
