timestamp(ns),elapsed(s)
1681748609249603033,0.00291375
1681748609483114004,0.00121345
1681748609716625452,0.0011231
1681748609950138569,0.00111754
1681748610183657169,0.00102744
1681748610417176962,0.00108729
1681748610650697708,0.0010821
1681748610884219885,0.00110025
1681748611117723942,0.00115932
1681748611351227760,0.0011025
1681748611584731579,0.0011571
1681748611818235636,0.0012375
1681748612051738262,0.0011274
1681748612285240412,0.00111965
1681748612518742561,0.00113845
1681748612752244473,0.00112426
1681748612985746861,0.00110384
1681748613219249964,0.0011312
1681748613452752829,0.00114267
1681748613686255693,0.00114835
1681748613919758797,0.00114566
1681748614153264999,0.00115969
1681748614386771441,0.00117976
1681748614620278358,0.00114316
1681748614853785515,0.00111986
1681748615087287664,0.00121984
1681748615320788860,0.00121158
1681748615554290056,0.00111828
1681748615787791491,0.00121118
1681748616021289825,0.00114026
1681748616254785538,0.00121564
1681748616488281250,0.00114869
1681748616721776485,0.00116691
1681748616955273628,0.00111678
1681748617188777685,0.0012354
1681748617422281265,0.00131153
1681748617655785084,0.00141665
1681748617889288902,0.00138839
1681748618122800589,0.00190862
1681748618356312990,0.00159
1681748618589825869,0.00161629
1681748618823339701,0.00166465
1681748619056843758,0.00155459
1681748619290343761,0.00168167
1681748619523843527,0.00201515
1681748619757343292,0.00217373
1681748619990838528,0.00199672
1681748620224327326,0.00189877
1681748620457815170,0.00193787
1681748620691302299,0.00195556
1681748620924737215,0.00231246
1681748621158980370,0.00209783
1681748621393255949,0.00240184
1681748621627563715,0.0022034
1681748621861904144,0.00249507
1681748622095662117,0.00251121
1681748622329081535,0.00265788
1681748622562496185,0.00259924
1681748622795906067,0.00301765
1681748623029320478,0.00300277
1681748623262745142,0.00330323
1681748623496164799,0.00331679
1681748623729580164,0.00328674
1681748623962992668,0.00340009
1681748624196420193,0.0036963
1681748624429843187,0.00382099
1681748624663261890,0.00371399
1681748624896676064,0.00418255
1681748625130104303,0.00382308
1681748625363533020,0.004108
1681748625596957445,0.00400621
1681748625830378056,0.00404044
1681748626063805342,0.00485999
1681748626297238827,0.00478031
1681748626530668020,0.0047274
1681748626764093161,0.00511082
1681748626997517586,0.00500694
1681748627230947971,0.00507931
1681748627464374304,0.00516397
1681748627697796345,0.00537045
1681748627931212664,0.00559116
1681748628164646864,0.00609887
1681748628398077250,0.00584983
1681748628631502867,0.00589044
1681748628864924908,0.005734
1681748629098357439,0.0052341
1681748629331794500,0.00574009
1681748629565227270,0.00525896
1681748629798656464,0.00697493
1681748630032084942,0.00573044
1681748630265513897,0.00585891
1681748630498938799,0.00566564
1681748630732359171,0.00501255
1681748630965777159,0.00644186
1681748631199209929,0.00502327
1681748631432638645,0.00629872
1681748631666063070,0.00550081
1681748631899483442,0.00563556
1681748632132906437,0.00519017
1681748632366326571,0.00542448
1681748632599741936,0.00522368
1681748632833152294,0.00539211
1681748633066572189,0.00568925
1681748633300000906,0.00573993
1681748633533425331,0.00588294
1681748633766845226,0.00556006
1681748634000267744,0.00548399
1681748634233710766,0.00643584
1681748634467150211,0.00688195
1681748634700585604,0.00665964
1681748634934016943,0.00643192
1681748635167460680,0.00611096
1681748635400901079,0.00522353
1681748635634337425,0.00522796
1681748635867769718,0.00558495
1681748636101193190,0.0057074
1681748636334608078,0.00558349
1681748636568017721,0.00598079
1681748636801422596,0.00551131
1681748637034974337,0.00633176
1681748637268821955,0.00492171
1681748637502702236,0.00467346
1681748637736614704,0.00511015
1681748637970525980,0.00482028
1681748638204026699,0.00464171
1681748638437527180,0.00497833
1681748638671027422,0.0045051
1681748638904527426,0.00372806
1681748639138030529,0.0038272
1681748639371534824,0.00380509
1681748639605039120,0.00430217
1681748639838543415,0.00421335
1681748640072048903,0.00424891
1681748640305555105,0.00445208
1681748640539062023,0.00445074
1681748640772568941,0.00512251
1681748641006057501,0.00420167
1681748641242299318,0.00506782
1681748641478661299,0.00484647
1681748641715143681,0.00482918
1681748641951746464,0.00522923
1681748642185541630,0.00522221
1681748642418845654,0.00542921
1681748642652137280,0.00568503
1681748642885416031,0.00492532
1681748643118675232,0.0049146
1681748643351911306,0.00457792
1681748643585131884,0.00570613
1681748643818336725,0.00525335
1681748644051541090,0.00523009
1681748644284761667,0.00860682
1681748644517965555,0.00629215
1681748644751152992,0.00556774
1681748644984325647,0.00562914
1681748645217558146,0.0056758
1681748645450774431,0.00489987
1681748645683974743,0.00591592
1681748645917158842,0.00523375
1681748646150377989,0.00527149
1681748646383599043,0.00565879
1681748646616804123,0.00525556
1681748646849992752,0.00529068
1681748647083358526,0.00530013
1681748647317107677,0.00512678
1681748647550863028,0.00503925
1681748647784625053,0.0044447
1681748648018393517,0.00502571
1681748648251703739,0.00523243
1681748648484876156,0.0049567
1681748648718029737,0.00503175
1681748648951164007,0.00543881
1681748649184324265,0.00519497
1681748649417505264,0.00610421
1681748649650667667,0.00423696
1681748649883810997,0.00429791
1681748650116954803,0.00461833
1681748650350139856,0.00461953
1681748650583306313,0.00554977
1681748650816454172,0.00480331
1681748651049579144,0.00494114
1681748651282777309,0.0047359
1681748651515957355,0.00494564
1681748651749119282,0.00492314
1681748651982263088,0.00567244
1681748652215440035,0.00549342
1681748652448624372,0.00877489
1681748652681790113,0.00566797
1681748652914937019,0.00594551
1681748653148091555,0.00598977
1681748653381270170,0.00589327
1681748653614429951,0.00579591
1681748653847570181,0.00579933
1681748654080698490,0.00634963
1681748654313885212,0.00584579
1681748654547052622,0.00592877
1681748654780201197,0.0060045
1681748655013330460,0.0060545
1681748655246503353,0.00624844
1681748655479669094,0.00643807
1681748655712815523,0.00603612
1681748655945942402,0.00622555
1681748656179097891,0.00691267
1681748656412279606,0.00436681
1681748656645442247,0.00452316
1681748656878585577,0.00518065
1681748657112069130,0.00549935
1681748657346814632,0.0059649
1681748657581677437,0.00563541
1681748657816657305,0.00554563
1681748658051843643,0.00576338
1681748658285289288,0.0058775
1681748658518731117,0.00588377
1681748658752169371,0.00599282
1681748658985604286,0.0060093
1681748659219059706,0.00567917
1681748659452525854,0.00638179
1681748659685989618,0.00609277
1681748659919451237,0.00850697
1681748660152910233,0.00610145
1681748660386365175,0.00638416
1681748660619817257,0.00623353
1681748660853265762,0.00630874
1681748661086711884,0.00643967
1681748661320157290,0.00608493
1681748661553598881,0.00616512
1681748661787036896,0.0068344
1681748662020471334,0.00661798
1681748662253910780,0.00665912
1681748662487348318,0.00652028
1681748662720782518,0.00692675
1681748662954212666,0.00630783
1681748663188529968,0.005225
1681748663425057173,0.00561421
1681748663661727428,0.00589103
1681748663898540974,0.00529729
1681748664135390043,0.00584764
1681748664368629932,0.00580572
