timestamp(ns),elapsed(s)
1681748609249603033,8.1466e-05
1681748609483114004,4.545e-05
1681748609716625452,6.7147e-05
1681748609950138569,7.3929e-05
1681748610183657169,7.703e-05
1681748610417176962,8.607e-05
1681748610650697708,0.000107211
1681748610884219885,9.1308e-05
1681748611117723942,0.00010377
1681748611351227760,8.541e-05
1681748611584731579,0.000105084
1681748611818235636,0.000102229
1681748612051738262,9.7331e-05
1681748612285240412,9.4473e-05
1681748612518742561,8.1472e-05
1681748612752244473,9.7372e-05
1681748612985746861,0.000101501
1681748613219249964,8.8087e-05
1681748613452752829,8.6761e-05
1681748613686255693,0.000119484
1681748613919758797,9.5128e-05
1681748614153264999,0.00011098
1681748614386771441,0.000122711
1681748614620278358,9.3689e-05
1681748614853785515,9.4025e-05
1681748615087287664,0.000104006
1681748615320788860,0.000107922
1681748615554290056,9.2374e-05
1681748615787791491,0.00010303
1681748616021289825,0.000123393
1681748616254785538,0.000108955
1681748616488281250,0.000144465
1681748616721776485,8.8533e-05
1681748616955273628,9.527e-05
1681748617188777685,0.000101571
1681748617422281265,0.000108051
1681748617655785084,0.000130402
1681748617889288902,0.000135272
1681748618122800589,0.000160326
1681748618356312990,0.000127281
1681748618589825869,0.000115595
1681748618823339701,0.000118811
1681748619056843758,0.000129803
1681748619290343761,0.0001345
1681748619523843527,0.000142914
1681748619757343292,0.000141229
1681748619990838528,0.000168668
1681748620224327326,0.000210192
1681748620457815170,0.000200518
1681748620691302299,0.000214482
1681748620924737215,0.000219188
1681748621158980370,0.000285753
1681748621393255949,0.000507792
1681748621627563715,0.000237854
1681748621861904144,0.000248139
1681748622095662117,0.000444722
1681748622329081535,0.00027941
1681748622562496185,0.000254173
1681748622795906067,0.000289734
1681748623029320478,0.000302673
1681748623262745142,0.00033407
1681748623496164799,0.000309787
1681748623729580164,0.000316411
1681748623962992668,0.000336312
1681748624196420193,0.000288592
1681748624429843187,0.000331253
1681748624663261890,0.00035545
1681748624896676064,0.000406843
1681748625130104303,0.000384611
1681748625363533020,0.000394632
1681748625596957445,0.000398735
1681748625830378056,0.000419413
1681748626063805342,0.000571407
1681748626297238827,0.000496421
1681748626530668020,0.000548613
1681748626764093161,0.000832876
1681748626997517586,0.000594817
1681748627230947971,0.000618414
1681748627464374304,0.00065448
1681748627697796345,0.000580685
1681748627931212664,0.000666428
1681748628164646864,0.000719357
1681748628398077250,0.000764561
1681748628631502867,0.000763167
1681748628864924908,0.000737543
1681748629098357439,0.000709563
1681748629331794500,0.000770742
1681748629565227270,0.000688109
1681748629798656464,0.00106856
1681748630032084942,0.000812569
1681748630265513897,0.000794134
1681748630498938799,0.000840966
1681748630732359171,0.00072264
1681748630965777159,0.00106285
1681748631199209929,0.000711172
1681748631432638645,0.000818908
1681748631666063070,0.00076123
1681748631899483442,0.000777506
1681748632132906437,0.000658828
1681748632366326571,0.000664539
1681748632599741936,0.000674867
1681748632833152294,0.000683216
1681748633066572189,0.000690431
1681748633300000906,0.000678467
1681748633533425331,0.000673024
1681748633766845226,0.00068632
1681748634000267744,0.000733831
1681748634233710766,0.000813893
1681748634467150211,0.00101703
1681748634700585604,0.000764021
1681748634934016943,0.000762022
1681748635167460680,0.000730474
1681748635400901079,0.000657303
1681748635634337425,0.000593331
1681748635867769718,0.000640292
1681748636101193190,0.000678149
1681748636334608078,0.000632988
1681748636568017721,0.000625444
1681748636801422596,0.000752992
1681748637034974337,0.000673175
1681748637268821955,0.000778007
1681748637502702236,0.000724478
1681748637736614704,0.00083077
1681748637970525980,0.000649159
1681748638204026699,0.000670942
1681748638437527180,0.000822442
1681748638671027422,0.00063562
1681748638904527426,0.000466493
1681748639138030529,0.0004783
1681748639371534824,0.000382662
1681748639605039120,0.000471616
1681748639838543415,0.000444032
1681748640072048903,0.000663896
1681748640305555105,0.0005802
1681748640539062023,0.000492793
1681748640772568941,0.000491084
1681748641006057501,0.000453085
1681748641242299318,0.000413732
1681748641478661299,0.00050718
1681748641715143681,0.00051828
1681748641951746464,0.000601857
1681748642185541630,0.000583842
1681748642418845654,0.000512585
1681748642652137280,0.000600167
1681748642885416031,0.000678909
1681748643118675232,0.000512603
1681748643351911306,0.000488258
1681748643585131884,0.000559447
1681748643818336725,0.000511489
1681748644051541090,0.000590495
1681748644284761667,0.000560008
1681748644517965555,0.000704396
1681748644751152992,0.00059265
1681748644984325647,0.000708407
1681748645217558146,0.000505319
1681748645450774431,0.000617668
1681748645683974743,0.00070975
1681748645917158842,0.000644889
1681748646150377989,0.000569623
1681748646383599043,0.000638698
1681748646616804123,0.000577203
1681748646849992752,0.000649796
1681748647083358526,0.000680538
1681748647317107677,0.000646155
1681748647550863028,0.000597354
1681748647784625053,0.000564986
1681748648018393517,0.000516522
1681748648251703739,0.000552081
1681748648484876156,0.000573137
1681748648718029737,0.000504217
1681748648951164007,0.000677418
1681748649184324265,0.00057708
1681748649417505264,0.000741486
1681748649650667667,0.000469673
1681748649883810997,0.000459575
1681748650116954803,0.000430005
1681748650350139856,0.000471411
1681748650583306313,0.000466306
1681748650816454172,0.000520755
1681748651049579144,0.00044773
1681748651282777309,0.000454883
1681748651515957355,0.00056598
1681748651749119282,0.000552092
1681748651982263088,0.000635706
1681748652215440035,0.000695579
1681748652448624372,0.000692083
1681748652681790113,0.000660413
1681748652914937019,0.00081173
1681748653148091555,0.000676387
1681748653381270170,0.000741096
1681748653614429951,0.000677056
1681748653847570181,0.0007218
1681748654080698490,0.0008522
1681748654313885212,0.00077027
1681748654547052622,0.000732465
1681748654780201197,0.000759755
1681748655013330460,0.0006701
1681748655246503353,0.000714772
1681748655479669094,0.000854066
1681748655712815523,0.00080292
1681748655945942402,0.00088669
1681748656179097891,0.000697861
1681748656412279606,0.000581486
1681748656645442247,0.000742372
1681748656878585577,0.000738398
1681748657112069130,0.000672706
1681748657346814632,0.000920016
1681748657581677437,0.000748609
1681748657816657305,0.000713309
1681748658051843643,0.000754071
1681748658285289288,0.000768937
1681748658518731117,0.000763837
1681748658752169371,0.000851033
1681748658985604286,0.000832452
1681748659219059706,0.000869865
