nodes_active,nodes_removed,nodes_merged,nodes_w_parents,nodes_w_children,edges
3,0,0,3,0,0
4,3,0,4,0,0
3,6,0,3,0,0
4,8,0,4,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,9,0,3,0,0
3,10,0,3,0,0
3,10,0,3,0,0
3,10,0,3,0,0
3,10,0,3,0,0
3,10,0,3,0,0
3,11,0,3,0,0
3,11,0,3,0,0
3,11,0,3,0,0
3,11,0,3,0,0
3,11,0,3,0,0
3,11,0,3,0,0
4,11,0,4,0,0
4,12,0,4,0,0
4,13,0,4,0,0
4,14,0,4,0,0
4,15,0,4,0,0
4,16,0,4,0,0
4,17,0,4,0,0
4,18,0,4,0,0
4,19,0,4,0,0
4,19,0,4,0,0
4,19,0,4,0,0
4,19,0,4,0,0
4,20,0,4,0,0
4,21,0,4,0,0
4,21,0,4,0,0
4,21,0,4,0,0
5,21,0,5,0,0
4,22,0,4,0,0
4,22,0,4,0,0
4,22,0,4,0,0
5,22,0,5,0,0
5,23,0,5,0,0
5,24,0,5,0,0
5,25,0,5,0,0
5,26,0,5,0,0
5,26,0,5,0,0
5,27,0,5,0,0
5,27,0,5,0,0
5,27,0,5,0,0
5,27,0,5,0,0
5,27,0,5,0,0
5,27,0,5,0,0
5,27,0,5,0,0
5,27,0,5,0,0
5,27,0,5,0,0
5,27,0,5,0,0
5,27,0,5,0,0
6,27,0,6,0,0
7,28,0,7,0,0
8,30,0,8,0,0
8,31,0,8,0,0
8,32,0,8,0,0
8,33,0,8,0,0
8,34,0,8,0,0
8,35,0,8,0,0
8,36,0,8,0,0
8,37,0,8,0,0
8,37,0,8,0,0
8,37,0,8,0,0
8,37,0,8,0,0
8,37,0,8,0,0
9,37,0,9,0,0
10,38,0,10,0,0
10,40,0,10,0,0
10,42,0,10,0,0
10,43,0,10,0,0
10,43,0,10,0,0
10,45,0,10,0,0
10,46,0,10,0,0
10,47,0,10,0,0
10,48,0,10,0,0
10,48,0,10,0,0
10,48,0,10,0,0
10,48,0,10,0,0
10,48,0,10,0,0
10,48,0,10,0,0
10,48,0,10,0,0
10,48,0,10,0,0
10,48,0,10,0,0
10,48,0,10,0,0
10,48,0,10,0,0
10,48,0,10,0,0
10,48,0,10,0,0
10,48,0,10,0,0
10,48,0,10,0,0
10,48,0,10,0,0
11,48,0,11,0,0
11,49,0,11,0,0
11,50,0,11,0,0
11,50,0,11,0,0
11,50,0,11,0,0
11,50,0,11,0,0
11,51,0,11,0,0
12,52,0,12,0,0
12,54,0,12,0,0
12,56,0,12,0,0
12,58,0,12,0,0
12,59,0,12,0,0
12,60,0,12,0,0
12,60,0,12,0,0
12,61,0,12,0,0
12,61,0,12,0,0
12,61,0,12,0,0
12,61,0,12,0,0
12,61,0,12,0,0
12,61,0,12,0,0
12,61,0,12,0,0
12,61,0,12,0,0
13,61,0,13,0,0
13,62,0,13,0,0
13,63,0,13,0,0
13,64,0,13,0,0
13,65,0,13,0,0
13,66,0,13,0,0
13,66,0,13,0,0
13,66,0,13,0,0
13,66,0,13,0,0
13,66,0,13,0,0
13,66,0,13,0,0
14,66,0,14,0,0
14,67,0,14,0,0
14,68,0,14,0,0
15,69,0,15,0,0
15,71,0,15,0,0
14,72,0,14,0,0
15,72,0,15,0,0
15,73,0,15,0,0
16,73,0,16,0,0
17,74,0,17,0,0
17,76,0,17,0,0
17,78,0,17,0,0
17,79,0,17,0,0
16,80,0,16,0,0
16,80,0,16,0,0
16,80,0,16,0,0
16,80,0,16,0,0
