timestamp(ns),elapsed(s)
1681748609249603033,1.31e-06
1681748609249603033,5.951e-06
1681748609483114004,2.246e-06
1681748609483114004,1.564e-06
1681748609716625452,1.681e-06
1681748609716625452,1.014e-06
1681748609950138569,1.8964e-05
1681748609950138569,5.643e-06
1681748610183657169,1.1072e-05
1681748610183657169,6.109e-06
1681748610417176962,1.0703e-05
1681748610417176962,6.95e-06
1681748610650697708,1.3168e-05
1681748610650697708,9.371e-06
1681748610884219885,1.3763e-05
1681748610884219885,6.452e-06
1681748611117723942,1.4405e-05
1681748611117723942,7.508e-06
1681748611351227760,1.6052e-05
1681748611351227760,7.71e-06
1681748611584731579,1.7414e-05
1681748611584731579,9.473e-06
1681748611818235636,1.6795e-05
1681748611818235636,8.504e-06
1681748612051738262,1.6352e-05
1681748612051738262,9.39e-06
1681748612285240412,1.8338e-05
1681748612285240412,1.0549e-05
1681748612518742561,1.8193e-05
1681748612518742561,1.603e-05
1681748612752244473,2.4908e-05
1681748612752244473,1.5594e-05
1681748612985746861,2.6758e-05
1681748612985746861,1.5632e-05
1681748613219249964,2.7175e-05
1681748613219249964,1.7789e-05
1681748613452752829,2.7926e-05
1681748613452752829,1.7364e-05
1681748613686255693,2.7663e-05
1681748613686255693,1.7679e-05
1681748613919758797,3.2509e-05
1681748613919758797,1.945e-05
1681748614153264999,3.481e-05
1681748614153264999,2.3738e-05
1681748614386771441,3.4576e-05
1681748614386771441,2.1584e-05
1681748614620278358,3.42e-05
1681748614620278358,2.3082e-05
1681748614853785515,3.6426e-05
1681748614853785515,2.467e-05
1681748615087287664,3.7024e-05
1681748615087287664,2.2738e-05
1681748615320788860,4.8935e-05
1681748615320788860,2.6682e-05
1681748615554290056,4.0102e-05
1681748615554290056,2.7957e-05
1681748615787791491,3.9116e-05
1681748615787791491,2.7122e-05
1681748616021289825,4.8259e-05
1681748616021289825,2.7547e-05
1681748616254785538,6.7026e-05
1681748616254785538,2.4049e-05
1681748616488281250,4.0374e-05
1681748616488281250,2.7753e-05
1681748616721776485,4.2451e-05
1681748616721776485,2.9032e-05
1681748616955273628,4.7555e-05
1681748616955273628,3.0968e-05
1681748617188777685,3.5989e-05
1681748617188777685,3.0693e-05
1681748617422281265,4.5625e-05
1681748617422281265,2.3724e-05
1681748617655785084,3.6702e-05
