timestamp(ns),elapsed(s)
1681748609249603033,0.00102703
1681748609483114004,0.0015365
1681748609716625452,0.000992041
1681748609950138569,0.00103659
1681748610183657169,0.000935676
1681748610417176962,0.00100171
1681748610650697708,0.00106879
1681748610884219885,0.00104424
1681748611117723942,0.0010414
1681748611351227760,0.00102574
1681748611584731579,0.00092086
1681748611818235636,0.00109239
1681748612051738262,0.00105115
1681748612285240412,0.00102218
1681748612518742561,0.00102575
1681748612752244473,0.00106979
1681748612985746861,0.00097822
1681748613219249964,0.00097873
1681748613452752829,0.000958253
1681748613686255693,0.0010377
1681748613919758797,0.00103387
1681748614153264999,0.00170079
1681748614386771441,0.00108703
1681748614620278358,0.00109073
1681748614853785515,0.00102246
1681748615087287664,0.00107368
1681748615320788860,0.0011457
1681748615554290056,0.00104376
1681748615787791491,0.00111734
1681748616021289825,0.0011042
1681748616254785538,0.00166339
1681748616488281250,0.00110277
1681748616721776485,0.00107059
1681748616955273628,0.00114025
1681748617188777685,0.00109675
1681748617422281265,0.00140783
1681748617655785084,0.00131459
1681748617889288902,0.00138804
1681748618122800589,0.00155098
1681748618356312990,0.00157285
1681748618589825869,0.00192119
1681748618823339701,0.00190653
1681748619056843758,0.00166699
1681748619290343761,0.00173242
1681748619523843527,0.00208195
1681748619757343292,0.00235867
1681748619990838528,0.0023939
1681748620224327326,0.00245008
1681748620457815170,0.00249983
1681748620691302299,0.00265678
1681748620924737215,0.00318771
1681748621158980370,0.00296564
1681748621393255949,0.0030344
1681748621627563715,0.00305019
1681748621861904144,0.00343504
1681748622095662117,0.00347441
1681748622329081535,0.00364124
1681748622562496185,0.00392156
1681748622795906067,0.00406165
1681748623029320478,0.00422433
1681748623262745142,0.00454196
1681748623496164799,0.00451405
1681748623729580164,0.00517724
1681748623962992668,0.0049571
1681748624196420193,0.00537747
1681748624429843187,0.00552018
1681748624663261890,0.00556645
1681748624896676064,0.00596247
1681748625130104303,0.00616287
1681748625363533020,0.00589414
1681748625596957445,0.00614856
1681748625830378056,0.00620331
1681748626063805342,0.00656143
1681748626297238827,0.0067341
1681748626530668020,0.00685904
1681748626764093161,0.00755593
1681748626997517586,0.00804711
1681748627230947971,0.00758068
1681748627464374304,0.0078488
1681748627697796345,0.00759479
1681748627931212664,0.00888424
1681748628164646864,0.00848218
1681748628398077250,0.00910965
1681748628631502867,0.0087337
1681748628864924908,0.0105008
1681748629098357439,0.00826258
1681748629331794500,0.010733
1681748629565227270,0.0122503
1681748629798656464,0.0113551
1681748630032084942,0.0107078
1681748630265513897,0.0099272
1681748630498938799,0.00971769
1681748630732359171,0.00991437
1681748630965777159,0.0111026
1681748631199209929,0.0104177
1681748631432638645,0.00921329
1681748631666063070,0.00936234
1681748631899483442,0.00954871
1681748632132906437,0.00998568
1681748632366326571,0.00916075
1681748632599741936,0.0107725
