timestamp(ns),elapsed(s)
1681748609249603033,2.238e-06
1681748609249603033,1.7885e-05
1681748609483114004,1.4802e-05
1681748609483114004,1.0634e-05
1681748609716625452,5.388e-06
1681748609716625452,7.186e-06
1681748609950138569,7.871e-06
1681748609950138569,1.2476e-05
1681748610183657169,5.353e-06
1681748610183657169,5.013e-06
1681748610417176962,6.746e-06
1681748610417176962,6.219e-06
1681748610650697708,6.682e-06
1681748610650697708,9.394e-06
1681748610884219885,7.568e-06
1681748610884219885,9.824e-06
1681748611117723942,7.693e-06
1681748611117723942,7.927e-06
1681748611351227760,7.902e-06
1681748611351227760,5.501e-06
1681748611584731579,6.906e-06
1681748611584731579,2.2613e-05
1681748611818235636,5.973e-06
1681748611818235636,7.782e-06
1681748612051738262,5.918e-06
1681748612051738262,8.734e-06
1681748612285240412,5.627e-06
1681748612285240412,6.134e-06
1681748612518742561,6.223e-06
1681748612518742561,5.419e-06
1681748612752244473,5.222e-06
1681748612752244473,5.069e-06
1681748612985746861,4.672e-06
1681748612985746861,5.369e-06
1681748613219249964,7.007e-06
1681748613219249964,5.246e-06
1681748613452752829,6.522e-06
1681748613452752829,4.927e-06
1681748613686255693,7.562e-06
1681748613686255693,6.288e-06
1681748613919758797,4.955e-06
1681748613919758797,6.018e-06
1681748614153264999,4.806e-06
1681748614153264999,7.174e-06
1681748614386771441,5.088e-06
1681748614386771441,6.871e-06
1681748614620278358,5.248e-06
1681748614620278358,6.106e-06
1681748614853785515,5.136e-06
1681748614853785515,5.938e-06
1681748615087287664,4.773e-06
1681748615087287664,5.75e-06
1681748615320788860,5.884e-06
1681748615320788860,6.914e-06
1681748615554290056,5.564e-06
1681748615554290056,5.722e-06
1681748615787791491,2.195e-05
1681748615787791491,6.886e-06
1681748616021289825,4.971e-06
1681748616021289825,8.988e-06
1681748616254785538,5.376e-06
1681748616254785538,5.332e-06
1681748616488281250,4.605e-06
1681748616488281250,6.648e-06
1681748616721776485,4.943e-06
1681748616721776485,5.348e-06
1681748616955273628,5.972e-06
1681748616955273628,5.149e-06
1681748617188777685,4.532e-06
1681748617188777685,5.546e-06
1681748617422281265,5.608e-06
1681748617422281265,5.132e-06
1681748617655785084,6.419e-06
1681748617655785084,8.731e-06
1681748617889288902,5.817e-06
1681748617889288902,8.875e-06
1681748618122800589,6.733e-06
1681748618122800589,1.238e-05
1681748618356312990,8.923e-06
1681748618356312990,7.563e-06
1681748618589825869,7.02e-06
1681748618589825869,1.1966e-05
1681748618823339701,7.893e-06
1681748618823339701,9.021e-06
1681748619056843758,6.839e-06
1681748619056843758,2.5784e-05
1681748619290343761,1.0936e-05
1681748619290343761,8.603e-06
1681748619523843527,7.949e-06
1681748619523843527,1.0149e-05
1681748619757343292,7.641e-06
1681748619757343292,1.314e-05
1681748619990838528,6.881e-06
1681748619990838528,1.2205e-05
1681748620224327326,1.003e-05
1681748620224327326,1.2413e-05
1681748620457815170,6.65e-06
1681748620457815170,1.266e-05
1681748620691302299,9.319e-06
1681748620691302299,1.7226e-05
1681748620924737215,8.381e-06
1681748620924737215,1.3115e-05
1681748621158980370,7.743e-06
1681748621158980370,1.1981e-05
1681748621393255949,8.374e-06
1681748621393255949,2.0297e-05
1681748621627563715,9.102e-06
1681748621627563715,1.5737e-05
1681748621861904144,8.492e-06
1681748621861904144,1.234e-05
1681748622095662117,8.308e-06
1681748622095662117,1.5493e-05
1681748622329081535,1.5844e-05
1681748622329081535,1.627e-05
1681748622562496185,9.428e-06
1681748622562496185,1.1671e-05
1681748622795906067,8.376e-06
1681748622795906067,1.3155e-05
1681748623029320478,1.145e-05
1681748623029320478,1.7174e-05
1681748623262745142,1.0084e-05
1681748623262745142,1.4068e-05
1681748623496164799,1.0717e-05
1681748623496164799,1.4984e-05
1681748623729580164,8.67e-06
1681748623729580164,2.1045e-05
1681748623962992668,1.118e-05
1681748623962992668,1.8813e-05
1681748624196420193,9.346e-06
1681748624196420193,1.6594e-05
1681748624429843187,8.995e-06
1681748624429843187,1.5628e-05
1681748624663261890,8.935e-06
1681748624663261890,1.5516e-05
1681748624896676064,8.572e-06
1681748624896676064,2.0249e-05
1681748625130104303,9.273e-06
1681748625130104303,1.6737e-05
1681748625363533020,9.218e-06
1681748625363533020,1.8747e-05
1681748625596957445,1.1141e-05
1681748625596957445,1.934e-05
1681748625830378056,1.0858e-05
1681748625830378056,2.3711e-05
1681748626063805342,1.179e-05
1681748626063805342,2.4496e-05
1681748626297238827,1.455e-05
1681748626297238827,2.2899e-05
1681748626530668020,1.2496e-05
1681748626530668020,2.3074e-05
1681748626764093161,1.318e-05
1681748626764093161,3.0488e-05
1681748626997517586,1.2417e-05
1681748626997517586,2.1851e-05
1681748627230947971,4.2669e-05
1681748627230947971,2.1634e-05
1681748627464374304,1.0435e-05
1681748627464374304,2.0791e-05
1681748627697796345,1.3025e-05
1681748627697796345,1.8895e-05
1681748627931212664,1.1683e-05
1681748627931212664,2.0533e-05
1681748628164646864,1.1808e-05
1681748628164646864,2.2939e-05
1681748628398077250,1.0992e-05
1681748628398077250,2.1661e-05
1681748628631502867,1.3203e-05
1681748628631502867,2.2816e-05
1681748628864924908,1.3713e-05
1681748628864924908,2.1204e-05
1681748629098357439,1.4228e-05
1681748629098357439,1.9636e-05
1681748629331794500,9.619e-06
1681748629331794500,2.1986e-05
1681748629565227270,9.786e-06
1681748629565227270,1.476e-05
1681748629798656464,1.0374e-05
1681748629798656464,2.7934e-05
1681748630032084942,2.1991e-05
1681748630032084942,2.568e-05
1681748630265513897,1.4636e-05
1681748630265513897,3.0934e-05
1681748630498938799,1.7973e-05
1681748630498938799,2.5033e-05
1681748630732359171,1.7112e-05
1681748630732359171,2.6363e-05
1681748630965777159,1.4612e-05
1681748630965777159,3.1512e-05
1681748631199209929,1.2402e-05
1681748631199209929,2.3561e-05
1681748631432638645,1.5094e-05
1681748631432638645,2.6715e-05
1681748631666063070,1.6587e-05
1681748631666063070,2.4881e-05
1681748631899483442,1.7482e-05
1681748631899483442,3.119e-05
1681748632132906437,1.7502e-05
1681748632132906437,2.1234e-05
1681748632366326571,1.5047e-05
1681748632366326571,2.2095e-05
1681748632599741936,1.4794e-05
1681748632599741936,2.2833e-05
1681748632833152294,1.3838e-05
1681748632833152294,2.1251e-05
1681748633066572189,1.2152e-05
1681748633066572189,2.6827e-05
1681748633300000906,1.2986e-05
1681748633300000906,2.8152e-05
1681748633533425331,1.6024e-05
1681748633533425331,2.8201e-05
1681748633766845226,2.3007e-05
1681748633766845226,3.3076e-05
1681748634000267744,1.7775e-05
1681748634000267744,2.4293e-05
1681748634233710766,1.5475e-05
1681748634233710766,2.5537e-05
1681748634467150211,2.0515e-05
1681748634467150211,3.9933e-05
1681748634700585604,1.9036e-05
1681748634700585604,2.994e-05
1681748634934016943,1.4436e-05
1681748634934016943,2.6225e-05
1681748635167460680,1.6773e-05
1681748635167460680,2.6392e-05
1681748635400901079,2.3887e-05
1681748635400901079,2.5527e-05
1681748635634337425,1.645e-05
1681748635634337425,2.6045e-05
1681748635867769718,1.8424e-05
1681748635867769718,2.6708e-05
1681748636101193190,2.2745e-05
1681748636101193190,3.4269e-05
1681748636334608078,2.7175e-05
1681748636334608078,2.4667e-05
1681748636568017721,1.6718e-05
1681748636568017721,2.6678e-05
1681748636801422596,1.5109e-05
1681748636801422596,2.5405e-05
1681748637034974337,2.0463e-05
1681748637034974337,2.3401e-05
1681748637268821955,1.7991e-05
1681748637268821955,2.3633e-05
1681748637502702236,1.4105e-05
1681748637502702236,2.3945e-05
1681748637736614704,1.6276e-05
1681748637736614704,2.7735e-05
1681748637970525980,1.4203e-05
1681748637970525980,2.3181e-05
1681748638204026699,1.514e-05
1681748638204026699,2.2786e-05
1681748638437527180,1.3131e-05
1681748638437527180,4.3612e-05
1681748638671027422,2.2693e-05
1681748638671027422,2.319e-05
1681748638904527426,1.7608e-05
1681748638904527426,2.5899e-05
1681748639138030529,2.3191e-05
1681748639138030529,3.1462e-05
1681748639371534824,1.9275e-05
1681748639371534824,2.7339e-05
1681748639605039120,1.4978e-05
1681748639605039120,2.5524e-05
