nodes_active,nodes_removed,nodes_merged,nodes_w_parents,nodes_w_children,edges
21,0,0,0,0,23
20,21,0,0,0,23
20,41,0,0,0,20
21,61,0,0,0,22
20,82,0,0,0,22
21,102,0,0,0,23
21,123,0,0,0,22
20,144,0,0,0,21
20,164,0,0,0,20
21,184,0,0,0,22
21,205,0,0,0,22
22,226,0,0,0,24
21,248,0,0,0,22
21,269,0,0,0,23
20,290,0,0,0,21
20,310,0,0,0,20
21,330,0,0,0,22
21,351,0,0,0,22
21,372,0,0,0,22
21,393,0,0,0,22
21,414,0,0,0,22
21,435,0,0,0,22
21,456,0,0,0,22
21,477,0,0,0,22
21,498,0,0,0,23
21,519,0,0,0,22
21,540,0,0,0,22
21,561,0,0,0,22
21,582,0,0,0,22
21,603,0,0,0,22
21,624,0,0,0,22
21,645,0,0,0,22
21,666,0,0,0,23
21,687,0,0,0,23
21,708,0,0,0,19
21,729,0,0,0,20
20,750,0,0,0,18
25,770,0,0,0,28
24,795,0,0,0,26
29,819,0,0,0,37
30,848,0,0,0,38
33,878,0,0,0,43
34,911,0,0,0,41
38,945,0,0,0,48
38,983,0,0,0,48
39,1021,0,0,0,47
39,1060,0,0,0,46
39,1099,0,0,0,51
42,1138,0,0,0,55
42,1180,0,0,0,51
44,1222,0,0,0,55
45,1266,0,0,0,57
47,1311,0,0,0,65
48,1358,0,0,0,67
47,1406,0,0,0,63
52,1453,0,0,0,72
48,1505,0,0,0,71
50,1553,0,0,0,65
50,1603,0,0,0,61
59,1653,0,0,0,77
63,1712,0,0,0,82
67,1775,0,0,0,89
71,1842,0,0,0,91
72,1913,0,0,0,90
74,1985,0,0,0,94
77,2059,0,0,0,103
81,2136,0,0,0,120
81,2217,0,0,0,118
86,2298,0,0,0,119
84,2384,0,0,0,112
88,2468,0,0,0,123
89,2556,0,0,0,122
93,2645,0,0,0,125
95,2738,0,0,0,127
98,2833,0,0,0,135
102,2931,0,0,0,145
105,3033,0,0,0,146
105,3138,0,0,0,146
107,3242,0,0,0,154
106,3348,0,0,0,143
108,3453,0,0,0,155
107,3560,0,0,0,149
108,3666,0,0,0,149
109,3770,0,0,0,148
117,3872,0,0,0,169
116,3980,0,0,0,160
115,4087,0,0,0,163
114,4193,0,0,0,156
115,4298,0,0,0,152
117,4399,0,0,0,164
133,4496,0,0,0,192
136,4607,0,0,0,192
139,4718,0,0,0,196
142,4832,0,0,0,196
142,4949,0,0,0,195
141,5066,0,0,0,203
146,5179,0,0,0,208
151,5288,0,0,0,218
150,5400,0,0,0,207
153,5511,0,0,0,220
152,5625,0,0,0,206
152,5738,0,0,0,211
153,5847,0,0,0,216
159,5952,0,0,0,220
159,6063,0,0,0,225
161,6172,0,0,0,229
161,6283,0,0,0,227
160,6394,0,0,0,221
167,6500,0,0,0,233
167,6613,0,0,0,239
168,6720,0,0,0,242
170,6828,0,0,0,249
174,6933,0,0,0,256
175,7042,0,0,0,261
174,7152,0,0,0,249
175,7261,0,0,0,249
175,7371,0,0,0,253
177,7480,0,0,0,262
185,7581,0,0,0,266
191,7686,0,0,0,283
191,7797,0,0,0,285
191,7908,0,0,0,272
192,8019,0,0,0,271
192,8131,0,0,0,277
194,8237,0,0,0,280
196,8342,0,0,0,290
200,8445,0,0,0,294
202,8550,0,0,0,300
201,8657,0,0,0,291
202,8763,0,0,0,290
202,8870,0,0,0,283
202,8977,0,0,0,288
204,9084,0,0,0,298
208,9187,0,0,0,305
212,9291,0,0,0,311
219,9396,0,0,0,318
218,9507,0,0,0,315
221,9617,0,0,0,323
221,9730,0,0,0,328
221,9843,0,0,0,330
221,9956,0,0,0,335
222,10069,0,0,0,340
229,10179,0,0,0,350
234,10291,0,0,0,349
240,10406,0,0,0,366
237,10524,0,0,0,360
241,10639,0,0,0,358
247,10758,0,0,0,376
246,10883,0,0,0,374
245,11007,0,0,0,373
247,11130,0,0,0,375
251,11251,0,0,0,384
265,11369,0,0,0,408
260,11501,0,0,0,394
265,11626,0,0,0,418
269,11753,0,0,0,426
270,11884,0,0,0,418
270,12016,0,0,0,420
271,12148,0,0,0,421
274,12281,0,0,0,432
273,12417,0,0,0,432
273,12552,0,0,0,429
274,12677,0,0,0,420
276,12803,0,0,0,419
278,12931,0,0,0,432
281,13054,0,0,0,429
276,13180,0,0,0,421
278,13301,0,0,0,420
276,13424,0,0,0,419
279,13545,0,0,0,423
286,13669,0,0,0,443
294,13791,0,0,0,463
295,13921,0,0,0,458
299,14046,0,0,0,468
298,14175,0,0,0,461
299,14303,0,0,0,466
304,14432,0,0,0,476
306,14564,0,0,0,473
313,14693,0,0,0,486
315,14826,0,0,0,489
317,14957,0,0,0,490
317,15090,0,0,0,494
316,15223,0,0,0,490
319,15355,0,0,0,495
324,15486,0,0,0,504
327,15616,0,0,0,506
327,15749,0,0,0,508
333,15880,0,0,0,528
333,16017,0,0,0,519
335,16154,0,0,0,523
337,16293,0,0,0,521
334,16428,0,0,0,515
334,16560,0,0,0,512
338,16683,0,0,0,520
339,16803,0,0,0,515
338,16924,0,0,0,509
340,17044,0,0,0,515
339,17166,0,0,0,518
342,17281,0,0,0,525
347,17386,0,0,0,542
347,17496,0,0,0,532
354,17596,0,0,0,549
353,17703,0,0,0,548
354,17809,0,0,0,546
356,17915,0,0,0,552
359,18023,0,0,0,554
372,18125,0,0,0,573
372,18240,0,0,0,583
378,18350,0,0,0,587
379,18466,0,0,0,593
380,18583,0,0,0,591
382,18701,0,0,0,585
380,18821,0,0,0,587
380,18939,0,0,0,590
384,19050,0,0,0,594
385,19165,0,0,0,595
386,19275,0,0,0,596
385,19386,0,0,0,591
386,19496,0,0,0,592
388,19607,0,0,0,598
386,19720,0,0,0,589
385,19831,0,0,0,588
391,19934,0,0,0,600
397,20036,0,0,0,612
397,20144,0,0,0,615
398,20252,0,0,0,612
397,20361,0,0,0,610
400,20469,0,0,0,624
400,20580,0,0,0,625
405,20686,0,0,0,627
414,20794,0,0,0,639
420,20904,0,0,0,646
421,21016,0,0,0,652
416,21129,0,0,0,642
420,21237,0,0,0,650
423,21349,0,0,0,660
423,21464,0,0,0,660
428,21579,0,0,0,671
422,21699,0,0,0,657
425,21813,0,0,0,666
428,21926,0,0,0,666
433,22038,0,0,0,689
431,22153,0,0,0,689
437,22263,0,0,0,694
432,22377,0,0,0,689
432,22486,0,0,0,685
438,22595,0,0,0,693
440,22710,0,0,0,690
449,22827,0,0,0,705
456,22953,0,0,0,718
452,23086,0,0,0,714
456,23215,0,0,0,734
455,23348,0,0,0,725
451,23480,0,0,0,715
454,23605,0,0,0,723
458,23729,0,0,0,731
460,23856,0,0,0,731
461,23985,0,0,0,728
463,24115,0,0,0,728
477,24240,0,0,0,748
472,24379,0,0,0,742
479,24513,0,0,0,753
480,24654,0,0,0,757
483,24796,0,0,0,763
485,24941,0,0,0,762
485,25088,0,0,0,775
482,25235,0,0,0,762
482,25379,0,0,0,763
485,25523,0,0,0,773
485,25670,0,0,0,772
485,25817,0,0,0,757
488,25964,0,0,0,765
491,26108,0,0,0,769
492,26255,0,0,0,779
503,26395,0,0,0,801
506,26546,0,0,0,801
507,26700,0,0,0,800
511,26855,0,0,0,797
507,27014,0,0,0,794
511,27169,0,0,0,790
512,27328,0,0,0,795
511,27480,0,0,0,797
