timestamp(ns),elapsed(s)
1681748609249603033,0.0049074
1681748609483114004,0.00457081
1681748609716625452,0.00451397
1681748609950138569,0.00462843
1681748610183657169,0.00440417
1681748610417176962,0.00463019
1681748610650697708,0.00458575
1681748610884219885,0.00467827
1681748611117723942,0.00517205
1681748611351227760,0.00486067
1681748611584731579,0.00483039
1681748611818235636,0.00487495
1681748612051738262,0.00475109
1681748612285240412,0.00472936
1681748612518742561,0.00463718
1681748612752244473,0.00462938
1681748612985746861,0.00467478
1681748613219249964,0.00471816
1681748613452752829,0.00465404
1681748613686255693,0.00470381
1681748613919758797,0.00476698
1681748614153264999,0.00491458
1681748614386771441,0.00488531
1681748614620278358,0.00488544
1681748614853785515,0.00467985
1681748615087287664,0.00509639
1681748615320788860,0.00543558
1681748615554290056,0.00503826
1681748615787791491,0.00502289
1681748616021289825,0.00500725
1681748616254785538,0.00472909
1681748616488281250,0.00493135
1681748616721776485,0.00505031
1681748616955273628,0.00506284
1681748617188777685,0.00534514
1681748617422281265,0.00595472
1681748617655785084,0.00615942
1681748617889288902,0.00644995
1681748618122800589,0.00712704
1681748618356312990,0.00761469
1681748618589825869,0.00798762
1681748618823339701,0.00796186
1681748619056843758,0.00830512
1681748619290343761,0.00861026
1681748619523843527,0.00927363
1681748619757343292,0.0107777
1681748619990838528,0.0106803
1681748620224327326,0.0113276
1681748620457815170,0.0122248
1681748620691302299,0.0124283
1681748620924737215,0.0127968
1681748621158980370,0.0131031
1681748621393255949,0.0151274
1681748621627563715,0.0139022
1681748621861904144,0.0164306
1681748622095662117,0.0164381
1681748622329081535,0.0171354
1681748622562496185,0.0178403
1681748622795906067,0.0185464
1681748623029320478,0.0194735
1681748623262745142,0.020637
1681748623496164799,0.0218093
1681748623729580164,0.0226106
1681748623962992668,0.0242174
1681748624196420193,0.0241217
1681748624429843187,0.0245211
1681748624663261890,0.0279846
1681748624896676064,0.0278819
1681748625130104303,0.0281822
1681748625363533020,0.0303079
1681748625596957445,0.0297646
1681748625830378056,0.0306321
1681748626063805342,0.0328354
1681748626297238827,0.0319673
1681748626530668020,0.0347673
1681748626764093161,0.0340527
1681748626997517586,0.0396098
1681748627230947971,0.0356638
1681748627464374304,0.0377345
1681748627697796345,0.0369458
1681748627931212664,0.0402967
1681748628164646864,0.0414171
1681748628398077250,0.042349
