nodes_active,nodes_removed,nodes_merged,nodes_w_parents,nodes_w_children,edges
9,1,0,0,3,14
11,2,0,0,4,22
11,5,0,0,3,22
11,9,0,0,5,20
11,11,0,0,4,20
12,10,0,0,4,23
12,10,0,0,4,23
12,11,0,0,4,22
12,11,0,0,4,23
12,11,0,0,4,23
11,12,0,0,4,22
11,12,0,0,4,22
11,12,0,0,4,22
11,12,0,0,4,22
10,14,0,0,4,19
10,14,0,0,4,19
10,14,0,0,4,19
10,14,0,0,4,19
10,14,0,0,4,19
10,14,0,0,4,19
10,14,0,0,4,19
10,14,0,0,4,19
10,14,0,0,4,19
10,14,0,0,4,19
10,14,0,0,4,19
10,14,0,0,4,19
10,14,0,0,4,19
10,14,0,0,4,19
10,14,0,0,4,19
10,14,0,0,4,19
10,15,0,0,4,19
10,15,0,0,4,19
10,16,0,0,4,19
11,16,0,0,4,20
10,17,0,0,4,19
11,18,0,0,4,20
14,18,0,0,4,29
13,21,0,0,4,28
14,24,0,0,4,28
15,25,0,0,4,30
18,25,0,0,4,39
17,29,0,0,4,40
17,34,0,0,4,39
17,37,0,0,4,38
17,39,0,0,5,35
17,40,0,0,5,37
19,40,0,0,5,43
21,40,0,0,5,49
21,41,0,0,5,50
22,43,0,0,5,52
20,47,0,0,5,47
21,46,0,0,6,55
21,47,0,0,6,56
22,48,0,0,6,57
25,51,0,0,6,65
23,57,0,0,6,56
24,59,0,0,6,63
25,59,0,0,7,71
26,60,0,0,7,77
26,63,0,0,8,71
25,68,0,0,8,71
25,72,0,0,8,71
31,74,0,0,9,84
32,80,0,0,10,93
29,85,0,0,10,80
30,87,0,0,10,84
29,91,0,0,10,77
29,94,0,0,11,82
27,97,0,0,10,72
34,97,0,0,11,108
34,100,0,0,11,111
38,102,0,0,12,117
37,106,0,0,12,119
37,110,0,0,12,114
36,112,0,0,13,112
36,116,0,0,13,113
40,118,0,0,13,123
41,120,0,0,13,124
39,122,0,0,13,122
40,124,0,0,13,121
39,127,0,0,14,119
40,128,0,0,14,123
42,130,0,0,15,125
42,133,0,0,15,125
44,136,0,0,15,129
45,139,0,0,15,130
41,144,0,0,15,123
42,147,0,0,15,125
43,150,0,0,16,126
44,154,0,0,17,131
43,158,0,0,20,132
48,159,0,0,20,137
49,166,0,0,18,138
51,169,0,0,19,145
49,177,0,0,19,145
49,177,0,0,19,147
50,182,0,0,19,148
53,183,0,0,19,150
50,188,0,0,19,150
52,191,0,0,18,155
56,194,0,0,19,166
53,202,0,0,18,161
55,202,0,0,20,172
54,204,0,0,22,164
54,206,0,0,22,171
55,208,0,0,23,173
56,209,0,0,23,174
58,209,0,0,23,186
62,215,0,0,23,184
59,222,0,0,23,190
59,224,0,0,24,187
59,225,0,0,24,189
61,225,0,0,24,195
65,224,0,0,24,216
63,228,0,0,24,205
61,231,0,0,24,199
63,231,0,0,25,207
62,236,0,0,25,206
65,239,0,0,25,210
65,247,0,0,26,209
67,252,0,0,25,214
68,259,0,0,25,212
71,266,0,0,25,227
69,272,0,0,25,224
67,280,0,0,25,217
65,286,0,0,26,208
74,285,0,0,25,246
74,297,0,0,26,228
75,306,0,0,26,238
73,315,0,0,26,236
74,322,0,0,26,236
77,327,0,0,26,245
73,337,0,0,26,235
78,339,0,0,27,250
79,349,0,0,29,241
78,360,0,0,29,232
78,372,0,0,29,244
80,381,0,0,29,251
79,391,0,0,29,249
76,400,0,0,29,241
79,403,0,0,29,247
80,408,0,0,29,245
78,416,0,0,29,236
83,416,0,0,30,255
83,427,0,0,30,255
85,436,0,0,31,266
84,448,0,0,33,257
88,457,0,0,32,277
90,466,0,0,33,277
92,474,0,0,35,293
90,487,0,0,35,272
92,495,0,0,35,288
90,502,0,0,35,296
92,505,0,0,35,301
90,513,0,0,35,305
91,517,0,0,36,312
93,523,0,0,36,303
97,529,0,0,36,319
97,533,0,0,36,313
96,542,0,0,36,311
95,550,0,0,37,328
96,559,0,0,38,313
101,565,0,0,38,339
101,579,0,0,39,329
105,588,0,0,40,353
103,599,0,0,38,336
101,611,0,0,39,340
101,617,0,0,39,343
99,624,0,0,40,338
103,626,0,0,41,354
103,633,0,0,42,342
103,638,0,0,41,351
105,646,0,0,43,344
102,657,0,0,43,341
105,661,0,0,43,347
105,669,0,0,43,346
105,672,0,0,44,346
111,673,0,0,44,357
108,682,0,0,45,353
108,687,0,0,44,350
112,693,0,0,45,365
114,699,0,0,46,363
111,706,0,0,46,357
115,710,0,0,47,371
115,715,0,0,48,371
114,723,0,0,49,370
115,730,0,0,49,374
115,737,0,0,49,373
116,744,0,0,49,375
117,748,0,0,49,378
117,753,0,0,49,378
120,759,0,0,50,386
121,764,0,0,50,389
119,773,0,0,50,382
119,777,0,0,50,384
124,782,0,0,50,400
125,790,0,0,50,402
126,792,0,0,50,414
123,798,0,0,52,394
125,799,0,0,52,406
125,802,0,0,53,410
128,806,0,0,53,409
127,813,0,0,53,417
130,816,0,0,54,422
129,819,0,0,55,417
128,823,0,0,56,410
129,822,0,0,56,417
129,823,0,0,56,421
127,826,0,0,55,409
133,825,0,0,56,434
132,829,0,0,56,438
132,829,0,0,56,435
131,832,0,0,55,427
133,832,0,0,56,437
134,834,0,0,56,450
133,837,0,0,56,436
134,839,0,0,55,446
137,839,0,0,56,454
140,843,0,0,56,467
141,845,0,0,56,476
139,847,0,0,57,473
139,849,0,0,57,473
142,850,0,0,57,481
137,857,0,0,57,459
142,859,0,0,58,479
144,863,0,0,58,487
143,871,0,0,58,471
144,874,0,0,59,480
143,878,0,0,59,476
144,878,0,0,60,483
143,881,0,0,60,477
142,884,0,0,58,474
142,885,0,0,58,476
143,886,0,0,58,486
143,891,0,0,58,476
144,904,0,0,58,481
148,909,0,0,59,478
149,919,0,0,60,480
151,927,0,0,60,484
151,933,0,0,60,496
149,945,0,0,60,485
151,948,0,0,60,497
151,956,0,0,61,497
151,961,0,0,61,498
154,967,0,0,60,502
154,973,0,0,60,502
150,982,0,0,60,490
153,982,0,0,60,506
154,985,0,0,61,509
157,989,0,0,62,513
159,997,0,0,62,519
156,1002,0,0,62,511
160,1009,0,0,63,521
161,1016,0,0,63,543
160,1023,0,0,62,534
160,1031,0,0,63,540
161,1037,0,0,64,537
163,1045,0,0,63,546
161,1052,0,0,64,542
162,1059,0,0,65,546
161,1063,0,0,65,543
165,1073,0,0,65,551
165,1082,0,0,65,558
165,1088,0,0,65,556
168,1097,0,0,65,565
168,1107,0,0,65,571
167,1114,0,0,66,566
169,1120,0,0,67,569
169,1124,0,0,67,581
170,1129,0,0,67,578
169,1135,0,0,68,583
171,1135,0,0,69,600
167,1143,0,0,69,566
169,1147,0,0,69,571
169,1151,0,0,69,580
171,1153,0,0,69,588
173,1154,0,0,69,594
173,1154,0,0,70,596
175,1156,0,0,70,599
174,1162,0,0,70,600
175,1166,0,0,70,603
175,1169,0,0,70,604
176,1172,0,0,70,605
175,1174,0,0,70,604
178,1176,0,0,69,607
178,1181,0,0,69,611
179,1188,0,0,70,614
180,1195,0,0,70,611
177,1201,0,0,70,608
182,1200,0,0,70,621
180,1205,0,0,70,619
180,1208,0,0,71,623
179,1214,0,0,72,617
181,1219,0,0,73,619
184,1223,0,0,73,635
183,1232,0,0,73,632
184,1237,0,0,75,634
180,1251,0,0,75,626
186,1257,0,0,75,633
180,1271,0,0,76,625
182,1278,0,0,78,628
184,1284,0,0,76,635
193,1287,0,0,77,650
189,1297,0,0,78,653
186,1307,0,0,77,640
190,1312,0,0,77,649
189,1321,0,0,77,651
192,1326,0,0,77,659
191,1336,0,0,77,660
191,1343,0,0,77,660
192,1350,0,0,77,661
193,1357,0,0,77,664
200,1365,0,0,79,682
200,1385,0,0,79,686
197,1398,0,0,79,682
198,1409,0,0,79,674
197,1417,0,0,79,673
196,1424,0,0,80,678
196,1430,0,0,80,675
195,1436,0,0,81,677
197,1440,0,0,81,682
200,1443,0,0,81,693
202,1447,0,0,82,699
206,1454,0,0,82,713
205,1460,0,0,82,711
205,1469,0,0,82,712
206,1475,0,0,83,720
207,1480,0,0,81,726
204,1486,0,0,82,714
205,1488,0,0,82,718
205,1490,0,0,83,721
212,1494,0,0,83,746
209,1503,0,0,83,727
211,1505,0,0,85,744
207,1512,0,0,86,722
213,1517,0,0,86,742
212,1521,0,0,86,745
212,1527,0,0,85,752
219,1533,0,0,87,778
215,1540,0,0,86,770
218,1545,0,0,87,767
215,1554,0,0,87,772
218,1554,0,0,88,788
216,1556,0,0,88,778
219,1558,0,0,89,794
222,1561,0,0,89,795
227,1567,0,0,88,803
223,1576,0,0,89,801
222,1583,0,0,89,789
225,1587,0,0,89,798
226,1594,0,0,89,796
233,1599,0,0,89,825
232,1615,0,0,89,821
233,1623,0,0,89,816
234,1628,0,0,89,833
237,1636,0,0,89,835
235,1642,0,0,90,832
238,1649,0,0,92,845
241,1657,0,0,92,850
241,1674,0,0,92,852
239,1684,0,0,92,843
244,1693,0,0,92,861
246,1703,0,0,94,861
245,1714,0,0,94,865
247,1719,0,0,95,869
247,1729,0,0,96,867
249,1736,0,0,96,873
253,1739,0,0,96,886
252,1751,0,0,96,877
250,1757,0,0,95,871
250,1761,0,0,96,873
252,1766,0,0,96,883
252,1770,0,0,96,881
254,1773,0,0,96,883
256,1780,0,0,96,880
255,1786,0,0,96,887
253,1792,0,0,96,885
253,1797,0,0,96,886
251,1800,0,0,96,873
253,1800,0,0,97,878
252,1805,0,0,97,882
257,1806,0,0,97,896
259,1813,0,0,98,900
259,1820,0,0,97,901
261,1826,0,0,98,906
260,1835,0,0,97,911
260,1841,0,0,98,915
262,1843,0,0,98,928
260,1848,0,0,98,926
262,1847,0,0,98,929
263,1849,0,0,98,935
261,1854,0,0,98,918
263,1858,0,0,98,929
262,1860,0,0,98,918
264,1860,0,0,99,929
263,1863,0,0,99,921
264,1866,0,0,100,929
264,1866,0,0,100,931
264,1868,0,0,100,924
266,1869,0,0,100,934
268,1870,0,0,100,947
268,1874,0,0,100,950
269,1877,0,0,100,949
268,1880,0,0,100,948
267,1884,0,0,101,940
268,1885,0,0,101,940
267,1888,0,0,101,940
269,1890,0,0,101,942
267,1894,0,0,102,932
269,1896,0,0,102,937
267,1902,0,0,102,934
267,1906,0,0,102,942
270,1908,0,0,103,946
270,1914,0,0,103,944
271,1919,0,0,103,946
270,1925,0,0,103,946
271,1929,0,0,103,945
268,1935,0,0,104,944
268,1941,0,0,104,945
270,1944,0,0,104,952
271,1950,0,0,104,958
268,1958,0,0,104,946
273,1963,0,0,105,950
269,1973,0,0,105,950
273,1975,0,0,104,961
271,1982,0,0,104,947
269,1985,0,0,104,942
267,1988,0,0,104,933
267,1989,0,0,104,933
268,1989,0,0,104,939
267,1991,0,0,104,933
272,1992,0,0,105,944
273,2001,0,0,105,945
275,2011,0,0,105,956
278,2023,0,0,105,968
281,2034,0,0,105,986
282,2048,0,0,105,988
280,2059,0,0,105,988
278,2069,0,0,105,977
280,2074,0,0,105,976
282,2077,0,0,105,986
280,2083,0,0,105,978
281,2087,0,0,105,982
280,2090,0,0,105,989
278,2095,0,0,105,980
276,2099,0,0,105,974
277,2100,0,0,105,980
276,2103,0,0,105,975
276,2104,0,0,105,975
277,2109,0,0,106,978
275,2114,0,0,106,972
276,2115,0,0,106,974
280,2115,0,0,106,986
280,2125,0,0,106,986
281,2129,0,0,107,990
281,2135,0,0,108,997
280,2145,0,0,108,995
283,2148,0,0,108,1002
284,2151,0,0,108,1004
286,2158,0,0,108,1003
288,2165,0,0,108,1013
290,2172,0,0,109,1026
290,2179,0,0,109,1019
290,2187,0,0,109,1028
293,2193,0,0,109,1029
292,2201,0,0,109,1023
295,2210,0,0,109,1024
298,2219,0,0,110,1032
296,2234,0,0,110,1038
298,2243,0,0,110,1052
298,2247,0,0,111,1053
297,2256,0,0,111,1039
300,2262,0,0,111,1050
304,2273,0,0,110,1059
305,2288,0,0,111,1057
306,2299,0,0,110,1063
307,2309,0,0,112,1073
309,2315,0,0,112,1080
312,2325,0,0,112,1094
309,2339,0,0,112,1088
316,2349,0,0,112,1117
321,2359,0,0,112,1130
329,2369,0,0,111,1164
330,2385,0,0,111,1162
335,2397,0,0,112,1175
330,2415,0,0,113,1168
330,2426,0,0,114,1165
327,2434,0,0,114,1163
325,2441,0,0,114,1148
331,2443,0,0,114,1167
338,2454,0,0,114,1188
337,2465,0,0,114,1187
338,2478,0,0,114,1193
339,2487,0,0,114,1197
341,2494,0,0,114,1198
341,2504,0,0,115,1207
342,2516,0,0,115,1210
344,2526,0,0,115,1220
344,2538,0,0,115,1211
347,2546,0,0,116,1218
348,2555,0,0,117,1212
346,2564,0,0,116,1210
350,2573,0,0,116,1222
354,2586,0,0,116,1231
351,2604,0,0,118,1224
352,2614,0,0,119,1239
351,2627,0,0,119,1245
352,2632,0,0,119,1248
354,2642,0,0,120,1250
353,2650,0,0,119,1249
356,2655,0,0,121,1257
356,2663,0,0,120,1254
356,2669,0,0,121,1251
354,2677,0,0,121,1242
356,2681,0,0,120,1244
356,2686,0,0,120,1245
359,2693,0,0,121,1250
358,2702,0,0,121,1246
359,2707,0,0,121,1259
355,2714,0,0,121,1253
356,2717,0,0,121,1257
356,2723,0,0,120,1257
356,2726,0,0,120,1255
356,2731,0,0,120,1257
362,2733,0,0,121,1272
361,2740,0,0,121,1270
361,2748,0,0,121,1270
359,2755,0,0,121,1278
360,2761,0,0,121,1275
364,2762,0,0,121,1291
361,2770,0,0,121,1284
362,2776,0,0,121,1286
363,2778,0,0,121,1284
366,2780,0,0,121,1298
362,2787,0,0,121,1289
362,2791,0,0,121,1291
364,2794,0,0,121,1302
362,2798,0,0,121,1293
362,2800,0,0,121,1295
361,2802,0,0,121,1294
361,2803,0,0,121,1295
362,2803,0,0,122,1302
364,2805,0,0,122,1315
364,2806,0,0,122,1316
365,2807,0,0,122,1318
367,2809,0,0,122,1321
369,2812,0,0,122,1325
368,2819,0,0,122,1326
371,2823,0,0,122,1326
369,2830,0,0,122,1320
370,2838,0,0,122,1322
371,2844,0,0,121,1332
373,2848,0,0,122,1331
373,2854,0,0,122,1333
375,2860,0,0,122,1337
378,2864,0,0,122,1351
377,2871,0,0,124,1350
379,2877,0,0,123,1358
375,2885,0,0,125,1347
377,2891,0,0,124,1353
379,2897,0,0,124,1350
377,2905,0,0,124,1352
380,2910,0,0,124,1359
380,2915,0,0,125,1369
381,2919,0,0,126,1372
381,2923,0,0,126,1370
380,2926,0,0,127,1363
380,2928,0,0,127,1363
380,2932,0,0,127,1366
380,2934,0,0,127,1367
380,2935,0,0,127,1373
381,2936,0,0,127,1374
380,2937,0,0,128,1373
379,2940,0,0,128,1370
381,2940,0,0,128,1373
378,2945,0,0,128,1366
379,2946,0,0,128,1371
378,2947,0,0,128,1369
378,2947,0,0,128,1369
378,2948,0,0,128,1369
381,2952,0,0,128,1371
382,2955,0,0,128,1375
388,2960,0,0,128,1385
387,2972,0,0,128,1383
390,2980,0,0,128,1397
390,2989,0,0,128,1392
390,2993,0,0,128,1396
388,3000,0,0,128,1396
390,3002,0,0,128,1404
389,3009,0,0,128,1406
388,3013,0,0,130,1402
390,3018,0,0,130,1412
392,3019,0,0,131,1419
395,3020,0,0,131,1423
395,3026,0,0,130,1424
395,3031,0,0,130,1423
396,3034,0,0,132,1423
396,3038,0,0,132,1428
397,3038,0,0,131,1430
398,3040,0,0,131,1431
398,3042,0,0,132,1432
399,3043,0,0,132,1433
399,3045,0,0,132,1432
398,3047,0,0,133,1432
398,3048,0,0,134,1432
398,3050,0,0,134,1432
400,3051,0,0,134,1435
399,3053,0,0,134,1434
401,3054,0,0,134,1442
401,3056,0,0,135,1441
400,3057,0,0,137,1438
401,3057,0,0,135,1439
400,3058,0,0,135,1438
401,3059,0,0,135,1439
401,3061,0,0,136,1439
402,3062,0,0,136,1442
403,3064,0,0,137,1444
404,3066,0,0,138,1448
405,3069,0,0,139,1449
406,3072,0,0,139,1452
407,3073,0,0,139,1453
406,3075,0,0,139,1452
410,3075,0,0,139,1460
410,3077,0,0,139,1461
409,3080,0,0,140,1459
409,3082,0,0,140,1459
409,3083,0,0,141,1460
409,3084,0,0,142,1458
410,3085,0,0,142,1461
410,3087,0,0,142,1460
412,3089,0,0,142,1464
413,3091,0,0,142,1466
414,3093,0,0,142,1469
415,3095,0,0,142,1468
412,3100,0,0,142,1466
412,3105,0,0,142,1463
414,3110,0,0,142,1470
415,3113,0,0,142,1478
414,3117,0,0,142,1469
416,3117,0,0,143,1473
415,3119,0,0,142,1471
416,3121,0,0,142,1471
416,3124,0,0,143,1472
415,3127,0,0,143,1471
416,3130,0,0,143,1473
416,3132,0,0,143,1476
418,3133,0,0,143,1478
417,3137,0,0,143,1477
416,3140,0,0,144,1474
416,3141,0,0,144,1474
418,3142,0,0,144,1476
417,3145,0,0,145,1475
418,3146,0,0,145,1479
419,3146,0,0,145,1480
419,3147,0,0,144,1480
417,3149,0,0,144,1476
420,3149,0,0,145,1483
420,3152,0,0,145,1483
420,3153,0,0,146,1483
422,3153,0,0,146,1485
424,3155,0,0,146,1491
422,3157,0,0,146,1488
422,3160,0,0,148,1489
422,3161,0,0,148,1488
423,3162,0,0,148,1489
424,3164,0,0,148,1490
423,3167,0,0,148,1489
426,3167,0,0,148,1496
425,3170,0,0,149,1494
429,3171,0,0,149,1499
428,3174,0,0,149,1497
426,3177,0,0,150,1495
427,3177,0,0,150,1496
427,3177,0,0,150,1496
427,3179,0,0,151,1496
429,3182,0,0,151,1497
429,3185,0,0,151,1501
431,3186,0,0,151,1503
430,3190,0,0,152,1502
435,3192,0,0,152,1508
435,3198,0,0,152,1514
435,3204,0,0,152,1513
435,3211,0,0,152,1511
433,3216,0,0,153,1506
438,3218,0,0,153,1518
437,3222,0,0,153,1517
436,3226,0,0,153,1515
435,3230,0,0,153,1513
437,3233,0,0,154,1516
439,3236,0,0,153,1518
439,3242,0,0,153,1520
438,3250,0,0,154,1517
438,3254,0,0,154,1519
441,3259,0,0,154,1527
441,3265,0,0,154,1531
441,3267,0,0,154,1530
442,3273,0,0,154,1530
445,3278,0,0,154,1531
443,3288,0,0,155,1531
444,3293,0,0,155,1534
445,3297,0,0,155,1540
447,3302,0,0,155,1542
448,3309,0,0,155,1537
450,3316,0,0,156,1541
451,3322,0,0,156,1549
448,3327,0,0,156,1543
450,3333,0,0,156,1546
451,3337,0,0,157,1550
449,3345,0,0,158,1550
451,3350,0,0,158,1557
452,3355,0,0,158,1559
454,3363,0,0,158,1563
452,3370,0,0,158,1558
452,3373,0,0,158,1562
454,3381,0,0,158,1555
458,3386,0,0,158,1572
457,3392,0,0,159,1565
457,3398,0,0,158,1574
458,3400,0,0,159,1575
463,3406,0,0,160,1582
460,3417,0,0,161,1577
457,3421,0,0,160,1576
456,3425,0,0,160,1570
460,3430,0,0,160,1589
465,3437,0,0,160,1600
465,3447,0,0,160,1599
465,3453,0,0,160,1602
468,3461,0,0,162,1615
468,3464,0,0,163,1613
467,3467,0,0,164,1618
470,3472,0,0,165,1626
469,3479,0,0,163,1622
469,3483,0,0,163,1625
474,3485,0,0,164,1636
475,3495,0,0,164,1635
478,3504,0,0,165,1643
481,3510,0,0,167,1649
482,3520,0,0,166,1658
478,3535,0,0,167,1649
478,3543,0,0,169,1648
478,3550,0,0,170,1646
479,3559,0,0,169,1645
483,3566,0,0,169,1652
484,3581,0,0,169,1662
484,3590,0,0,169,1663
481,3599,0,0,170,1657
484,3606,0,0,170,1664
485,3611,0,0,170,1667
483,3615,0,0,170,1664
487,3621,0,0,171,1662
488,3625,0,0,171,1663
489,3632,0,0,172,1666
490,3640,0,0,172,1670
493,3648,0,0,172,1682
493,3656,0,0,172,1688
490,3665,0,0,172,1673
490,3669,0,0,172,1671
490,3676,0,0,172,1671
492,3677,0,0,172,1676
495,3683,0,0,172,1687
494,3688,0,0,172,1684
495,3690,0,0,173,1687
498,3692,0,0,173,1694
498,3699,0,0,174,1686
503,3706,0,0,174,1702
500,3717,0,0,174,1698
501,3723,0,0,174,1699
497,3734,0,0,174,1689
496,3739,0,0,174,1687
497,3742,0,0,175,1691
498,3745,0,0,175,1692
500,3747,0,0,175,1698
500,3750,0,0,175,1697
501,3753,0,0,175,1698
500,3758,0,0,176,1696
498,3762,0,0,177,1694
498,3770,0,0,177,1694
502,3773,0,0,177,1699
509,3779,0,0,177,1711
510,3794,0,0,177,1716
512,3810,0,0,178,1719
517,3821,0,0,179,1733
515,3832,0,0,179,1729
520,3834,0,0,180,1742
521,3844,0,0,180,1745
522,3854,0,0,180,1746
528,3863,0,0,180,1756
527,3872,0,0,180,1761
528,3876,0,0,180,1764
532,3880,0,0,181,1783
534,3884,0,0,180,1791
537,3884,0,0,180,1793
539,3889,0,0,181,1798
538,3893,0,0,182,1796
539,3894,0,0,182,1803
