timestamp(ns),elapsed(s)
1681748609249603033,0.000170194
1681748609483114004,0.000200977
1681748609716625452,0.000180588
1681748609950138569,0.000120644
1681748610183657169,0.000261361
1681748610417176962,0.000184307
1681748610650697708,0.000117849
1681748610884219885,0.000206919
1681748611117723942,0.000121912
1681748611351227760,0.000140681
1681748611584731579,0.00012551
1681748611818235636,0.000209595
1681748612051738262,0.000111861
1681748612285240412,0.000155185
1681748612518742561,0.000149838
1681748612752244473,0.000111897
1681748612985746861,0.000139745
1681748613219249964,0.000225556
1681748613452752829,0.000112446
1681748613686255693,0.000148237
1681748613919758797,0.000119396
1681748614153264999,0.000174764
1681748614386771441,0.000122381
1681748614620278358,0.000155986
1681748614853785515,0.000110017
1681748615087287664,0.000150319
1681748615320788860,0.000149431
1681748615554290056,0.000123021
1681748615787791491,0.000140777
1681748616021289825,0.000141657
1681748616254785538,0.00014632
1681748616488281250,0.000197098
1681748616721776485,0.00013535
1681748616955273628,0.000139552
1681748617188777685,0.000134393
1681748617422281265,0.000173441
1681748617655785084,0.000164709
1681748617889288902,0.000148474
1681748618122800589,0.00021223
1681748618356312990,0.000209918
1681748618589825869,0.000251311
1681748618823339701,0.000205002
1681748619056843758,0.000278048
1681748619290343761,0.000255655
1681748619523843527,0.000320188
1681748619757343292,0.000314783
1681748619990838528,0.000344981
1681748620224327326,0.000317453
1681748620457815170,0.000355069
1681748620691302299,0.0003723
1681748620924737215,0.000423086
1681748621158980370,0.000290559
1681748621393255949,0.00040762
1681748621627563715,0.00040359
1681748621861904144,0.000416357
1681748622095662117,0.000441739
1681748622329081535,0.000457244
1681748622562496185,0.00045161
1681748622795906067,0.000616693
1681748623029320478,0.000505084
1681748623262745142,0.00058371
1681748623496164799,0.000757418
1681748623729580164,0.000804248
1681748623962992668,0.000659055
1681748624196420193,0.000883207
1681748624429843187,0.000886565
1681748624663261890,0.000532169
1681748624896676064,0.000586215
1681748625130104303,0.000796962
1681748625363533020,0.000649299
1681748625596957445,0.000932241
1681748625830378056,0.000572095
1681748626063805342,0.000741913
1681748626297238827,0.000837631
1681748626530668020,0.00075429
1681748626764093161,0.000632695
1681748626997517586,0.00128123
1681748627230947971,0.000688556
1681748627464374304,0.000827943
1681748627697796345,0.00121736
1681748627931212664,0.000997528
1681748628164646864,0.00117619
1681748628398077250,0.00125972
1681748628631502867,0.00102147
1681748628864924908,0.00106629
1681748629098357439,0.00120831
1681748629331794500,0.00118951
1681748629565227270,0.00123551
1681748629798656464,0.0010644
1681748630032084942,0.00124797
1681748630265513897,0.00116195
1681748630498938799,0.000938965
1681748630732359171,0.000856303
1681748630965777159,0.000822897
1681748631199209929,0.0010065
1681748631432638645,0.000967115
1681748631666063070,0.000990437
1681748631899483442,0.00101414
1681748632132906437,0.00115503
1681748632366326571,0.00122033
1681748632599741936,0.000859641
1681748632833152294,0.0010356
1681748633066572189,0.0010122
1681748633300000906,0.00137906
1681748633533425331,0.00104567
1681748633766845226,0.00142481
1681748634000267744,0.000996247
1681748634233710766,0.00094836
1681748634467150211,0.00140693
1681748634700585604,0.00145409
1681748634934016943,0.00112715
1681748635167460680,0.000973556
1681748635400901079,0.00088476
1681748635634337425,0.000874348
1681748635867769718,0.000982356
1681748636101193190,0.00134071
1681748636334608078,0.00103032
1681748636568017721,0.000898543
1681748636801422596,0.000940708
1681748637034974337,0.00096887
1681748637268821955,0.000872736
1681748637502702236,0.00361876
1681748637736614704,0.00150091
1681748637970525980,0.00097485
1681748638204026699,0.00120175
1681748638437527180,0.000967661
1681748638671027422,0.00110828
1681748638904527426,0.00367312
1681748639138030529,0.00129101
1681748639371534824,0.00158519
1681748639605039120,0.00154508
1681748639838543415,0.000961601
1681748640072048903,0.000963671
1681748640305555105,0.00141271
1681748640539062023,0.000914563
1681748640772568941,0.00097997
1681748641006057501,0.00117498
1681748641242299318,0.00176699
1681748641478661299,0.000912239
1681748641715143681,0.00113189
1681748641951746464,0.00107488
1681748642185541630,0.000965654
1681748642418845654,0.00445769
1681748642652137280,0.00114233
1681748642885416031,0.00104419
1681748643118675232,0.000942126
1681748643351911306,0.0011618
1681748643585131884,0.00107983
1681748643818336725,0.00104247
1681748644051541090,0.000851831
1681748644284761667,0.00238551
1681748644517965555,0.00111462
1681748644751152992,0.00113547
1681748644984325647,0.00115485
1681748645217558146,0.0024348
1681748645450774431,0.00116103
1681748645683974743,0.00135652
1681748645917158842,0.00474947
1681748646150377989,0.00100351
1681748646383599043,0.00119123
1681748646616804123,0.0020525
1681748646849992752,0.00103327
1681748647083358526,0.00110138
1681748647317107677,0.000985298
1681748647550863028,0.00140595
1681748647784625053,0.000890139
1681748648018393517,0.000889793
1681748648251703739,0.00110246
1681748648484876156,0.00100927
1681748648718029737,0.00122588
1681748648951164007,0.000990657
1681748649184324265,0.00139678
1681748649417505264,0.00131679
1681748649650667667,0.00106996
1681748649883810997,0.00099363
1681748650116954803,0.0010891
1681748650350139856,0.0026459
1681748650583306313,0.00237701
1681748650816454172,0.0017386
1681748651049579144,0.0011402
1681748651282777309,0.00114191
1681748651515957355,0.00104899
1681748651749119282,0.00208259
1681748651982263088,0.00228024
1681748652215440035,0.00136637
1681748652448624372,0.00111275
1681748652681790113,0.00132008
1681748652914937019,0.00113599
1681748653148091555,0.00182967
1681748653381270170,0.00108411
1681748653614429951,0.00116695
1681748653847570181,0.00129248
1681748654080698490,0.00154727
1681748654313885212,0.00183939
1681748654547052622,0.00205583
1681748654780201197,0.00114164
1681748655013330460,0.00103093
1681748655246503353,0.000901751
1681748655479669094,0.00335782
1681748655712815523,0.00120356
1681748655945942402,0.00229331
1681748656179097891,0.00119306
1681748656412279606,0.00118819
1681748656645442247,0.00117816
1681748656878585577,0.00110799
1681748657112069130,0.00249963
1681748657346814632,0.00127292
1681748657581677437,0.00246301
1681748657816657305,0.00130484
1681748658051843643,0.00131377
1681748658285289288,0.00120647
1681748658518731117,0.001114
1681748658752169371,0.00115846
1681748658985604286,0.00541709
1681748659219059706,0.00110485
1681748659452525854,0.00123352
1681748659685989618,0.00469974
1681748659919451237,0.00110945
1681748660152910233,0.00358191
1681748660386365175,0.00127743
1681748660619817257,0.00126592
1681748660853265762,0.00154902
1681748661086711884,0.00158682
1681748661320157290,0.00121237
1681748661553598881,0.00138016
1681748661787036896,0.00483214
1681748662020471334,0.00182855
1681748662253910780,0.0085956
1681748662487348318,0.000943955
1681748662720782518,0.00116551
1681748662954212666,0.00117518
1681748663188529968,0.00269072
1681748663425057173,0.00140708
1681748663661727428,0.000972808
1681748663898540974,0.00147647
1681748664135390043,0.00127324
1681748664368629932,0.00126594
1681748664601854086,0.00239819
1681748664835062265,0.00113688
1681748665068254948,0.00116052
1681748665301477194,0.00121564
1681748665534688950,0.00144843
1681748665767884254,0.00120167
1681748666001063347,0.00136964
1681748666234256506,0.00145188
1681748666467470169,0.00102261
1681748666700667143,0.00128833
1681748666933847427,0.00130313
1681748667167026520,0.00286661
1681748667400254011,0.00117512
1681748667633464813,0.00105233
1681748667866659403,0.00212782
1681748668099829435,0.00125943
1681748668333080769,0.00125784
1681748668566316843,0.00142128
1681748668799537897,0.00128571
1681748669032743692,0.00135572
1681748669265967369,0.00140428
1681748669499194622,0.00140995
1681748669732405901,0.00136324
1681748669965601444,0.00132021
1681748670198810577,0.00143805
1681748670432065487,0.001037
1681748670665305138,0.00109635
1681748670898530006,0.00127721
1681748671131742239,0.00220726
1681748671364975214,0.00141433
1681748671598191977,0.00128652
1681748671831392288,0.00164716
1681748672064576387,0.00146984
1681748672297803402,0.00144631
1681748672531034231,0.00146526
1681748672764249325,0.00150794
1681748672997448683,0.00125281
1681748673230662823,0.00155202
1681748673463896275,0.00136878
1681748673697113276,0.00164501
1681748673930314779,0.00134754
1681748674163510084,0.00175694
1681748674396734953,0.001611
