timestamp(ns),elapsed(s)
1681748609249603033,0.0236058
1681748609483114004,0.0132809
1681748609716625452,0.0114922
1681748609950138569,0.0115286
1681748610183657169,0.0108093
1681748610417176962,0.0113414
1681748610650697708,0.0116496
1681748610884219885,0.0119447
1681748611117723942,0.0118375
1681748611351227760,0.0116694
1681748611584731579,0.011647
1681748611818235636,0.0114772
1681748612051738262,0.0118699
1681748612285240412,0.0116126
1681748612518742561,0.0112551
1681748612752244473,0.0116277
1681748612985746861,0.0121021
1681748613219249964,0.0112346
1681748613452752829,0.0109379
1681748613686255693,0.0115556
1681748613919758797,0.0115794
1681748614153264999,0.0126412
1681748614386771441,0.01132
1681748614620278358,0.0116659
1681748614853785515,0.0113578
1681748615087287664,0.0121697
1681748615320788860,0.0133377
1681748615554290056,0.0115548
1681748615787791491,0.0119729
1681748616021289825,0.0120562
1681748616254785538,0.0117588
1681748616488281250,0.0121507
1681748616721776485,0.0117826
1681748616955273628,0.0125165
1681748617188777685,0.0127127
1681748617422281265,0.0142486
1681748617655785084,0.0157453
1681748617889288902,0.0154532
1681748618122800589,0.0170704
1681748618356312990,0.018451
1681748618589825869,0.0209665
1681748618823339701,0.0197381
1681748619056843758,0.0203763
1681748619290343761,0.022129
1681748619523843527,0.0224875
1681748619757343292,0.0268893
1681748619990838528,0.024924
1681748620224327326,0.0281044
1681748620457815170,0.0283184
1681748620691302299,0.0297934
1681748620924737215,0.031479
1681748621158980370,0.032012
1681748621393255949,0.0345156
1681748621627563715,0.0321842
1681748621861904144,0.0383504
1681748622095662117,0.0369229
1681748622329081535,0.0380825
1681748622562496185,0.0410971
1681748622795906067,0.0431016
1681748623029320478,0.0449669
1681748623262745142,0.0465845
1681748623496164799,0.0507636
1681748623729580164,0.0518695
1681748623962992668,0.0549832
1681748624196420193,0.0563178
1681748624429843187,0.0555679
1681748624663261890,0.0601797
1681748624896676064,0.0614087
1681748625130104303,0.0634685
1681748625363533020,0.0690598
1681748625596957445,0.0654384
1681748625830378056,0.0693963
1681748626063805342,0.0743766
1681748626297238827,0.0746904
1681748626530668020,0.0755958
1681748626764093161,0.0766016
1681748626997517586,0.0839259
1681748627230947971,0.0783042
1681748627464374304,0.083989
1681748627697796345,0.0845171
1681748627931212664,0.0906617
1681748628164646864,0.0914798
1681748628398077250,0.0969117
1681748628631502867,0.0978424
1681748628864924908,0.0970774
1681748629098357439,0.0961082
1681748629331794500,0.0934685
1681748629565227270,0.103027
1681748629798656464,0.10711
1681748630032084942,0.106111
