timestamp(ns),elapsed(s)
1681748609249603033,7.8744e-05
1681748609483114004,8.8299e-05
1681748609716625452,6.8162e-05
1681748609950138569,7.6581e-05
1681748610183657169,7.107e-05
1681748610417176962,7.0806e-05
1681748610650697708,8.5491e-05
1681748610884219885,8.2679e-05
1681748611117723942,8.4197e-05
1681748611351227760,8.4592e-05
1681748611584731579,7.5529e-05
1681748611818235636,6.7491e-05
1681748612051738262,7.1949e-05
1681748612285240412,7.149e-05
1681748612518742561,6.7581e-05
1681748612752244473,6.2229e-05
1681748612985746861,5.9977e-05
1681748613219249964,6.4459e-05
1681748613452752829,6.3035e-05
1681748613686255693,6.0853e-05
1681748613919758797,6.4465e-05
1681748614153264999,7.1042e-05
1681748614386771441,6.2382e-05
1681748614620278358,6.352e-05
1681748614853785515,6.5178e-05
1681748615087287664,6.1598e-05
1681748615320788860,7.4828e-05
1681748615554290056,6.6236e-05
1681748615787791491,6.8574e-05
1681748616021289825,6.2993e-05
1681748616254785538,6.007e-05
1681748616488281250,5.2823e-05
1681748616721776485,6.4232e-05
1681748616955273628,0.00010779
1681748617188777685,6.0618e-05
1681748617422281265,7.3474e-05
1681748617655785084,9.39e-05
1681748617889288902,0.000109597
1681748618122800589,0.000102244
1681748618356312990,0.000116926
1681748618589825869,0.000126147
1681748618823339701,0.00018421
1681748619056843758,0.000199289
1681748619290343761,0.000146045
1681748619523843527,0.000125149
1681748619757343292,0.0001521
1681748619990838528,0.000171295
1681748620224327326,0.000189997
1681748620457815170,0.000204538
1681748620691302299,0.000217729
1681748620924737215,0.000206576
1681748621158980370,0.000271477
1681748621393255949,0.000238547
1681748621627563715,0.000290427
1681748621861904144,0.000300747
1681748622095662117,0.000283554
1681748622329081535,0.000415102
1681748622562496185,0.00029911
1681748622795906067,0.000329986
1681748623029320478,0.000401819
1681748623262745142,0.00037815
1681748623496164799,0.000379097
1681748623729580164,0.000360062
1681748623962992668,0.000408489
1681748624196420193,0.000346803
1681748624429843187,0.000391564
1681748624663261890,0.00033383
1681748624896676064,0.000492456
1681748625130104303,0.00041665
1681748625363533020,0.000578636
1681748625596957445,0.000592082
1681748625830378056,0.000586046
1681748626063805342,0.000700079
1681748626297238827,0.00060353
1681748626530668020,0.000620746
1681748626764093161,0.000584053
1681748626997517586,0.00058139
1681748627230947971,0.000519515
1681748627464374304,0.000451302
1681748627697796345,0.000587134
1681748627931212664,0.000500699
1681748628164646864,0.000586315
1681748628398077250,0.00057859
1681748628631502867,0.000704316
1681748628864924908,0.000733484
1681748629098357439,0.000530049
1681748629331794500,0.00042143
1681748629565227270,0.000816447
1681748629798656464,0.000634397
1681748630032084942,0.00115987
1681748630265513897,0.00079729
1681748630498938799,0.000620069
1681748630732359171,0.000772503
1681748630965777159,0.000888537
1681748631199209929,0.000722584
1681748631432638645,0.000792753
1681748631666063070,0.000843617
1681748631899483442,0.000776523
1681748632132906437,0.000671183
1681748632366326571,0.000764434
1681748632599741936,0.0007568
1681748632833152294,0.000741133
1681748633066572189,0.000781762
1681748633300000906,0.000701717
1681748633533425331,0.00087652
1681748633766845226,0.000886451
1681748634000267744,0.000710839
1681748634233710766,0.000894489
1681748634467150211,0.000970284
1681748634700585604,0.000991056
1681748634934016943,0.000998256
1681748635167460680,0.000915732
1681748635400901079,0.00095287
1681748635634337425,0.000969207
1681748635867769718,0.000821349
1681748636101193190,0.000902751
1681748636334608078,0.00120541
1681748636568017721,0.000925777
1681748636801422596,0.000890114
1681748637034974337,0.000844957
1681748637268821955,0.000860233
1681748637502702236,0.000790029
1681748637736614704,0.000862895
1681748637970525980,0.000877654
1681748638204026699,0.000716322
1681748638437527180,0.000896039
1681748638671027422,0.00107177
1681748638904527426,0.000727774
1681748639138030529,0.00109954
1681748639371534824,0.00091746
1681748639605039120,0.000865263
1681748639838543415,0.000849297
1681748640072048903,0.000806869
1681748640305555105,0.000934341
1681748640539062023,0.00088574
1681748640772568941,0.000829643
1681748641006057501,0.000897783
1681748641242299318,0.000833771
1681748641478661299,0.000939749
1681748641715143681,0.000705786
1681748641951746464,0.000858863
1681748642185541630,0.000956787
1681748642418845654,0.000733906
1681748642652137280,0.000978212
1681748642885416031,0.00100454
1681748643118675232,0.000930071
1681748643351911306,0.000791861
1681748643585131884,0.000900545
1681748643818336725,0.000916782
1681748644051541090,0.000910609
1681748644284761667,0.00107665
1681748644517965555,0.000809921
1681748644751152992,0.000876904
1681748644984325647,0.000952527
1681748645217558146,0.00106805
1681748645450774431,0.00104777
1681748645683974743,0.00110646
1681748645917158842,0.00106858
1681748646150377989,0.000947414
1681748646383599043,0.00111989
1681748646616804123,0.00100709
1681748646849992752,0.00107494
1681748647083358526,0.0013841
1681748647317107677,0.00138916
1681748647550863028,0.0018107
1681748647784625053,0.00114196
1681748648018393517,0.0013391
1681748648251703739,0.00111477
1681748648484876156,0.00116763
1681748648718029737,0.00118664
1681748648951164007,0.00136168
1681748649184324265,0.00115293
1681748649417505264,0.00115273
1681748649650667667,0.00117714
1681748649883810997,0.00108091
1681748650116954803,0.00144424
1681748650350139856,0.00122428
1681748650583306313,0.0011632
1681748650816454172,0.00130467
1681748651049579144,0.00105434
1681748651282777309,0.00117852
1681748651515957355,0.00157094
1681748651749119282,0.00127663
1681748651982263088,0.00134471
1681748652215440035,0.00142015
1681748652448624372,0.00174918
1681748652681790113,0.00141979
1681748652914937019,0.00123082
1681748653148091555,0.00156963
1681748653381270170,0.00128522
1681748653614429951,0.00131489
1681748653847570181,0.00182911
1681748654080698490,0.00124014
1681748654313885212,0.00110541
1681748654547052622,0.00118258
1681748654780201197,0.00147073
1681748655013330460,0.00136257
1681748655246503353,0.00151133
1681748655479669094,0.00144543
1681748655712815523,0.00121305
1681748655945942402,0.0012165
1681748656179097891,0.00121705
1681748656412279606,0.0012937
1681748656645442247,0.0012598
1681748656878585577,0.00106794
1681748657112069130,0.00126701
1681748657346814632,0.0014353
1681748657581677437,0.00128018
1681748657816657305,0.000932515
1681748658051843643,0.00148718
1681748658285289288,0.00127673
1681748658518731117,0.00165106
1681748658752169371,0.0012791
1681748658985604286,0.00157626
1681748659219059706,0.00150215
1681748659452525854,0.00188387
1681748659685989618,0.0010156
1681748659919451237,0.00101635
1681748660152910233,0.000936612
1681748660386365175,0.00115702
1681748660619817257,0.00101979
1681748660853265762,0.00100589
