timestamp(ns),elapsed(s)
1681748609249603033,1.4929e-05
1681748609483114004,1.0415e-05
1681748609716625452,8.526e-06
1681748609950138569,6.0907e-05
1681748610183657169,2.3643e-05
1681748610417176962,2.7471e-05
1681748610650697708,2.8974e-05
1681748610884219885,3.1487e-05
1681748611117723942,2.9411e-05
1681748611351227760,3.1511e-05
1681748611584731579,3.3018e-05
1681748611818235636,3.2807e-05
1681748612051738262,4.9382e-05
1681748612285240412,3.5322e-05
1681748612518742561,3.3555e-05
1681748612752244473,4.0638e-05
1681748612985746861,4.2887e-05
1681748613219249964,4.3325e-05
1681748613452752829,4.4694e-05
1681748613686255693,4.7576e-05
1681748613919758797,5.0037e-05
1681748614153264999,5.4133e-05
1681748614386771441,5.0959e-05
1681748614620278358,5.1518e-05
1681748614853785515,5.3067e-05
1681748615087287664,5.4921e-05
1681748615320788860,6.7387e-05
1681748615554290056,5.773e-05
1681748615787791491,5.6786e-05
1681748616021289825,7.2884e-05
1681748616254785538,9.0025e-05
1681748616488281250,5.9481e-05
1681748616721776485,5.8314e-05
1681748616955273628,6.4677e-05
1681748617188777685,5.5929e-05
1681748617422281265,6.3104e-05
1681748617655785084,5.2994e-05
1681748617889288902,5.7507e-05
1681748618122800589,5.0443e-05
1681748618356312990,5.7682e-05
1681748618589825869,7.0862e-05
1681748618823339701,6.165e-05
1681748619056843758,8.2333e-05
1681748619290343761,6.2366e-05
1681748619523843527,6.9547e-05
1681748619757343292,7.0816e-05
1681748619990838528,7.4653e-05
1681748620224327326,7.9329e-05
1681748620457815170,7.3073e-05
1681748620691302299,7.9812e-05
1681748620924737215,8.5532e-05
1681748621158980370,8.9554e-05
1681748621393255949,8.2775e-05
1681748621627563715,9.2984e-05
1681748621861904144,7.8654e-05
1681748622095662117,8.2309e-05
1681748622329081535,8.6045e-05
1681748622562496185,7.8869e-05
1681748622795906067,8.4409e-05
1681748623029320478,9.1165e-05
1681748623262745142,0.000122503
1681748623496164799,9.7186e-05
1681748623729580164,9.1907e-05
1681748623962992668,0.000103423
1681748624196420193,9.8727e-05
1681748624429843187,0.00011237
1681748624663261890,0.000117091
1681748624896676064,0.000118442
1681748625130104303,0.000126116
1681748625363533020,0.000121697
1681748625596957445,0.000168081
1681748625830378056,0.000129407
1681748626063805342,0.000141578
1681748626297238827,0.000132313
1681748626530668020,0.000131817
1681748626764093161,0.000138122
1681748626997517586,0.000133947
1681748627230947971,0.00014033
1681748627464374304,0.000130834
1681748627697796345,0.000153045
1681748627931212664,9.083e-05
1681748628164646864,9.2309e-05
1681748628398077250,9.6696e-05
1681748628631502867,9.3053e-05
1681748628864924908,0.000102928
1681748629098357439,9.5201e-05
1681748629331794500,9.0516e-05
1681748629565227270,9.0051e-05
1681748629798656464,9.5011e-05
1681748630032084942,9.0807e-05
1681748630265513897,0.000107113
1681748630498938799,0.000109674
1681748630732359171,0.000131812
1681748630965777159,8.6375e-05
1681748631199209929,8.9271e-05
1681748631432638645,0.000109064
1681748631666063070,8.486e-05
1681748631899483442,9.6805e-05
1681748632132906437,9.048e-05
1681748632366326571,8.4223e-05
1681748632599741936,0.000100255
1681748632833152294,8.524e-05
1681748633066572189,9.5522e-05
1681748633300000906,0.00010002
1681748633533425331,9.0138e-05
1681748633766845226,0.000135524
1681748634000267744,8.6487e-05
1681748634233710766,9.4725e-05
1681748634467150211,8.9507e-05
1681748634700585604,9.3104e-05
1681748634934016943,9.8752e-05
1681748635167460680,8.9161e-05
1681748635400901079,0.000108237
1681748635634337425,0.000100021
1681748635867769718,9.1076e-05
1681748636101193190,0.00010024
1681748636334608078,9.1568e-05
1681748636568017721,8.8624e-05
1681748636801422596,9.7117e-05
1681748637034974337,9.6088e-05
1681748637268821955,7.9489e-05
1681748637502702236,8.7297e-05
1681748637736614704,9.6462e-05
1681748637970525980,9.2751e-05
1681748638204026699,0.000100599
1681748638437527180,9.4538e-05
1681748638671027422,9.7217e-05
1681748638904527426,0.000103686
1681748639138030529,0.000100421
1681748639371534824,0.000100438
1681748639605039120,0.000158069
1681748639838543415,0.000101976
1681748640072048903,0.000107263
1681748640305555105,0.000101136
1681748640539062023,0.000101556
1681748640772568941,0.000107642
1681748641006057501,0.000111425
1681748641242299318,0.000115184
1681748641478661299,0.000111633
1681748641715143681,0.000117269
1681748641951746464,0.000129345
1681748642185541630,0.000120522
1681748642418845654,0.000115861
1681748642652137280,0.000122032
1681748642885416031,0.000142799
1681748643118675232,0.000113071
1681748643351911306,0.000105556
1681748643585131884,0.000107172
1681748643818336725,0.000115236
1681748644051541090,0.000104292
1681748644284761667,0.000142439
1681748644517965555,0.000114366
1681748644751152992,0.00011624
1681748644984325647,0.000141979
1681748645217558146,0.000139521
1681748645450774431,0.00014502
1681748645683974743,0.000191422
1681748645917158842,0.000103099
1681748646150377989,0.000111548
1681748646383599043,0.000127575
1681748646616804123,0.000125668
1681748646849992752,0.000111839
1681748647083358526,0.000150983
1681748647317107677,0.000127381
1681748647550863028,0.000133874
1681748647784625053,0.000129409
1681748648018393517,0.000116206
1681748648251703739,0.000118113
1681748648484876156,0.000142749
1681748648718029737,0.000127669
1681748648951164007,0.000126129
1681748649184324265,0.000133517
1681748649417505264,0.00014184
1681748649650667667,0.000124077
1681748649883810997,0.000129394
1681748650116954803,0.000124573
1681748650350139856,0.000125575
1681748650583306313,0.000129684
1681748650816454172,0.00012661
1681748651049579144,0.000128578
1681748651282777309,0.000126846
1681748651515957355,0.000120222
1681748651749119282,0.000123046
1681748651982263088,0.000113852
1681748652215440035,0.000130757
1681748652448624372,0.000118643
1681748652681790113,0.000134099
1681748652914937019,0.000153621
1681748653148091555,0.00018168
1681748653381270170,0.00013276
1681748653614429951,0.000122068
1681748653847570181,0.000158351
1681748654080698490,0.000133914
1681748654313885212,0.000137226
1681748654547052622,0.000142402
1681748654780201197,0.000123271
1681748655013330460,0.000131208
1681748655246503353,0.000178224
1681748655479669094,0.000138263
1681748655712815523,0.00013048
1681748655945942402,0.000128249
1681748656179097891,0.000123973
1681748656412279606,0.000115188
1681748656645442247,0.000115021
1681748656878585577,0.000109293
1681748657112069130,0.000117024
1681748657346814632,0.000147223
1681748657581677437,0.000127531
1681748657816657305,0.000152928
1681748658051843643,0.000106851
1681748658285289288,0.000106542
1681748658518731117,0.000116482
1681748658752169371,0.00013587
1681748658985604286,0.000115791
1681748659219059706,0.000118399
1681748659452525854,0.000132088
1681748659685989618,0.00013917
1681748659919451237,0.000106315
1681748660152910233,0.000132384
1681748660386365175,0.000122033
1681748660619817257,0.000123357
1681748660853265762,0.000149321
1681748661086711884,0.000115866
1681748661320157290,0.000121017
1681748661553598881,0.000137954
1681748661787036896,0.000118694
1681748662020471334,0.000122487
1681748662253910780,0.000123829
1681748662487348318,0.000114993
1681748662720782518,0.00012001
1681748662954212666,0.000189443
1681748663188529968,0.000134171
1681748663425057173,0.000116267
1681748663661727428,0.000119292
1681748663898540974,0.000113109
1681748664135390043,0.000139483
1681748664368629932,0.000139996
1681748664601854086,0.000140643
1681748664835062265,0.000138828
1681748665068254948,0.000195157
1681748665301477194,0.000141911
1681748665534688950,0.000134791
1681748665767884254,0.000123237
1681748666001063347,0.000126968
1681748666234256506,0.000402305
1681748666467470169,0.000113915
1681748666700667143,0.000123029
1681748666933847427,0.000112482
1681748667167026520,0.000134592
1681748667400254011,0.000121765
1681748667633464813,0.000122628
1681748667866659403,0.000129666
1681748668099829435,0.000130951
1681748668333080769,0.000153437
1681748668566316843,0.000126775
1681748668799537897,0.000126819
1681748669032743692,0.000171782
1681748669265967369,0.000177439
1681748669499194622,0.000170972
1681748669732405901,0.000158039
1681748669965601444,0.000147066
1681748670198810577,0.000162654
1681748670432065487,0.00015581
1681748670665305138,0.000179178
1681748670898530006,0.000246309
1681748671131742239,0.000175453
1681748671364975214,0.000184494
1681748671598191977,0.000219052
1681748671831392288,0.000164036
1681748672064576387,0.000169763
1681748672297803402,0.000189429
1681748672531034231,0.000227346
1681748672764249325,0.000183724
1681748672997448683,0.000197013
1681748673230662823,0.000172468
1681748673463896275,0.000203001
1681748673697113276,0.000221704
1681748673930314779,0.000185822
1681748674163510084,0.000189541
1681748674396734953,0.000177541
1681748674629942894,0.000229675
1681748674863134623,0.00021786
1681748675096302271,0.000195035
