timestamp(ns),elapsed(s)
1681748609249603033,2.3e-06
1681748609483114004,2.12e-06
1681748609716625452,2.769e-06
1681748609950138569,1.383e-06
1681748610183657169,1.524e-06
1681748610417176962,1.237e-06
1681748610650697708,1.396e-06
1681748610884219885,1.649e-06
1681748611117723942,1.448e-06
1681748611351227760,1.402e-06
1681748611584731579,2.069e-06
1681748611818235636,1.716e-06
1681748612051738262,1.257e-06
1681748612285240412,1.357e-06
1681748612518742561,1.798e-06
1681748612752244473,1.285e-06
1681748612985746861,1.846e-06
1681748613219249964,1.636e-06
1681748613452752829,1.243e-06
1681748613686255693,1.284e-06
1681748613919758797,1.356e-06
1681748614153264999,1.523e-06
1681748614386771441,1.436e-06
1681748614620278358,2.227e-06
1681748614853785515,1.461e-06
1681748615087287664,1.55e-06
1681748615320788860,1.627e-06
1681748615554290056,1.737e-06
1681748615787791491,1.469e-06
1681748616021289825,1.327e-06
1681748616254785538,2.125e-06
1681748616488281250,1.825e-06
1681748616721776485,1.477e-06
1681748616955273628,1.576e-06
1681748617188777685,1.282e-06
1681748617422281265,1.84e-06
1681748617655785084,1.506e-06
1681748617889288902,1.364e-06
1681748618122800589,1.632e-06
1681748618356312990,1.674e-06
1681748618589825869,1.924e-06
1681748618823339701,1.618e-06
1681748619056843758,1.582e-06
1681748619290343761,1.547e-06
1681748619523843527,2.002e-06
1681748619757343292,1.889e-06
1681748619990838528,2.16e-06
1681748620224327326,1.714e-06
1681748620457815170,1.554e-06
1681748620691302299,1.412e-06
1681748620924737215,2.383e-06
1681748621158980370,1.65e-06
1681748621393255949,1.775e-06
1681748621627563715,1.667e-06
1681748621861904144,1.865e-06
1681748622095662117,1.908e-06
1681748622329081535,1.731e-06
1681748622562496185,1.853e-06
1681748622795906067,1.662e-06
1681748623029320478,1.738e-06
1681748623262745142,1.973e-06
1681748623496164799,2.034e-06
1681748623729580164,2.509e-06
1681748623962992668,1.878e-06
1681748624196420193,1.789e-06
1681748624429843187,1.775e-06
1681748624663261890,1.741e-06
1681748624896676064,1.804e-06
1681748625130104303,2.558e-06
1681748625363533020,2.026e-06
1681748625596957445,1.65e-06
1681748625830378056,1.615e-06
1681748626063805342,1.632e-06
1681748626297238827,1.823e-06
1681748626530668020,1.642e-06
1681748626764093161,1.388e-06
1681748626997517586,3.174e-06
1681748627230947971,1.409e-06
1681748627464374304,2.11e-06
1681748627697796345,1.867e-06
1681748627931212664,1.597e-06
1681748628164646864,1.946e-06
1681748628398077250,2.079e-06
1681748628631502867,1.954e-06
1681748628864924908,2.236e-06
1681748629098357439,2.544e-06
1681748629331794500,2.169e-06
1681748629565227270,2.809e-06
1681748629798656464,1.809e-06
1681748630032084942,1.718e-06
1681748630265513897,3.38e-06
1681748630498938799,1.87e-06
1681748630732359171,1.67e-06
1681748630965777159,1.81e-06
