timestamp(ns),elapsed(s)
1681748646350282907,0.0978359
1681748646650117636,0.0660692
1681748646949925900,0.0689328
1681748647150143385,0.0740998
1681748647350500822,0.0455963
1681748754220647812,0.0582401
1681748754520514727,0.0618221
1681748754820367813,0.0705269
1681748755120194435,0.0561847
1681748755420036316,0.0788912
1681748755719893932,0.0670026
1681748757219123602,0.0518056
1681748757219123602,0.0686663
1681748757519001722,0.0741311
1681748757818868637,0.0602898
1681748758118710041,0.0685018
1681748759124403715,0.0536784
1681748759325646639,0.0702546
1681748759525794744,0.0593749
1681748759725942612,0.0541376
1681748759926090479,0.0823413
1681748760126238585,0.057888
1681748760326386452,0.0635387
1681748767531567335,0.0526509
1681748767731707335,0.0929009
1681748767731707335,0.095721
1681748767931846619,0.0507188
1681748767931846619,0.0771624
1681748768131985903,0.0918035
1681748768131985903,0.0605487
1681748768332126617,0.0491038
1681748768332126617,0.0774875
1681748768532273769,0.0744476
1681748768532273769,0.0815722
1681748768732420921,0.0601136
1681748768732420921,0.0513974
1681748768932568312,0.0727537
1681748768932568312,0.0811945
1681748769132715464,0.0524441
1681748769132715464,0.0604455
1681748769332863331,0.0636391
1681748769332863331,0.0726549
1681748769533012390,0.0336652
1681748769533012390,0.0622248
1681748769733161926,0.0478688
1681748769733161926,0.0720571
1681748769933311462,0.0729889
1681748769933311462,0.0694093
1681748770133460999,0.0711982
1681748770133460999,0.0752438
1681748770333609819,0.0686361
1681748770333609819,0.0654156
1681748770533755779,0.0632278
1681748770533755779,0.0621099
1681748770733902216,0.0808912
1681748770733902216,0.0717195
1681748770934048176,0.0611401
1681748770934048176,0.0933587
1681748771134194374,0.0538123
1681748771134194374,0.0688936
1681748771334339380,0.0693605
1681748771334339380,0.0762283
1681748771534480333,0.0584113
1681748771534480333,0.0670333
1681748771734620810,0.0967584
1681748771734620810,0.0755088
1681748771934761047,0.0705924
1681748771934761047,0.0665662
1681748772134900808,0.0532496
1681748772134900808,0.0806391
1681748772335042000,0.0597809
