timestamp(ns),elapsed(s)
1742909311908153772,0.000243869
1742909312141445637,0.000233473
1742909312374726057,0.000106541
1742909312608031511,8.0445e-05
1742909312841348171,0.000136067
1742909313074654818,9.8853e-05
1742909313307951450,5.5639e-05
1742909313541252613,8.654e-05
1742909313774573088,8.2156e-05
1742909314007883549,0.00012441
1742909314241183996,0.000135084
1742909314474477053,0.000109107
1742909314707791567,0.000119077
1742909314941095352,0.00014189
1742909315174389124,9.1728e-05
1742909315407672405,0.000117698
1742909315640953779,0.000113146
1742909315874225140,0.000136006
1742909316107483387,0.000132507
1742909316340728998,8.7607e-05
1742909316574499369,8.8861e-05
1742909316809597015,0.000111559
1742909317044759989,9.925e-05
1742909317279988050,0.000112537
1742909317515274763,0.000138699
1742909317748321056,0.000130167
1742909317981339931,0.000127477
1742909318214331627,0.000212864
1742909318447296143,0.00013896
1742909318681381702,0.000104918
1742909318916054010,0.000105937
1742909319150836229,0.000152562
1742909319385727882,0.000142884
1742909319620030165,0.000152741
1742909319853337765,0.000160592
1742909320086633205,0.000114651
1742909320319917440,0.000120035
1742909320553231001,0.000119601
1742909320787950277,0.000118168
1742909321023176432,0.000136821
1742909321258472919,9.7443e-05
1742909321493839741,0.000122133
1742909321728294611,0.000187649
1742909321961422682,0.000116931
1742909322194529057,0.000214518
1742909322427613735,0.00011867
1742909322660691261,0.000114316
1742909322893832207,0.000166202
1742909323126952171,0.000172878
1742909323360050440,0.000151848
1742909323593127728,0.000141047
1742909323827292681,0.000166256
1742909324062365532,0.00011752
1742909324297499657,0.000159741
1742909324532695055,0.000140927
1742909324767632008,0.000120494
1742909325000542879,0.000175569
1742909325233420610,0.00016312
1742909325466264725,0.000133533
1742909325699074984,0.000133812
1742909325933123350,0.000145803
1742909326167999983,0.000185586
1742909326402926683,0.000100003
1742909326637902975,0.000204559
1742909326872750998,0.00020871
1742909327107199669,0.000201098
1742909327341930866,0.00018167
1742909327576702356,0.000205839
1742909327811514378,0.000126561
1742909328045376062,0.000146954
1742909328277897596,0.000213287
1742909328510364532,0.000167492
1742909328742776155,0.00019004
1742909328975174427,0.00013572
1742909329207730055,0.000154874
1742909329440231562,0.00013969
1742909329672678709,0.000160117
1742909329905071735,0.000193434
1742909330138918877,0.00022479
1742909330373436928,0.000150173
1742909330607983589,0.000153769
1742909330842558861,0.000141916
1742909331076844454,0.000156383
1742909331309219122,0.000134537
1742909331541529894,0.000143706
1742909331773775578,0.000144959
1742909332005957603,0.000188927
1742909332238335133,0.000159301
1742909332470686436,0.000197627
1742909332702974081,0.00016177
1742909332935198069,0.000243662
1742909333168083906,0.000133474
1742909333401510954,0.000276757
1742909333634961605,0.000176829
1742909333868436337,0.000188542
