timestamp(ns),elapsed(s)
1742909311908153772,3.1328e-05
1742909312141445637,0.000111333
1742909312374726057,0.000176245
1742909312608031511,0.000122389
1742909312841348171,0.000178282
1742909313074654818,0.000210933
1742909313307951450,0.000228281
1742909313541252613,0.000198442
1742909313774573088,0.000181847
1742909314007883549,0.000103238
1742909314241183996,0.000103652
1742909314474477053,0.000116579
1742909314707791567,0.00020248
1742909314941095352,0.000180944
1742909315174389124,0.00014945
1742909315407672405,0.000212854
1742909315640953779,0.00018615
1742909315874225140,0.000291668
1742909316107483387,0.000327569
1742909316340728998,0.000210921
1742909316574499369,0.000208567
1742909316809597015,0.000204357
1742909317044759989,0.00017828
1742909317279988050,0.000166604
1742909317515274763,0.000227675
1742909317748321056,0.000232437
1742909317981339931,0.000293062
1742909318214331627,0.00016683
1742909318447296143,0.000347318
1742909318681381702,0.000176425
1742909318916054010,0.000210246
1742909319150836229,0.000167844
1742909319385727882,0.000337216
1742909319620030165,0.000229464
1742909319853337765,0.000180408
1742909320086633205,0.000170537
1742909320319917440,0.000221551
1742909320553231001,0.000263319
1742909320787950277,0.000258615
1742909321023176432,0.000415256
1742909321258472919,0.000409341
1742909321493839741,0.000265021
1742909321728294611,0.000349491
1742909321961422682,0.000415142
1742909322194529057,0.000251865
1742909322427613735,0.000224848
1742909322660691261,0.000371716
1742909322893832207,0.000305982
1742909323126952171,0.000358533
1742909323360050440,0.000344713
1742909323593127728,0.00034056
1742909323827292681,0.000333943
1742909324062365532,0.000325618
1742909324297499657,0.000350089
1742909324532695055,0.000288685
1742909324767632008,0.000331361
1742909325000542879,0.000359034
1742909325233420610,0.000327279
1742909325466264725,0.000345086
1742909325699074984,0.000367743
1742909325933123350,0.000330709
1742909326167999983,0.000353496
1742909326402926683,0.000477675
1742909326637902975,0.000577358
1742909326872750998,0.000528586
1742909327107199669,0.00041494
1742909327341930866,0.000531632
1742909327576702356,0.000435538
1742909327811514378,0.00045431
1742909328045376062,0.00057888
1742909328277897596,0.000624849
1742909328510364532,0.000841101
1742909328742776155,0.00052721
1742909328975174427,0.00063563
1742909329207730055,0.000618456
1742909329440231562,0.000715905
1742909329672678709,0.000729998
1742909329905071735,0.000579772
1742909330138918877,0.000898903
1742909330373436928,0.00120106
1742909330607983589,0.000664978
1742909330842558861,0.000800731
1742909331076844454,0.000837612
1742909331309219122,0.000893304
1742909331541529894,0.000613319
1742909331773775578,0.000718049
1742909332005957603,0.000883752
1742909332238335133,0.000908424
1742909332470686436,0.000717963
1742909332702974081,0.000682476
1742909332935198069,0.000721409
1742909333168083906,0.000716605
1742909333401510954,0.000827115
1742909333634961605,0.000947414
1742909333868436337,0.000839509
1742909334101679325,0.00071315
1742909334334258556,0.000665432
1742909334566784143,0.000721201
1742909334799256563,0.0010635
1742909335031679153,0.000837726
1742909335265691519,0.00090884
1742909335500180721,0.000779504
1742909335734696627,0.00102322
1742909335969238997,0.000898829
1742909336203188658,0.00135016
1742909336435571671,0.00123368
1742909336667890072,0.00087956
1742909336900144100,0.000800412
1742909337132337332,0.00132656
1742909337365758657,0.000799962
1742909337599203587,0.00108678
