timestamp(ns),elapsed(s)
1742909311908153772,1.423e-06
1742909312141445637,1.072e-06
1742909312374726057,8.78e-07
1742909312608031511,7.04e-07
1742909312841348171,1.146e-06
1742909313074654818,8.21e-07
1742909313307951450,4.24e-07
1742909313541252613,9.62e-07
1742909313774573088,1.005e-06
1742909314007883549,8.37e-07
1742909314241183996,8.61e-07
1742909314474477053,6.92e-07
1742909314707791567,1.025e-06
1742909314941095352,1.322e-06
1742909315174389124,7.61e-07
1742909315407672405,8.45e-07
1742909315640953779,1.303e-06
1742909315874225140,9.08e-07
1742909316107483387,1.25e-06
1742909316340728998,6.99e-07
1742909316574499369,8.66e-07
1742909316809597015,7.93e-07
1742909317044759989,9.89e-07
1742909317279988050,7.83e-07
1742909317515274763,8.52e-07
1742909317748321056,9.15e-07
1742909317981339931,9.79e-07
1742909318214331627,1.006e-06
1742909318447296143,1.09e-06
1742909318681381702,8.48e-07
1742909318916054010,8.64e-07
1742909319150836229,1.105e-06
1742909319385727882,1.172e-06
1742909319620030165,7.36e-07
1742909319853337765,1.256e-06
1742909320086633205,8.34e-07
1742909320319917440,6.52e-07
1742909320553231001,8.41e-07
1742909320787950277,1.054e-06
1742909321023176432,1.016e-06
1742909321258472919,9.77e-07
1742909321493839741,1.263e-06
1742909321728294611,7.67e-07
1742909321961422682,1.296e-06
1742909322194529057,9.57e-07
1742909322427613735,1.106e-06
1742909322660691261,8.32e-07
1742909322893832207,1.086e-06
1742909323126952171,9.87e-07
1742909323360050440,1.113e-06
1742909323593127728,8.04e-07
1742909323827292681,1.135e-06
1742909324062365532,8.46e-07
1742909324297499657,1.6241e-05
1742909324532695055,9.36e-07
1742909324767632008,8.26e-07
1742909325000542879,1.103e-06
1742909325233420610,1.082e-06
1742909325466264725,1.017e-06
1742909325699074984,7.53e-07
1742909325933123350,9.09e-07
1742909326167999983,1.1e-06
1742909326402926683,7.14e-07
1742909326637902975,1.292e-06
1742909326872750998,1.065e-06
1742909327107199669,1.309e-06
1742909327341930866,8.45e-07
1742909327576702356,1.703e-06
1742909327811514378,8.33e-07
1742909328045376062,8.74e-07
1742909328277897596,1.131e-06
1742909328510364532,8.71e-07
1742909328742776155,1.256e-06
1742909328975174427,7.95e-07
1742909329207730055,9.31e-07
1742909329440231562,9.37e-07
1742909329672678709,9.25e-07
1742909329905071735,1.138e-06
1742909330138918877,1.389e-06
1742909330373436928,9.52e-07
1742909330607983589,8.74e-07
1742909330842558861,9.88e-07
1742909331076844454,8.88e-07
1742909331309219122,1.154e-06
1742909331541529894,8.85e-07
1742909331773775578,9.52e-07
1742909332005957603,1.132e-06
1742909332238335133,1.025e-06
1742909332470686436,1.27e-06
1742909332702974081,9.45e-07
1742909332935198069,9.96e-07
1742909333168083906,8.18e-07
1742909333401510954,1.388e-06
1742909333634961605,1.24e-06
1742909333868436337,1.456e-06
