timestamp(ns),elapsed(s)
1742909315640953779,6.381e-05
1742909315874225140,2.663e-05
1742909316107483387,1.8267e-05
1742909316340728998,1.9743e-05
1742909316574499369,1.9419e-05
1742909316809597015,2.2115e-05
1742909317044759989,2.4257e-05
1742909317279988050,1.8649e-05
1742909317515274763,5.7872e-05
1742909317748321056,0.000114725
1742909317981339931,4.0357e-05
1742909318214331627,2.2292e-05
1742909318447296143,6.67e-05
1742909318681381702,2.8465e-05
1742909318916054010,1.214e-06
1742909319150836229,1.9232e-05
1742909319385727882,2.3512e-05
1742909319620030165,1.6769e-05
1742909319853337765,4.5872e-05
1742909320787950277,2.1844e-05
1742909321023176432,4.5228e-05
1742909321258472919,4.7536e-05
1742909321493839741,2.5406e-05
1742909321728294611,2.4331e-05
1742909321961422682,3.2585e-05
1742909322194529057,2.5611e-05
1742909322427613735,1.346e-06
1742909322660691261,2.077e-06
1742909322893832207,3.9909e-05
1742909323126952171,3.2295e-05
1742909323360050440,3.605e-05
1742909323593127728,7.0722e-05
1742909323827292681,2.9248e-05
1742909324062365532,3.3394e-05
1742909324297499657,2.9066e-05
1742909324532695055,3.0768e-05
1742909324767632008,2.7396e-05
1742909325000542879,2.8595e-05
1742909325233420610,2.714e-05
1742909325466264725,2.913e-05
1742909325699074984,1.7585e-05
1742909326167999983,1.7688e-05
1742909326402926683,2.055e-05
1742909326637902975,5.864e-05
1742909326872750998,4.9949e-05
1742909327107199669,4.9101e-05
1742909327341930866,5.6007e-05
1742909327576702356,3.2083e-05
1742909327811514378,3.2674e-05
1742909328045376062,3.5994e-05
1742909328277897596,6.0816e-05
1742909328510364532,4.3566e-05
1742909328742776155,3.6366e-05
1742909328975174427,4.0861e-05
1742909329207730055,3.1847e-05
1742909329440231562,3.0308e-05
1742909329672678709,3.3441e-05
1742909329905071735,3.3479e-05
1742909330138918877,3.8383e-05
1742909330373436928,5.5038e-05
1742909330607983589,4.5844e-05
1742909330842558861,7.1031e-05
1742909331076844454,3.3036e-05
1742909331541529894,4.2486e-05
1742909331773775578,2.6005e-05
1742909332005957603,3.4171e-05
1742909332238335133,4.9365e-05
1742909332470686436,1.8113e-05
1742909332702974081,2.7211e-05
1742909332935198069,1.8339e-05
1742909333168083906,2.567e-05
1742909333401510954,2.2753e-05
1742909333634961605,2.7818e-05
1742909333868436337,2.3872e-05
1742909334101679325,2.63e-05
1742909334334258556,2.4648e-05
1742909334566784143,2.8366e-05
1742909334799256563,6.7184e-05
1742909335031679153,3.7105e-05
1742909335265691519,3.5454e-05
1742909335500180721,2.9199e-05
1742909335734696627,5.8321e-05
1742909335969238997,4.5323e-05
1742909336203188658,4.5022e-05
1742909336435571671,5.5761e-05
1742909336900144100,6.7923e-05
1742909337132337332,3.0131e-05
1742909337365758657,2.6742e-05
