timestamp(ns),elapsed(s)
1681748609249603033,0.002448
1681748609483114004,0.00109079
1681748609716625452,0.00129208
1681748609950138569,0.00047916
1681748610183657169,0.000974317
1681748610417176962,0.000316944
1681748610650697708,0.00030717
1681748610884219885,0.000658
1681748611117723942,0.000435016
1681748611351227760,0.000110841
1681748611584731579,0.000417538
1681748611818235636,0.000304789
1681748612051738262,7.1479e-05
1681748612285240412,7.3723e-05
1681748612518742561,0.000267134
1681748612752244473,9.4462e-05
1681748612985746861,0.000145158
1681748613219249964,0.00019566
1681748613452752829,0.000143375
1681748613686255693,0.000401709
1681748613919758797,0.000385882
1681748614153264999,2.3169e-05
1681748614386771441,0.000261694
1681748614620278358,0.000373174
1681748614853785515,0.000228888
1681748615087287664,0.000234986
1681748615320788860,2.2793e-05
1681748615554290056,7.9308e-05
1681748615787791491,0.000197821
1681748616021289825,0.000303999
1681748616254785538,0.000119501
1681748616488281250,0.000204449
1681748616721776485,0.000343551
1681748616955273628,0.00095735
1681748617188777685,0.000369835
1681748617422281265,0.000649518
1681748617655785084,0.000499256
1681748617889288902,0.00064209
1681748618122800589,0.000902238
1681748618356312990,0.000781993
1681748618589825869,0.00104898
1681748618823339701,0.00109144
1681748619056843758,0.00130873
1681748619290343761,0.00136097
1681748619523843527,0.0012511
1681748619757343292,0.00173721
1681748619990838528,0.00126946
1681748620224327326,0.00123057
1681748620457815170,0.00188069
1681748620691302299,0.000927607
1681748620924737215,0.0018441
1681748621158980370,0.00153834
1681748621393255949,0.00164245
1681748621627563715,0.0016219
1681748621861904144,0.00287324
1681748622095662117,0.00213462
1681748622329081535,0.00269209
1681748622562496185,0.00306432
1681748622795906067,0.00237487
1681748623029320478,0.00278181
1681748623262745142,0.00249699
1681748623496164799,0.00216216
1681748623729580164,0.00207394
1681748623962992668,0.00271479
1681748624196420193,0.00232199
1681748624429843187,0.00182243
1681748624663261890,0.00209545
1681748624896676064,0.00332851
1681748625130104303,0.0019537
1681748625363533020,0.00344568
1681748625596957445,0.00237743
1681748625830378056,0.00318297
1681748626063805342,0.00205422
1681748626297238827,0.00194095
1681748626530668020,0.00230153
1681748626764093161,0.00252388
1681748626997517586,0.00271325
1681748627230947971,0.00244074
1681748627464374304,0.00145611
1681748627697796345,0.00147372
1681748627931212664,0.00181915
1681748628164646864,0.00138481
1681748628398077250,0.00244715
1681748628631502867,0.00197554
1681748628864924908,0.00300535
1681748629098357439,0.00237379
1681748629331794500,0.00152226
1681748629565227270,0.00149568
1681748629798656464,0.00261516
1681748630032084942,0.0031302
1681748630265513897,0.00298667
1681748630498938799,0.00235261
1681748630732359171,0.00236901
1681748630965777159,0.00224046
1681748631199209929,0.00246812
1681748631432638645,0.00155028
1681748631666063070,0.00267826
1681748631899483442,0.00224878
1681748632132906437,0.00297517
1681748632366326571,0.00228418
1681748632599741936,0.00226921
1681748632833152294,0.00262556
1681748633066572189,0.00213887
1681748633300000906,0.00261744
1681748633533425331,0.00265434
1681748633766845226,0.00216027
1681748634000267744,0.00258735
1681748634233710766,0.00273819
1681748634467150211,0.00263715
1681748634700585604,0.0024148
1681748634934016943,0.00341928
1681748635167460680,0.00185702
1681748635400901079,0.00434816
1681748635634337425,0.00319133
1681748635867769718,0.00350732
1681748636101193190,0.00336133
1681748636334608078,0.00228959
1681748636568017721,0.00235919
1681748636801422596,0.0017855
1681748637034974337,0.00162803
1681748637268821955,0.00304303
1681748637502702236,0.00301628
1681748637736614704,0.00287608
1681748637970525980,0.00235108
1681748638204026699,0.00303675
1681748638437527180,0.00207023
1681748638671027422,0.00299643
1681748638904527426,0.00374674
1681748639138030529,0.00498145
1681748639371534824,0.00331941
1681748639605039120,0.00587405
1681748639838543415,0.0035076
1681748640072048903,0.00346404
1681748640305555105,0.00375449
1681748640539062023,0.00262264
1681748640772568941,0.00310053
1681748641006057501,0.00422206
1681748641242299318,0.00420525
1681748641478661299,0.0033549
1681748641715143681,0.00412773
1681748641951746464,0.00496106
1681748642185541630,0.00452008
1681748642418845654,0.00359268
1681748642652137280,0.00353214
1681748642885416031,0.0040467
1681748643118675232,0.00396815
1681748643351911306,0.00553572
1681748643585131884,0.00519791
1681748643818336725,0.00469426
1681748644051541090,0.00538825
1681748644284761667,0.00416635
1681748644517965555,0.00556689
1681748644751152992,0.00436668
1681748644984325647,0.00301903
1681748645217558146,0.00381786
1681748645450774431,0.0043663
1681748645683974743,0.00490971
1681748645917158842,0.00492978
1681748646150377989,0.00413858
1681748646383599043,0.00463908
1681748646616804123,0.00408104
1681748646849992752,0.00427445
1681748647083358526,0.004328
1681748647317107677,0.00474999
1681748647550863028,0.00462475
1681748647784625053,0.00500642
1681748648018393517,0.00508921
1681748648251703739,0.00491209
1681748648484876156,0.0034973
1681748648718029737,0.00345008
1681748648951164007,0.00402049
1681748649184324265,0.00344432
1681748649417505264,0.00413718
1681748649650667667,0.0047783
1681748649883810997,0.00414563
1681748650116954803,0.00495843
1681748650350139856,0.0020743
1681748650583306313,0.00318674
1681748650816454172,0.00284009
1681748651049579144,0.00210466
1681748651282777309,0.00373222
1681748651515957355,0.00329638
1681748651749119282,0.00324608
1681748651982263088,0.00302779
1681748652215440035,0.00357644
1681748652448624372,0.00309245
1681748652681790113,0.00385583
1681748652914937019,0.0026232
1681748653148091555,0.00427821
1681748653381270170,0.00379864
1681748653614429951,0.00351699
1681748653847570181,0.00522296
1681748654080698490,0.00254281
1681748654313885212,0.00345483
1681748654547052622,0.00432641
1681748654780201197,0.00427798
1681748655013330460,0.00382949
1681748655246503353,0.00307263
1681748655479669094,0.003637
1681748655712815523,0.00398005
1681748655945942402,0.00517656
1681748656179097891,0.00389378
1681748656412279606,0.00429138
1681748656645442247,0.00321682
1681748656878585577,0.00341349
1681748657112069130,0.00319311
1681748657346814632,0.0023833
1681748657581677437,0.00281131
1681748657816657305,0.00238441
1681748658051843643,0.00313152
1681748658285289288,0.00280562
1681748658518731117,0.00114479
1681748658752169371,0.00312022
1681748658985604286,0.00265281
1681748659219059706,0.00252039
1681748659452525854,0.00203338
1681748659685989618,0.00324943
1681748659919451237,0.00283408
1681748660152910233,0.00245344
1681748660386365175,0.00136159
1681748660619817257,0.00135272
1681748660853265762,0.00148189
1681748661086711884,0.00197413
1681748661320157290,0.00326667
1681748661553598881,0.00399229
1681748661787036896,0.00585669
1681748662020471334,0.00516779
1681748662253910780,0.00314059
1681748662487348318,0.00282915
1681748662720782518,0.00264451
1681748662954212666,0.00339499
1681748663188529968,0.00205044
1681748663425057173,0.00277089
1681748663661727428,0.00401607
1681748663898540974,0.00259838
1681748664135390043,0.00378782
1681748664368629932,0.00297724
1681748664601854086,0.00269116
1681748664835062265,0.00407294
1681748665068254948,0.00337297
1681748665301477194,0.0041659
1681748665534688950,0.00399588
1681748665767884254,0.00390303
1681748666001063347,0.00435843
1681748666234256506,0.00507355
1681748666467470169,0.00589402
1681748666700667143,0.00338367
1681748666933847427,0.00486686
1681748667167026520,0.00479469
1681748667400254011,0.00386142
1681748667633464813,0.00503967
1681748667866659403,0.00254406
1681748668099829435,0.00437515
1681748668333080769,0.00493441
1681748668566316843,0.00564924
1681748668799537897,0.00566168
1681748669032743692,0.00364249
1681748669265967369,0.00392555
1681748669499194622,0.00532773
1681748669732405901,0.00528487
1681748669965601444,0.00490739
1681748670198810577,0.00355464
1681748670432065487,0.00372287
1681748670665305138,0.00409579
1681748670898530006,0.00593166
1681748671131742239,0.00739353
1681748671364975214,0.00784842
1681748671598191977,0.00493097
1681748671831392288,0.0057217
1681748672064576387,0.00442279
1681748672297803402,0.00512111
1681748672531034231,0.00549156
1681748672764249325,0.00483149
1681748672997448683,0.00475505
1681748673230662823,0.00380837
1681748673463896275,0.00401452
1681748673697113276,0.00361742
1681748673930314779,0.00492256
1681748674163510084,0.00337316
1681748674396734953,0.00416829
1681748674629942894,0.00332443
1681748674863134623,0.00354891
1681748675096302271,0.00416272
