timestamp(ns),elapsed(s)
1681748609249603033,0.00798626
1681748609483114004,0.00342129
1681748609716625452,0.00574265
1681748609950138569,0.00159165
1681748610183657169,0.00422855
1681748610417176962,0.00160849
1681748610650697708,0.00188134
1681748610884219885,0.00255806
1681748611117723942,0.00188384
1681748611351227760,0.000922921
1681748611584731579,0.00197811
1681748611818235636,0.00163671
1681748612051738262,0.0008901
1681748612285240412,0.000874906
1681748612518742561,0.00138034
1681748612752244473,0.000929116
1681748612985746861,0.000982084
1681748613219249964,0.00143301
1681748613452752829,0.00103287
1681748613686255693,0.00179788
1681748613919758797,0.00231606
1681748614153264999,0.000814903
1681748614386771441,0.00144617
1681748614620278358,0.00185555
1681748614853785515,0.0015556
1681748615087287664,0.00129572
1681748615320788860,0.000849481
1681748615554290056,0.000913495
1681748615787791491,0.00127486
1681748616021289825,0.00160315
1681748616254785538,0.000928992
1681748616488281250,0.00117014
1681748616721776485,0.00168112
1681748616955273628,0.00268856
1681748617188777685,0.00203277
1681748617422281265,0.00242779
1681748617655785084,0.00223003
1681748617889288902,0.00295427
1681748618122800589,0.00346568
1681748618356312990,0.00376871
1681748618589825869,0.00478171
1681748618823339701,0.00455671
1681748619056843758,0.0051852
1681748619290343761,0.00737364
1681748619523843527,0.005512
1681748619757343292,0.00767487
1681748619990838528,0.00496762
1681748620224327326,0.00453602
1681748620457815170,0.00744406
1681748620691302299,0.00351717
1681748620924737215,0.00781894
1681748621158980370,0.00548069
1681748621393255949,0.00596737
1681748621627563715,0.00613558
1681748621861904144,0.0120225
1681748622095662117,0.00803482
1681748622329081535,0.00976127
1681748622562496185,0.0132833
1681748622795906067,0.00962105
1681748623029320478,0.0108302
1681748623262745142,0.00990574
1681748623496164799,0.0082217
1681748623729580164,0.00845942
1681748623962992668,0.0105457
1681748624196420193,0.00849376
1681748624429843187,0.00723035
1681748624663261890,0.00646558
1681748624896676064,0.0131607
1681748625130104303,0.0075338
1681748625363533020,0.0124848
1681748625596957445,0.00914118
1681748625830378056,0.0112521
1681748626063805342,0.0080488
1681748626297238827,0.00848342
1681748626530668020,0.00829529
1681748626764093161,0.0106667
1681748626997517586,0.0104201
1681748627230947971,0.00969789
1681748627464374304,0.00577765
1681748627697796345,0.00513326
1681748627931212664,0.0075794
1681748628164646864,0.0052671
1681748628398077250,0.00995475
1681748628631502867,0.0065556
1681748628864924908,0.0104931
1681748629098357439,0.00895641
1681748629331794500,0.00607988
1681748629565227270,0.0051566
1681748629798656464,0.0107329
1681748630032084942,0.0129711
1681748630265513897,0.0106226
1681748630498938799,0.01019
1681748630732359171,0.0127798
1681748630965777159,0.00760789
1681748631199209929,0.00955974
1681748631432638645,0.00523844
1681748631666063070,0.0121509
1681748631899483442,0.00839543
1681748632132906437,0.00814464
1681748632366326571,0.0064514
1681748632599741936,0.00873057
1681748632833152294,0.0108077
1681748633066572189,0.00687926
1681748633300000906,0.0100571
1681748633533425331,0.00964282
1681748633766845226,0.0082786
1681748634000267744,0.00744325
1681748634233710766,0.0087197
1681748634467150211,0.00984589
1681748634700585604,0.00941663
1681748634934016943,0.0120237
1681748635167460680,0.00549907
1681748635400901079,0.00995416
1681748635634337425,0.0104326
1681748635867769718,0.0128011
1681748636101193190,0.0124331
1681748636334608078,0.00742512
1681748636568017721,0.0097971
1681748636801422596,0.00744094
1681748637034974337,0.00571693
1681748637268821955,0.00973118
1681748637502702236,0.00986859
1681748637736614704,0.0107971
1681748637970525980,0.00805393
1681748638204026699,0.0108621
1681748638437527180,0.0077748
1681748638671027422,0.0114739
1681748638904527426,0.0137338
1681748639138030529,0.0144351
1681748639371534824,0.0139204
1681748639605039120,0.0211767
1681748639838543415,0.012576
1681748640072048903,0.0125441
1681748640305555105,0.0116492
1681748640539062023,0.00945953
1681748640772568941,0.0110801
1681748641006057501,0.0191041
1681748641242299318,0.0153902
1681748641478661299,0.0117507
1681748641715143681,0.0146565
1681748641951746464,0.01664
1681748642185541630,0.0170571
1681748642418845654,0.013919
1681748642652137280,0.0129668
1681748642885416031,0.0167762
1681748643118675232,0.0150046
1681748643351911306,0.0198275
1681748643585131884,0.018761
1681748643818336725,0.0176756
1681748644051541090,0.0188699
1681748644284761667,0.0148838
1681748644517965555,0.0166045
1681748644751152992,0.0118486
