timestamp(ns),elapsed(s)
1681748609249603033,0.000114443
1681748609483114004,5.1564e-05
1681748609716625452,4.1056e-05
1681748609950138569,2.6945e-05
1681748610183657169,2.4814e-05
1681748610417176962,9.949e-06
1681748610650697708,1.0425e-05
1681748610884219885,2.0804e-05
1681748611117723942,1.4612e-05
1681748611351227760,3.264e-06
1681748611584731579,1.3874e-05
1681748611818235636,1.1913e-05
1681748612051738262,2.068e-06
1681748612285240412,3.428e-06
1681748612518742561,9.266e-06
1681748612752244473,2.952e-06
1681748612985746861,5.185e-06
1681748613219249964,8.56e-06
1681748613452752829,5.004e-06
1681748613686255693,1.436e-05
1681748613919758797,1.4242e-05
1681748614153264999,1.098e-06
1681748614386771441,7.615e-06
1681748614620278358,1.3284e-05
1681748614853785515,1.1143e-05
1681748615087287664,7.783e-06
1681748615320788860,1.047e-06
1681748615554290056,1.727e-06
1681748615787791491,6.029e-06
1681748616021289825,1.1491e-05
1681748616254785538,1.475e-06
1681748616488281250,6.17e-06
1681748616721776485,1.2666e-05
1681748616955273628,2.1956e-05
1681748617188777685,1.604e-05
1681748617422281265,2.8728e-05
1681748617655785084,1.7019e-05
1681748617889288902,2.2932e-05
1681748618122800589,3.0583e-05
1681748618356312990,3.088e-05
1681748618589825869,3.2378e-05
1681748618823339701,3.6665e-05
1681748619056843758,4.2018e-05
1681748619290343761,5.0724e-05
1681748619523843527,5.2463e-05
1681748619757343292,6.5476e-05
1681748619990838528,4.228e-05
1681748620224327326,4.8879e-05
1681748620457815170,6.1583e-05
1681748620691302299,3.6509e-05
1681748620924737215,6.8981e-05
1681748621158980370,5.3855e-05
1681748621393255949,6.2995e-05
1681748621627563715,0.000131313
1681748621861904144,0.000106953
1681748622095662117,7.2819e-05
1681748622329081535,9.9354e-05
1681748622562496185,9.6438e-05
1681748622795906067,8.3075e-05
1681748623029320478,9.0035e-05
1681748623262745142,9.5692e-05
1681748623496164799,7.3443e-05
1681748623729580164,5.6785e-05
1681748623962992668,8.927e-05
1681748624196420193,8.2883e-05
1681748624429843187,6.2563e-05
1681748624663261890,5.9597e-05
1681748624896676064,0.000100888
1681748625130104303,6.7062e-05
1681748625363533020,0.000155352
1681748625596957445,8.4133e-05
1681748625830378056,0.000143324
