timestamp(ns),elapsed(s)
1681748609249603033,0.0021565
1681748609483114004,0.00235777
1681748609716625452,0.00242808
1681748609950138569,0.00204501
1681748610183657169,0.00218322
1681748610417176962,0.00213317
1681748610650697708,0.00254533
1681748610884219885,0.00200009
1681748611117723942,0.00201168
1681748611351227760,0.00195785
1681748611584731579,0.0020654
1681748611818235636,0.00198144
1681748612051738262,0.00199082
1681748612285240412,0.00218812
1681748612518742561,0.00203899
1681748612752244473,0.00185246
1681748612985746861,0.00211993
1681748613219249964,0.00223473
1681748613452752829,0.00207264
1681748613686255693,0.00220027
1681748613919758797,0.00236039
1681748614153264999,0.00217378
1681748614386771441,0.00203949
1681748614620278358,0.00230653
1681748614853785515,0.00244587
1681748615087287664,0.0020291
1681748615320788860,0.0020862
1681748615554290056,0.00201643
1681748615787791491,0.00203349
1681748616021289825,0.00207371
1681748616254785538,0.00222782
1681748616488281250,0.00207242
1681748616721776485,0.00201887
1681748616955273628,0.00222814
1681748617188777685,0.00228764
1681748617422281265,0.00221481
1681748617655785084,0.00221311
1681748617889288902,0.00221894
1681748618122800589,0.00203356
1681748618356312990,0.00212112
1681748618589825869,0.00241444
1681748618823339701,0.00205675
1681748619056843758,0.00205281
1681748619290343761,0.00213894
1681748619523843527,0.0022479
1681748619757343292,0.00233182
1681748619990838528,0.00232392
1681748620224327326,0.00237682
1681748620457815170,0.00242431
1681748620691302299,0.00225455
1681748620924737215,0.00234461
1681748621158980370,0.00223198
1681748621393255949,0.00190849
1681748621627563715,0.00191938
1681748621861904144,0.00317307
1681748622095662117,0.00239373
1681748622329081535,0.00221414
1681748622562496185,0.00328039
1681748622795906067,0.00234773
1681748623029320478,0.00240811
1681748623262745142,0.00248714
1681748623496164799,0.00214865
1681748623729580164,0.00212254
1681748623962992668,0.00245732
1681748624196420193,0.00202459
1681748624429843187,0.00224851
1681748624663261890,0.00250746
1681748624896676064,0.00254221
1681748625130104303,0.00237177
1681748625363533020,0.00227555
1681748625596957445,0.00230051
1681748625830378056,0.00245764
1681748626063805342,0.00215174
1681748626297238827,0.00214711
1681748626530668020,0.00235756
1681748626764093161,0.00205743
1681748626997517586,0.00215459
1681748627230947971,0.00186539
1681748627464374304,0.00200368
1681748627697796345,0.00221111
1681748627931212664,0.00203858
1681748628164646864,0.00201767
1681748628398077250,0.00172742
1681748628631502867,0.00175549
1681748628864924908,0.00202734
1681748629098357439,0.00195186
1681748629331794500,0.00190715
1681748629565227270,0.00190839
1681748629798656464,0.00192955
1681748630032084942,0.00183662
1681748630265513897,0.0020515
1681748630498938799,0.00178535
1681748630732359171,0.00223254
1681748630965777159,0.00240353
1681748631199209929,0.00187958
1681748631432638645,0.00216062
1681748631666063070,0.00193319
1681748631899483442,0.00203865
1681748632132906437,0.00218862
1681748632366326571,0.00214009
1681748632599741936,0.00238445
1681748632833152294,0.00188308
1681748633066572189,0.00188464
1681748633300000906,0.00186553
1681748633533425331,0.00200289
1681748633766845226,0.00189504
1681748634000267744,0.00184289
1681748634233710766,0.00199323
1681748634467150211,0.00192511
1681748634700585604,0.00193003
1681748634934016943,0.00184459
1681748635167460680,0.00172969
1681748635400901079,0.00192941
1681748635634337425,0.0021815
1681748635867769718,0.00232544
1681748636101193190,0.00199792
1681748636334608078,0.0018939
1681748636568017721,0.00247849
1681748636801422596,0.00505741
1681748637034974337,0.00249411
1681748637268821955,0.00255837
1681748637502702236,0.00225807
1681748637736614704,0.00257953
1681748637970525980,0.00215247
1681748638204026699,0.0022952
1681748638437527180,0.00247759
1681748638671027422,0.00249433
1681748638904527426,0.00233999
1681748639138030529,0.00249266
1681748639371534824,0.00267065
1681748639605039120,0.00209796
1681748639838543415,0.0022384
1681748640072048903,0.00215389
1681748640305555105,0.00220621
1681748640539062023,0.00262832
1681748640772568941,0.00247441
1681748641006057501,0.00310715
1681748641242299318,0.00236299
1681748641478661299,0.0024262
1681748641715143681,0.00242689
1681748641951746464,0.00228379
1681748642185541630,0.00207782
1681748642418845654,0.00236256
1681748642652137280,0.00261041
1681748642885416031,0.00236516
1681748643118675232,0.00234662
1681748643351911306,0.00233168
1681748643585131884,0.00280742
1681748643818336725,0.00497909
1681748644051541090,0.00249591
1681748644284761667,0.00271967
1681748644517965555,0.00243098
1681748644751152992,0.00238407
1681748644984325647,0.00247383
1681748645217558146,0.00228809
1681748645450774431,0.00217044
1681748645683974743,0.00459073
1681748645917158842,0.00263416
1681748646150377989,0.00303138
1681748646383599043,0.00239772
1681748646616804123,0.00207634
1681748646849992752,0.00480595
1681748647083358526,0.00237353
1681748647317107677,0.00225954
1681748647550863028,0.00507138
1681748647784625053,0.00490964
1681748648018393517,0.00209657
1681748648251703739,0.00221491
1681748648484876156,0.00214701
1681748648718029737,0.00209025
1681748648951164007,0.00468563
1681748649184324265,0.00187697
1681748649417505264,0.00213907
1681748649650667667,0.00240464
1681748649883810997,0.00203601
1681748650116954803,0.00201021
1681748650350139856,0.00192973
1681748650583306313,0.00213476
1681748650816454172,0.00231804
1681748651049579144,0.00197566
1681748651282777309,0.00240579
1681748651515957355,0.00214106
1681748651749119282,0.0019759
1681748651982263088,0.00191636
1681748652215440035,0.00230583
1681748652448624372,0.00217219
1681748652681790113,0.0023242
1681748652914937019,0.00240703
1681748653148091555,0.00237073
1681748653381270170,0.00210934
1681748653614429951,0.00237874
1681748653847570181,0.00194888
1681748654080698490,0.00220969
1681748654313885212,0.00206843
1681748654547052622,0.00242528
1681748654780201197,0.00216753
1681748655013330460,0.00226029
1681748655246503353,0.00195324
1681748655479669094,0.00222716
1681748655712815523,0.00582954
1681748655945942402,0.00246582
1681748656179097891,0.00205462
1681748656412279606,0.00212649
1681748656645442247,0.00205392
1681748656878585577,0.00164606
1681748657112069130,0.00179959
1681748657346814632,0.00475542
1681748657581677437,0.00205474
1681748657816657305,0.00205502
1681748658051843643,0.00205181
1681748658285289288,0.00213502
1681748658518731117,0.00199199
1681748658752169371,0.00441961
1681748658985604286,0.00217744
1681748659219059706,0.0026573
1681748659452525854,0.00529322
1681748659685989618,0.00264494
1681748659919451237,0.0022671
1681748660152910233,0.00315325
1681748660386365175,0.00257153
1681748660619817257,0.00229268
1681748660853265762,0.00265153
1681748661086711884,0.00276071
1681748661320157290,0.00266119
1681748661553598881,0.00270432
1681748661787036896,0.00225002
1681748662020471334,0.00261795
1681748662253910780,0.00220341
1681748662487348318,0.0024414
1681748662720782518,0.00233979
1681748662954212666,0.00224058
1681748663188529968,0.002034
1681748663425057173,0.00235513
1681748663661727428,0.00237283
1681748663898540974,0.0021174
1681748664135390043,0.00503738
1681748664368629932,0.00200808
1681748664601854086,0.00486376
1681748664835062265,0.00236952
1681748665068254948,0.00198037
1681748665301477194,0.00256191
1681748665534688950,0.00223849
1681748665767884254,0.0020065
1681748666001063347,0.00207739
1681748666234256506,0.00241725
1681748666467470169,0.00216283
1681748666700667143,0.00228086
1681748666933847427,0.00285575
1681748667167026520,0.00280686
1681748667400254011,0.00246729
1681748667633464813,0.00217485
1681748667866659403,0.0026862
1681748668099829435,0.00232768
1681748668333080769,0.00213607
1681748668566316843,0.00252401
1681748668799537897,0.0029425
1681748669032743692,0.00236141
1681748669265967369,0.00248367
1681748669499194622,0.00261687
1681748669732405901,0.00223977
1681748669965601444,0.00232465
1681748670198810577,0.00234737
1681748670432065487,0.00275496
1681748670665305138,0.00290383
1681748670898530006,0.00278201
1681748671131742239,0.00270658
1681748671364975214,0.00252172
1681748671598191977,0.00242285
1681748671831392288,0.00264181
1681748672064576387,0.00246176
1681748672297803402,0.00260231
1681748672531034231,0.00283501
1681748672764249325,0.00267704
1681748672997448683,0.00321423
1681748673230662823,0.00258313
1681748673463896275,0.00262472
1681748673697113276,0.00239742
1681748673930314779,0.00288056
1681748674163510084,0.00319287
1681748674396734953,0.00292576
1681748674629942894,0.00288274
1681748674863134623,0.00277383
1681748675096302271,0.00272169
1681748675329537630,0.00240827
1681748675562756777,0.00229993
1681748675795959949,0.00289923
1681748676029147148,0.00282865
1681748676262368917,0.00248072
1681748676495606899,0.00257134
1681748676728829384,0.00270101
1681748676962036371,0.00305277
1681748677195251942,0.00216852
1681748677428501606,0.00248993
1681748677661735773,0.00253867
1681748677894954920,0.00327836
1681748678128160238,0.00343083
1681748678361392736,0.00298511
1681748678594608784,0.00295094
1681748678827808619,0.00342859
1681748679060991764,0.00313177
