timestamp(ns),elapsed(s)
1681748609249603033,0.00485825
1681748609483114004,0.00214804
1681748609716625452,0.0043388
1681748609950138569,0.000999671
1681748610183657169,0.00314592
1681748610417176962,0.00118158
1681748610650697708,0.00133876
1681748610884219885,0.00178746
1681748611117723942,0.00133331
1681748611351227760,0.000694041
1681748611584731579,0.00144631
1681748611818235636,0.00121241
1681748612051738262,0.000697304
1681748612285240412,0.000685764
1681748612518742561,0.000996847
1681748612752244473,0.000717146
1681748612985746861,0.000720022
1681748613219249964,0.0011204
1681748613452752829,0.000771321
1681748613686255693,0.00126036
1681748613919758797,0.00181151
1681748614153264999,0.000656678
1681748614386771441,0.00104711
1681748614620278358,0.00134698
1681748614853785515,0.00118867
1681748615087287664,0.000935872
1681748615320788860,0.000696915
1681748615554290056,0.000705425
1681748615787791491,0.000949098
1681748616021289825,0.00116064
1681748616254785538,0.000673741
1681748616488281250,0.000839721
1681748616721776485,0.00121653
1681748616955273628,0.00160443
1681748617188777685,0.00153778
1681748617422281265,0.00164189
1681748617655785084,0.00158746
1681748617889288902,0.00217269
1681748618122800589,0.00242426
1681748618356312990,0.00282828
1681748618589825869,0.00357028
1681748618823339701,0.00331763
1681748619056843758,0.00372144
1681748619290343761,0.00585459
1681748619523843527,0.00409655
1681748619757343292,0.00574302
1681748619990838528,0.00352381
1681748620224327326,0.00312158
1681748620457815170,0.00536213
1681748620691302299,0.0023971
1681748620924737215,0.00577158
1681748621158980370,0.00372288
1681748621393255949,0.00413426
1681748621627563715,0.00421712
1681748621861904144,0.00892514
1681748622095662117,0.00568078
1681748622329081535,0.00683478
1681748622562496185,0.00999013
1681748622795906067,0.00700059
1681748623029320478,0.00779704
1681748623262745142,0.00716532
1681748623496164799,0.00576714
1681748623729580164,0.00612787
1681748623962992668,0.0075576
1681748624196420193,0.0059129
1681748624429843187,0.00516035
1681748624663261890,0.00408283
1681748624896676064,0.0095496
1681748625130104303,0.00529506
1681748625363533020,0.00871883
1681748625596957445,0.00645594
1681748625830378056,0.00778901
1681748626063805342,0.0056984
1681748626297238827,0.00625818
1681748626530668020,0.00569921
1681748626764093161,0.00783954
1681748626997517586,0.00738231
1681748627230947971,0.00695209
1681748627464374304,0.00398549
1681748627697796345,0.00327196
1681748627931212664,0.00538783
1681748628164646864,0.00354631
1681748628398077250,0.00718472
1681748628631502867,0.00421265
1681748628864924908,0.00697645
1681748629098357439,0.00593101
1681748629331794500,0.00419494
1681748629565227270,0.00329358
1681748629798656464,0.00774057
1681748630032084942,0.00946013
1681748630265513897,0.00724538
1681748630498938799,0.00728045
1681748630732359171,0.00958806
1681748630965777159,0.00495026
1681748631199209929,0.00669602
1681748631432638645,0.00328186
1681748631666063070,0.00906404
1681748631899483442,0.00562021
1681748632132906437,0.00410724
1681748632366326571,0.00370437
1681748632599741936,0.00600248
1681748632833152294,0.00774803
1681748633066572189,0.00429108
1681748633300000906,0.00690348
1681748633533425331,0.00655507
1681748633766845226,0.00501911
1681748634000267744,0.00437641
1681748634233710766,0.00549459
1681748634467150211,0.00675573
1681748634700585604,0.00653474
1681748634934016943,0.00806364
1681748635167460680,0.00318135
1681748635400901079,0.00440206
1681748635634337425,0.00669836
1681748635867769718,0.00875079
1681748636101193190,0.00858789
1681748636334608078,0.00463364
1681748636568017721,0.00687822
