timestamp(ns),elapsed(s)
1681748609249603033,0.00733585
1681748609483114004,0.00327811
1681748609716625452,0.00565318
1681748609950138569,0.00150606
1681748610183657169,0.00414456
1681748610417176962,0.00152462
1681748610650697708,0.00167928
1681748610884219885,0.00246925
1681748611117723942,0.00179418
1681748611351227760,0.000837504
1681748611584731579,0.00189207
1681748611818235636,0.00154594
1681748612051738262,0.000803093
1681748612285240412,0.000788465
1681748612518742561,0.00129335
1681748612752244473,0.000844816
1681748612985746861,0.000893903
1681748613219249964,0.00134785
1681748613452752829,0.000948226
1681748613686255693,0.00168831
1681748613919758797,0.0022265
1681748614153264999,0.000717867
1681748614386771441,0.00134035
1681748614620278358,0.00175068
1681748614853785515,0.00145851
1681748615087287664,0.00120514
1681748615320788860,0.000758414
1681748615554290056,0.000824814
1681748615787791491,0.00118294
1681748616021289825,0.00149956
1681748616254785538,0.000828403
1681748616488281250,0.00107696
1681748616721776485,0.00159088
1681748616955273628,0.00259096
1681748617188777685,0.00193725
1681748617422281265,0.00232494
1681748617655785084,0.0021229
1681748617889288902,0.0028491
1681748618122800589,0.00336108
1681748618356312990,0.00366016
1681748618589825869,0.00466136
1681748618823339701,0.00444607
1681748619056843758,0.00507066
1681748619290343761,0.00725901
1681748619523843527,0.00538938
1681748619757343292,0.00753271
1681748619990838528,0.00484878
1681748620224327326,0.00441346
1681748620457815170,0.00732482
1681748620691302299,0.00338935
1681748620924737215,0.00768819
1681748621158980370,0.00535094
1681748621393255949,0.00585336
1681748621627563715,0.00593283
1681748621861904144,0.011881
1681748622095662117,0.0078964
1681748622329081535,0.00962323
1681748622562496185,0.0131446
1681748622795906067,0.00948036
1681748623029320478,0.0106862
1681748623262745142,0.00976423
1681748623496164799,0.00804105
1681748623729580164,0.00830834
1681748623962992668,0.0104096
1681748624196420193,0.00836038
1681748624429843187,0.00710111
1681748624663261890,0.00631613
1681748624896676064,0.0130083
1681748625130104303,0.00738471
1681748625363533020,0.012324
1681748625596957445,0.0090099
1681748625830378056,0.0111248
1681748626063805342,0.00791766
1681748626297238827,0.00835804
1681748626530668020,0.00816045
1681748626764093161,0.0105408
1681748626997517586,0.0102752
1681748627230947971,0.00957267
1681748627464374304,0.00563158
1681748627697796345,0.00496467
1681748627931212664,0.00743083
1681748628164646864,0.00514772
1681748628398077250,0.00983795
1681748628631502867,0.00641778
1681748628864924908,0.0102127
1681748629098357439,0.00851972
1681748629331794500,0.00594311
1681748629565227270,0.00503274
1681748629798656464,0.0106028
1681748630032084942,0.0128306
1681748630265513897,0.0104829
1681748630498938799,0.00988257
1681748630732359171,0.0122261
1681748630965777159,0.00745088
1681748631199209929,0.00943188
1681748631432638645,0.00510003
1681748631666063070,0.0120171
1681748631899483442,0.0081266
1681748632132906437,0.00735603
1681748632366326571,0.00628758
1681748632599741936,0.00856428
1681748632833152294,0.010674
1681748633066572189,0.0067328
1681748633300000906,0.00987545
1681748633533425331,0.00952371
1681748633766845226,0.00747297
1681748634000267744,0.00731279
1681748634233710766,0.00858527
1681748634467150211,0.00971858
1681748634700585604,0.00929101
1681748634934016943,0.0118357
1681748635167460680,0.00536772
1681748635400901079,0.00906107
1681748635634337425,0.0102191
1681748635867769718,0.0125824
1681748636101193190,0.0122989
1681748636334608078,0.00729361
1681748636568017721,0.00959695
1681748636801422596,0.00730187
1681748637034974337,0.00505801
1681748637268821955,0.00943885
1681748637502702236,0.0097211
1681748637736614704,0.0106454
1681748637970525980,0.00789185
1681748638204026699,0.0107015
1681748638437527180,0.00763346
1681748638671027422,0.0109046
1681748638904527426,0.013363
1681748639138030529,0.014239
1681748639371534824,0.0137722
1681748639605039120,0.0210334
1681748639838543415,0.0124396
1681748640072048903,0.0123063
1681748640305555105,0.0114674
1681748640539062023,0.0092876
1681748640772568941,0.0105315
1681748641006057501,0.0186486
1681748641242299318,0.0152401
1681748641478661299,0.0115973
1681748641715143681,0.0145091
1681748641951746464,0.0164691
1681748642185541630,0.0169003
1681748642418845654,0.013736
1681748642652137280,0.012808
1681748642885416031,0.0157025
1681748643118675232,0.0144839
1681748643351911306,0.019686
1681748643585131884,0.0186002
1681748643818336725,0.0175083
1681748644051541090,0.0187126
1681748644284761667,0.0147126
1681748644517965555,0.0162852
1681748644751152992,0.0114724
1681748644984325647,0.00966997
1681748645217558146,0.0136258
1681748645450774431,0.015316
1681748645683974743,0.0159712
1681748645917158842,0.0157529
1681748646150377989,0.0104194
1681748646383599043,0.0145833
1681748646616804123,0.0155268
1681748646849992752,0.01513
1681748647083358526,0.0155561
1681748647317107677,0.0176955
1681748647550863028,0.0169621
1681748647784625053,0.018648
