timestamp(ns),elapsed(s)
1681748609249603033,0.000627432
1681748609483114004,0.000135756
1681748609716625452,8.4899e-05
1681748609950138569,8.2031e-05
1681748610183657169,8.0107e-05
1681748610417176962,8.022e-05
1681748610650697708,0.000194208
1681748610884219885,8.4964e-05
1681748611117723942,8.532e-05
1681748611351227760,8.1641e-05
1681748611584731579,8.24e-05
1681748611818235636,8.6968e-05
1681748612051738262,8.336e-05
1681748612285240412,8.2794e-05
1681748612518742561,8.2616e-05
1681748612752244473,8.0647e-05
1681748612985746861,8.4335e-05
1681748613219249964,8.1482e-05
1681748613452752829,8.0498e-05
1681748613686255693,0.000104276
1681748613919758797,8.5603e-05
1681748614153264999,9.2159e-05
1681748614386771441,0.00010178
1681748614620278358,9.9787e-05
1681748614853785515,8.6194e-05
1681748615087287664,8.6476e-05
1681748615320788860,8.657e-05
1681748615554290056,8.4475e-05
1681748615787791491,8.7633e-05
1681748616021289825,9.9068e-05
1681748616254785538,9.6738e-05
1681748616488281250,8.8906e-05
1681748616721776485,8.6368e-05
1681748616955273628,9.3547e-05
1681748617188777685,9.1484e-05
1681748617422281265,9.8669e-05
1681748617655785084,0.00010273
1681748617889288902,0.000100804
1681748618122800589,0.000100958
1681748618356312990,0.000103767
1681748618589825869,0.000115754
1681748618823339701,0.000107201
1681748619056843758,0.000110592
1681748619290343761,0.000110965
1681748619523843527,0.000118435
1681748619757343292,0.000130961
1681748619990838528,0.000114022
1681748620224327326,0.000118407
1681748620457815170,0.000114699
1681748620691302299,0.000123782
1681748620924737215,0.000126489
1681748621158980370,0.000124811
1681748621393255949,0.000109578
1681748621627563715,0.000196824
1681748621861904144,0.000136851
1681748622095662117,0.000133221
1681748622329081535,0.000133123
1681748622562496185,0.00013449
1681748622795906067,0.00013567
1681748623029320478,0.000139529
1681748623262745142,0.000135733
1681748623496164799,0.000175683
1681748623729580164,0.000146369
1681748623962992668,0.000131279
1681748624196420193,0.000128449
1681748624429843187,0.000125127
1681748624663261890,0.000143691
1681748624896676064,0.000141725
1681748625130104303,0.000143514
1681748625363533020,0.000155905
1681748625596957445,0.000125725
1681748625830378056,0.000119153
1681748626063805342,0.000126015
1681748626297238827,0.000120842
1681748626530668020,0.00012896
1681748626764093161,0.000121349
1681748626997517586,0.00013944
1681748627230947971,0.000120721
1681748627464374304,0.000121448
1681748627697796345,0.000130826
1681748627931212664,0.00014391
1681748628164646864,0.000114634
1681748628398077250,0.000111172
1681748628631502867,0.000127919
1681748628864924908,0.000133413
1681748629098357439,0.000122645
1681748629331794500,0.000132408
1681748629565227270,0.000118431
1681748629798656464,0.00012458
1681748630032084942,0.000126507
1681748630265513897,0.000124495
1681748630498938799,0.000120394
1681748630732359171,0.000156303
1681748630965777159,0.00015131
1681748631199209929,0.000122965
1681748631432638645,0.000133242
1681748631666063070,0.000117442
1681748631899483442,0.000139185
1681748632132906437,0.000134643
1681748632366326571,0.000158975
1681748632599741936,0.000160215
1681748632833152294,0.000128618
1681748633066572189,0.000134302
1681748633300000906,0.000111472
1681748633533425331,0.000114531
1681748633766845226,0.000154644
1681748634000267744,0.000124641
1681748634233710766,0.000129094
1681748634467150211,0.000112639
1681748634700585604,0.00012037
1681748634934016943,0.000120065
1681748635167460680,0.000122452
1681748635400901079,0.000123445
1681748635634337425,0.000205048
1681748635867769718,0.000211884
1681748636101193190,0.00012441
1681748636334608078,0.00012619
1681748636568017721,0.000164674
1681748636801422596,0.000122599
1681748637034974337,0.000143719
1681748637268821955,0.000140071
1681748637502702236,0.000142254
1681748637736614704,0.00014436
1681748637970525980,0.000156377
1681748638204026699,0.000138081
1681748638437527180,0.000128614
1681748638671027422,0.000130569
1681748638904527426,0.000146625
1681748639138030529,0.000188377
1681748639371534824,0.000142429
1681748639605039120,0.00013744
