timestamp(ns),elapsed(s)
1681748609249603033,0.0212415
1681748609483114004,0.0223549
1681748609716625452,0.0181833
1681748609950138569,0.0154329
1681748610183657169,0.01658
1681748610417176962,0.0155012
1681748610650697708,0.0311616
1681748610884219885,0.0151378
1681748611117723942,0.0152561
1681748611351227760,0.0149184
1681748611584731579,0.0152483
1681748611818235636,0.0167819
1681748612051738262,0.0154195
1681748612285240412,0.0149977
1681748612518742561,0.0154258
1681748612752244473,0.0166771
1681748612985746861,0.0150481
1681748613219249964,0.0158505
1681748613452752829,0.0158704
1681748613686255693,0.01516
1681748613919758797,0.0215741
1681748614153264999,0.0155606
1681748614386771441,0.0157342
1681748614620278358,0.0154753
1681748614853785515,0.0156554
1681748615087287664,0.0149481
1681748615320788860,0.0153368
1681748615554290056,0.0151401
1681748615787791491,0.0153845
1681748616021289825,0.0148656
1681748616254785538,0.0151181
1681748616488281250,0.0206311
1681748616721776485,0.0157491
1681748616955273628,0.015403
1681748617188777685,0.016488
1681748617422281265,0.0155943
1681748617655785084,0.0159297
1681748617889288902,0.0216997
1681748618122800589,0.0158746
1681748618356312990,0.0151874
1681748618589825869,0.0226218
1681748618823339701,0.0151497
1681748619056843758,0.0146784
1681748619290343761,0.0161605
1681748619523843527,0.0158148
1681748619757343292,0.0158215
1681748619990838528,0.0206713
1681748620224327326,0.0153459
1681748620457815170,0.0151185
1681748620691302299,0.016367
1681748620924737215,0.0160761
1681748621158980370,0.0217289
1681748621393255949,0.0160398
1681748621627563715,0.0153443
1681748621861904144,0.0178518
1681748622095662117,0.0158189
1681748622329081535,0.0161727
1681748622562496185,0.0171131
1681748622795906067,0.0161071
1681748623029320478,0.0163169
1681748623262745142,0.0245892
1681748623496164799,0.0169312
1681748623729580164,0.0163771
1681748623962992668,0.0163938
1681748624196420193,0.0156807
1681748624429843187,0.0160406
1681748624663261890,0.0165253
1681748624896676064,0.0174743
1681748625130104303,0.0179841
1681748625363533020,0.0178696
1681748625596957445,0.017993
1681748625830378056,0.0214115
1681748626063805342,0.0180839
1681748626297238827,0.0164343
1681748626530668020,0.0165382
1681748626764093161,0.0234099
1681748626997517586,0.0232567
1681748627230947971,0.0157868
1681748627464374304,0.0159209
1681748627697796345,0.0167617
1681748627931212664,0.0157646
1681748628164646864,0.016697
1681748628398077250,0.0171905
1681748628631502867,0.0175736
1681748628864924908,0.0169131
1681748629098357439,0.0180268
1681748629331794500,0.0159409
1681748629565227270,0.019149
1681748629798656464,0.0171554
1681748630032084942,0.0169996
1681748630265513897,0.0174686
1681748630498938799,0.0166939
1681748630732359171,0.0173151
1681748630965777159,0.0258806
1681748631199209929,0.017037
1681748631432638645,0.0178283
1681748631666063070,0.0171847
1681748631899483442,0.0172399
1681748632132906437,0.0176864
1681748632366326571,0.0193049
1681748632599741936,0.0186435
1681748632833152294,0.0171089
1681748633066572189,0.0168745
1681748633300000906,0.0168788
1681748633533425331,0.0163803
1681748633766845226,0.0176432
1681748634000267744,0.015999
1681748634233710766,0.0169501
1681748634467150211,0.017201
1681748634700585604,0.0164511
1681748634934016943,0.01723
1681748635167460680,0.0172227
1681748635400901079,0.0166165
1681748635634337425,0.0173274
1681748635867769718,0.0211198
1681748636101193190,0.0170531
1681748636334608078,0.0161916
1681748636568017721,0.017566
1681748636801422596,0.0232359
1681748637034974337,0.025287
1681748637268821955,0.0175832
1681748637502702236,0.0223011
1681748637736614704,0.0184424
1681748637970525980,0.0175862
1681748638204026699,0.0183404
1681748638437527180,0.0181599
1681748638671027422,0.0179384
1681748638904527426,0.0170002
1681748639138030529,0.0180718
1681748639371534824,0.018579
1681748639605039120,0.0168285
1681748639838543415,0.0183256
1681748640072048903,0.018124
1681748640305555105,0.0178596
1681748640539062023,0.0190221
1681748640772568941,0.0184624
1681748641006057501,0.0190212
1681748641242299318,0.0177631
1681748641478661299,0.0193393
1681748641715143681,0.0172948
1681748641951746464,0.0189495
1681748642185541630,0.0173447
1681748642418845654,0.0179392
1681748642652137280,0.0174745
1681748642885416031,0.0204098
1681748643118675232,0.0182299
1681748643351911306,0.0166836
1681748643585131884,0.0202671
1681748643818336725,0.0206428
1681748644051541090,0.0189611
1681748644284761667,0.018676
1681748644517965555,0.0190681
1681748644751152992,0.0178725
1681748644984325647,0.0191551
1681748645217558146,0.018422
1681748645450774431,0.0166392
1681748645683974743,0.02102
1681748645917158842,0.0194558
1681748646150377989,0.0180099
1681748646383599043,0.0184596
1681748646616804123,0.0258794
1681748646849992752,0.0200866
1681748647083358526,0.0185815
1681748647317107677,0.0177135
1681748647550863028,0.0273541
1681748647784625053,0.0210392
1681748648018393517,0.0168942
1681748648251703739,0.0175892
1681748648484876156,0.0187424
1681748648718029737,0.0183295
1681748648951164007,0.0201606
1681748649184324265,0.0173038
1681748649417505264,0.0172289
1681748649650667667,0.0178241
1681748649883810997,0.0176842
1681748650116954803,0.0190737
1681748650350139856,0.0195906
1681748650583306313,0.0180642
1681748650816454172,0.0172606
1681748651049579144,0.0170457
1681748651282777309,0.0179623
1681748651515957355,0.0163846
1681748651749119282,0.0169475
1681748651982263088,0.0178591
1681748652215440035,0.0186184
1681748652448624372,0.0180053
1681748652681790113,0.0182836
1681748652914937019,0.018387
1681748653148091555,0.018552
1681748653381270170,0.0191094
1681748653614429951,0.0165089
1681748653847570181,0.0188113
1681748654080698490,0.0177317
1681748654313885212,0.0167164
1681748654547052622,0.0199127
1681748654780201197,0.0182221
1681748655013330460,0.0176645
1681748655246503353,0.0185533
1681748655479669094,0.0182143
1681748655712815523,0.0231485
1681748655945942402,0.0200093
1681748656179097891,0.0174002
1681748656412279606,0.0176395
1681748656645442247,0.0175142
1681748656878585577,0.0168207
1681748657112069130,0.0174092
1681748657346814632,0.0217619
1681748657581677437,0.0183816
1681748657816657305,0.0297621
1681748658051843643,0.0191811
1681748658285289288,0.0185323
1681748658518731117,0.0172068
1681748658752169371,0.0212853
1681748658985604286,0.0253986
1681748659219059706,0.0185108
1681748659452525854,0.0216179
1681748659685989618,0.019606
1681748659919451237,0.0178954
1681748660152910233,0.0194397
1681748660386365175,0.0190768
1681748660619817257,0.0178106
1681748660853265762,0.01949
1681748661086711884,0.0197583
1681748661320157290,0.0185869
1681748661553598881,0.0191644
1681748661787036896,0.018013
1681748662020471334,0.0205599
1681748662253910780,0.0264969
1681748662487348318,0.0179591
1681748662720782518,0.0189969
1681748662954212666,0.0173648
1681748663188529968,0.0204364
1681748663425057173,0.0191154
1681748663661727428,0.0189569
1681748663898540974,0.0232605
1681748664135390043,0.0243956
1681748664368629932,0.0195414
1681748664601854086,0.0212159
1681748664835062265,0.0181451
1681748665068254948,0.0190705
1681748665301477194,0.0191766
1681748665534688950,0.0195075
1681748665767884254,0.0190663
1681748666001063347,0.0189123
1681748666234256506,0.01994
1681748666467470169,0.0178764
1681748666700667143,0.018217
1681748666933847427,0.0206813
1681748667167026520,0.0196721
1681748667400254011,0.0212492
1681748667633464813,0.0177775
1681748667866659403,0.0272706
1681748668099829435,0.0268216
1681748668333080769,0.0214924
1681748668566316843,0.0193474
1681748668799537897,0.0281897
1681748669032743692,0.02061
1681748669265967369,0.0200685
1681748669499194622,0.0215104
1681748669732405901,0.0203632
1681748669965601444,0.0219893
1681748670198810577,0.0222908
1681748670432065487,0.0270516
1681748670665305138,0.0214899
1681748670898530006,0.0210842
1681748671131742239,0.0210626
1681748671364975214,0.0206924
1681748671598191977,0.0197334
1681748671831392288,0.0193347
1681748672064576387,0.0201811
1681748672297803402,0.0214215
1681748672531034231,0.0204692
1681748672764249325,0.0213815
1681748672997448683,0.0207356
1681748673230662823,0.0191417
1681748673463896275,0.0211937
1681748673697113276,0.0189035
1681748673930314779,0.0209955
1681748674163510084,0.0201786
1681748674396734953,0.0217678
1681748674629942894,0.0203258
1681748674863134623,0.0211343
1681748675096302271,0.0196469
1681748675329537630,0.0211722
1681748675562756777,0.0268641
1681748675795959949,0.0201503
1681748676029147148,0.0221385
1681748676262368917,0.0187596
1681748676495606899,0.0284282
1681748676728829384,0.0212118
1681748676962036371,0.0216351
1681748677195251942,0.0300434
1681748677428501606,0.0291699
1681748677661735773,0.0200504
1681748677894954920,0.0295411
1681748678128160238,0.0302391
1681748678361392736,0.0215196
1681748678594608784,0.0201826
1681748678827808619,0.0208259
1681748679060991764,0.0233575
1681748679295353651,0.0212244
1681748679530228138,0.0200241
1681748679765223742,0.0218855
1681748680000340462,0.0200298
1681748680234762669,0.0228311
1681748680468269825,0.030698
1681748680701776981,0.0203337
1681748680935284376,0.0208128
1681748681168790340,0.0264027
1681748681402287483,0.0195427
1681748681635784388,0.0195857
1681748681869280815,0.0208744
1681748682102776766,0.0226099
1681748682336270809,0.0211686
1681748682569763660,0.0200647
1681748682803256035,0.0230023
1681748683036747694,0.0230046
1681748683270240545,0.0205346
1681748683503733635,0.0207323
1681748683737225771,0.021875
1681748683970717430,0.0202077
1681748684204211950,0.01997
1681748684437713385,0.0233345
1681748684671214581,0.0198811
1681748684904715776,0.0290287
1681748685138217211,0.0224786
1681748685373922586,0.0215964
1681748685610257149,0.0204422
1681748685846711874,0.0275091
1681748686083286524,0.0234148
1681748686318011284,0.0283535
1681748686551273346,0.0301601
1681748686784521580,0.0266167
1681748687017755270,0.0199196
1681748687250983238,0.0216535
1681748687484208822,0.0289
1681748687717417955,0.0209959
1681748687950610876,0.0245361
1681748688183807611,0.0212923
1681748688417042017,0.0215737
1681748688650259972,0.0233174
1681748688883461952,0.0239242
1681748689116647720,0.020613
1681748689349869251,0.0209656
1681748689583095312,0.0219704
1681748689816305399,0.0214101
1681748690049499750,0.0212444
1681748690282702684,0.0237702
1681748690515917778,0.022106
1681748690749115944,0.0218869
1681748690982297421,0.021941
1681748691215473413,0.0214721
1681748691448693037,0.0236235
1681748691681895971,0.0251105
1681748691915081739,0.0230255
1681748692148250580,0.0219948
1681748692381484509,0.0239033
1681748692614701271,0.0279337
1681748692847901344,0.0247466
1681748693081085682,0.0253121
1681748693314296484,0.0248239
1681748693547525644,0.0213354
1681748693780739546,0.022088
1681748694013937712,0.0207785
1681748694247140884,0.0242754
1681748694480385780,0.0220767
1681748694713615179,0.0212602
1681748694946829081,0.0209934
1681748695180027008,0.0212183
1681748695413259029,0.0256216
