timestamp(ns),elapsed(s)
1681748609249603033,0.00461215
1681748609483114004,0.00474696
1681748609716625452,0.00226331
1681748609950138569,0.00200441
1681748610183657169,0.00229808
1681748610417176962,0.00237401
1681748610650697708,0.00272404
1681748610884219885,0.0021558
1681748611117723942,0.00216557
1681748611351227760,0.00209881
1681748611584731579,0.00207544
1681748611818235636,0.00228383
1681748612051738262,0.00202464
1681748612285240412,0.002125
1681748612518742561,0.00225164
1681748612752244473,0.00210292
1681748612985746861,0.00212411
1681748613219249964,0.00226365
1681748613452752829,0.00216274
1681748613686255693,0.00199057
1681748613919758797,0.0027008
1681748614153264999,0.00210678
1681748614386771441,0.00230871
1681748614620278358,0.00234636
1681748614853785515,0.00233638
1681748615087287664,0.00198135
1681748615320788860,0.00212195
1681748615554290056,0.00206715
1681748615787791491,0.00198428
1681748616021289825,0.00199125
1681748616254785538,0.00215039
1681748616488281250,0.00226711
1681748616721776485,0.00252595
1681748616955273628,0.00209833
1681748617188777685,0.00229352
1681748617422281265,0.00227291
1681748617655785084,0.00236472
1681748617889288902,0.00273228
1681748618122800589,0.00229009
1681748618356312990,0.00248416
1681748618589825869,0.00284497
1681748618823339701,0.00214549
1681748619056843758,0.00218403
1681748619290343761,0.00217547
1681748619523843527,0.00230587
1681748619757343292,0.00207639
1681748619990838528,0.00240084
1681748620224327326,0.00219241
1681748620457815170,0.00185837
1681748620691302299,0.00206503
1681748620924737215,0.00219488
1681748621158980370,0.00242633
1681748621393255949,0.00206249
1681748621627563715,0.0020701
1681748621861904144,0.00207818
1681748622095662117,0.00167345
1681748622329081535,0.00193323
1681748622562496185,0.00186414
1681748622795906067,0.00191365
1681748623029320478,0.00190125
1681748623262745142,0.00254618
1681748623496164799,0.00235412
1681748623729580164,0.0019218
1681748623962992668,0.00179622
1681748624196420193,0.00180191
1681748624429843187,0.00190701
1681748624663261890,0.00195086
1681748624896676064,0.00189582
1681748625130104303,0.00218675
1681748625363533020,0.00215809
1681748625596957445,0.00206916
1681748625830378056,0.00228782
1681748626063805342,0.00238237
1681748626297238827,0.00194784
1681748626530668020,0.00199903
1681748626764093161,0.00261279
1681748626997517586,0.00288747
1681748627230947971,0.00223319
1681748627464374304,0.00190185
1681748627697796345,0.00192073
1681748627931212664,0.00194502
1681748628164646864,0.00203162
1681748628398077250,0.00212892
1681748628631502867,0.00208267
1681748628864924908,0.00244833
1681748629098357439,0.00201377
