timestamp(ns),elapsed(s)
1681748609249603033,0.0020256
1681748609483114004,0.000878542
1681748609716625452,0.00105392
1681748609950138569,0.000341901
1681748610183657169,0.000786063
1681748610417176962,0.00024014
1681748610650697708,0.000198415
1681748610884219885,0.000500946
1681748611117723942,0.000336475
1681748611351227760,6.8398e-05
1681748611584731579,0.00031563
1681748611818235636,0.000228977
1681748612051738262,2.9e-05
1681748612285240412,2.9837e-05
1681748612518742561,0.00017826
1681748612752244473,5.3767e-05
1681748612985746861,6.7167e-05
1681748613219249964,0.00011815
1681748613452752829,8.8073e-05
1681748613686255693,0.000295537
1681748613919758797,0.000280579
1681748614153264999,6.593e-06
1681748614386771441,0.000166326
1681748614620278358,0.000257149
1681748614853785515,0.000165772
1681748615087287664,0.000148595
1681748615320788860,4.501e-06
1681748615554290056,3.6473e-05
1681748615787791491,0.000106723
1681748616021289825,0.000220419
1681748616254785538,2.7429e-05
1681748616488281250,0.000121566
1681748616721776485,0.000259608
1681748616955273628,0.000744846
1681748617188777685,0.000290869
1681748617422281265,0.000504707
1681748617655785084,0.000369109
1681748617889288902,0.00046923
1681748618122800589,0.00069657
1681748618356312990,0.000580526
1681748618589825869,0.000853755
1681748618823339701,0.000852276
1681748619056843758,0.00104276
1681748619290343761,0.00108355
1681748619523843527,0.00101528
1681748619757343292,0.00146289
1681748619990838528,0.000993394
1681748620224327326,0.000994342
1681748620457815170,0.0014967
1681748620691302299,0.000673729
1681748620924737215,0.0014754
1681748621158980370,0.00117521
1681748621393255949,0.00135061
1681748621627563715,0.0012452
1681748621861904144,0.00236939
1681748622095662117,0.0017346
1681748622329081535,0.00218348
1681748622562496185,0.00256676
1681748622795906067,0.00193987
1681748623029320478,0.0023211
1681748623262745142,0.00203117
1681748623496164799,0.00176524
1681748623729580164,0.00165162
1681748623962992668,0.00217597
1681748624196420193,0.00185567
1681748624429843187,0.00140694
1681748624663261890,0.00151021
1681748624896676064,0.00252174
1681748625130104303,0.00155675
1681748625363533020,0.00283961
1681748625596957445,0.00192085
1681748625830378056,0.00238936
1681748626063805342,0.00163582
1681748626297238827,0.00154929
1681748626530668020,0.00187725
1681748626764093161,0.00203603
1681748626997517586,0.00216317
1681748627230947971,0.00197276
1681748627464374304,0.00108949
1681748627697796345,0.000853718
1681748627931212664,0.00150841
1681748628164646864,0.00104452
1681748628398077250,0.00201136
1681748628631502867,0.00155478
1681748628864924908,0.00250209
1681748629098357439,0.00188008
1681748629331794500,0.00113498
1681748629565227270,0.00113333
1681748629798656464,0.002143
1681748630032084942,0.00256979
1681748630265513897,0.00227554
