timestamp(ns),elapsed(s)
1681748609249603033,0.00335625
1681748609483114004,4.4275e-05
1681748609716625452,1.93e-05
1681748609950138569,2.29e-05
1681748610183657169,2.0201e-05
1681748610417176962,1.9705e-05
1681748610650697708,2.5004e-05
1681748610884219885,1.5817e-05
1681748611117723942,1.634e-05
1681748611351227760,1.6657e-05
1681748611584731579,1.6676e-05
1681748611818235636,1.4925e-05
1681748612051738262,1.671e-05
1681748612285240412,1.7801e-05
1681748612518742561,1.541e-05
1681748612752244473,1.7566e-05
1681748612985746861,1.6072e-05
1681748613219249964,1.6111e-05
1681748613452752829,1.9582e-05
1681748613686255693,1.4794e-05
1681748613919758797,1.6076e-05
1681748614153264999,1.763e-05
1681748614386771441,1.6405e-05
1681748614620278358,1.5899e-05
1681748614853785515,1.6443e-05
1681748615087287664,1.682e-05
1681748615320788860,2.0035e-05
1681748615554290056,1.8887e-05
1681748615787791491,1.6907e-05
1681748616021289825,1.7031e-05
1681748616254785538,3.3083e-05
1681748616488281250,1.6463e-05
1681748616721776485,1.6041e-05
1681748616955273628,4.1727e-05
1681748617188777685,1.7378e-05
1681748617422281265,2.0486e-05
1681748617655785084,1.813e-05
1681748617889288902,2.5139e-05
1681748618122800589,1.872e-05
1681748618356312990,1.9663e-05
1681748618589825869,2.3033e-05
1681748618823339701,2.3337e-05
1681748619056843758,2.3782e-05
1681748619290343761,2.3373e-05
1681748619523843527,2.2096e-05
1681748619757343292,2.613e-05
1681748619990838528,2.8325e-05
1681748620224327326,2.4394e-05
1681748620457815170,2.559e-05
1681748620691302299,2.4671e-05
1681748620924737215,2.6255e-05
1681748621158980370,3.1013e-05
1681748621393255949,2.6419e-05
1681748621627563715,2.773e-05
1681748621861904144,3.1846e-05
1681748622095662117,3.0083e-05
1681748622329081535,4.147e-05
1681748622562496185,3.1486e-05
1681748622795906067,2.8785e-05
1681748623029320478,3.1556e-05
1681748623262745142,3.2646e-05
1681748623496164799,3.868e-05
1681748623729580164,4.0155e-05
1681748623962992668,3.1893e-05
1681748624196420193,4.1477e-05
1681748624429843187,3.5195e-05
1681748624663261890,3.1119e-05
1681748624896676064,3.7675e-05
1681748625130104303,2.9713e-05
1681748625363533020,4.5085e-05
1681748625596957445,3.5436e-05
1681748625830378056,3.6001e-05
1681748626063805342,3.8763e-05
1681748626297238827,3.2987e-05
1681748626530668020,3.5042e-05
1681748626764093161,4.193e-05
1681748626997517586,4.0549e-05
1681748627230947971,3.572e-05
1681748627464374304,3.3789e-05
1681748627697796345,3.3602e-05
1681748627931212664,3.4749e-05
1681748628164646864,3.4716e-05
1681748628398077250,3.921e-05
1681748628631502867,4.0688e-05
1681748628864924908,4.1333e-05
1681748629098357439,5.5692e-05
1681748629331794500,3.4204e-05
1681748629565227270,3.7713e-05
1681748629798656464,4.1963e-05
1681748630032084942,5.4001e-05
1681748630265513897,5.4053e-05
1681748630498938799,4.5024e-05
1681748630732359171,4.588e-05
1681748630965777159,4.4479e-05
1681748631199209929,4.529e-05
1681748631432638645,4.1876e-05
1681748631666063070,5.7664e-05
1681748631899483442,5.1378e-05
1681748632132906437,5.6151e-05
1681748632366326571,4.6538e-05
1681748632599741936,5.846e-05
